stress_level,method,groups,mean_mean_success,ci95_mean_success,mean_mean_utility,ci95_mean_utility,mean_mean_contact_mode_f1,ci95_mean_contact_mode_f1,mean_mean_boundary_error,ci95_mean_boundary_error,mean_mean_complementarity_residual,ci95_mean_complementarity_residual,mean_mean_impulse_violation,ci95_mean_impulse_violation,mean_mean_unsafe_impulse,ci95_mean_unsafe_impulse,mean_mean_jam_rate,ci95_mean_jam_rate,mean_mean_slip_overshoot,ci95_mean_slip_overshoot,mean_mean_mode_switch_latency,ci95_mean_mode_switch_latency,mean_mean_recovery_success,ci95_mean_recovery_success,mean_mean_energy_spike,ci95_mean_energy_spike,mean_mean_calibration_ece,ci95_mean_calibration_ece,mean_mean_intervention_cost,ci95_mean_intervention_cost,mean_mean_fixed_risk_coverage,ci95_mean_fixed_risk_coverage,mean_mean_regret_to_oracle,ci95_mean_regret_to_oracle
0.111111,contact_mode_boundary_audit_v5,10,0.717083,0.015203,0.802357,0.013502,0.619238,0.000643,0.163681,0.000324,0.029506,0.00025,0.035006,0.000227,0.005474,0.000293,0.02026,0.000277,0.014096,0.000102,0.023272,0.000203,0.659066,0.00057,0.006951,0.000255,0.018467,0.00041,0.163772,0.000106,0.71368,5.9e-05,0.0,0.0
0.111111,oracle_hybrid_contact_supervisor,10,0.7875,0.010039,0.860798,0.008665,0.655828,0.000569,0.159438,0.000257,0.021481,0.000266,0.030657,0.000249,0.001091,0.000133,0.017014,0.000257,0.008621,0.000255,0.026109,0.000246,0.699791,0.000441,0.011379,0.000354,0.014341,0.000275,0.168491,0.000298,0.776544,5.5e-05,0.0,0.0
0.222222,conformal_risk_filter,10,0.555833,0.010902,0.58084,0.01084,0.368716,0.000339,0.246472,0.000269,0.07075,0.000364,0.053257,0.000178,0.021909,0.000263,0.051326,0.00034,0.043367,0.000399,0.051842,0.000179,0.399275,0.000477,0.05027,0.000359,0.03749,0.000223,0.170767,0.000187,0.64429,7.9e-05,0.0,0.0
0.222222,complementarity_residual_planner,10,0.590208,0.01196,0.62416,0.011866,0.444791,0.000444,0.231192,0.000293,0.05101,0.000342,0.05496,0.000365,0.030152,0.000199,0.048867,0.000286,0.038033,0.00031,0.051419,0.000313,0.468606,0.000496,0.044964,0.00025,0.045622,0.000266,0.157464,0.000113,0.569886,4e-05,0.0,0.0
0.222222,robust_hybrid_mpc,10,0.590208,0.014276,0.630686,0.014339,0.457741,0.000518,0.222394,0.000361,0.053486,0.00025,0.048864,0.000262,0.023363,0.000452,0.044376,0.000229,0.035499,0.000408,0.047846,0.000138,0.49056,0.000548,0.038978,0.000415,0.040993,0.000266,0.171849,0.000114,0.618874,9.7e-05,0.0,0.0
0.222222,proposed_contact_mode_boundary_atlas_v4,10,0.657292,0.010459,0.712435,0.010377,0.536778,0.000383,0.197088,0.000225,0.041979,0.000266,0.045713,0.000295,0.019142,0.000232,0.033817,0.000274,0.024872,0.000208,0.043872,0.000259,0.560863,0.000458,0.033185,0.000231,0.032735,0.000375,0.164908,0.000186,0.635631,5.7e-05,0.0,0.0
0.222222,contact_mode_boundary_audit_v5,10,0.707292,0.015196,0.793276,0.013234,0.612725,0.000434,0.165009,0.000268,0.031244,0.000257,0.036912,0.000276,0.006438,0.000192,0.021235,0.0002,0.015869,0.000301,0.023491,0.000392,0.648467,0.000339,0.007734,0.000218,0.020107,0.000318,0.167299,0.000118,0.703771,3.4e-05,0.0,0.0
0.222222,oracle_hybrid_contact_supervisor,10,0.767708,0.014888,0.842357,0.01378,0.649372,0.000404,0.159982,0.000422,0.021954,0.00048,0.031685,0.000333,0.001471,0.000118,0.01822,0.000339,0.00967,0.000212,0.026702,0.000213,0.689331,0.000696,0.012538,0.000187,0.01502,0.000321,0.172027,0.000217,0.766766,5.9e-05,0.0,0.0
0.333333,conformal_risk_filter,10,0.543333,0.013581,0.56429,0.013428,0.361274,0.000369,0.251878,0.000333,0.075926,0.000305,0.0564,0.00034,0.024163,0.00018,0.054325,0.000308,0.04976,0.000264,0.055588,0.000274,0.389039,0.000587,0.053895,0.000259,0.041528,0.000287,0.174006,0.000236,0.633638,6.6e-05,0.0,0.0
0.333333,complementarity_residual_planner,10,0.582917,0.015312,0.612874,0.01489,0.437496,0.000483,0.235,0.00028,0.053833,0.000317,0.058322,0.000233,0.032425,0.00023,0.051219,0.000293,0.042711,0.000259,0.05399,0.000201,0.458743,0.00063,0.04802,0.000257,0.051411,0.000212,0.16091,0.000248,0.559455,5.5e-05,0.0,0.0
0.333333,robust_hybrid_mpc,10,0.58375,0.015976,0.620786,0.015877,0.450716,0.000466,0.226203,0.000276,0.056788,0.000245,0.051632,0.000279,0.025089,0.000331,0.04669,0.000215,0.039891,0.00021,0.050323,0.000274,0.479643,0.000658,0.041788,0.000249,0.045994,0.000216,0.175348,0.000204,0.608488,6.6e-05,0.0,0.0
0.333333,proposed_contact_mode_boundary_atlas_v4,10,0.634792,0.018333,0.687601,0.017442,0.529348,0.000453,0.200009,0.000302,0.044236,0.000317,0.048453,0.000204,0.021019,0.000294,0.035957,0.000303,0.027916,0.000446,0.045412,0.000236,0.551188,0.000535,0.035445,0.00031,0.036309,0.000312,0.168492,0.000257,0.625423,6.7e-05,0.0,0.0
0.333333,contact_mode_boundary_audit_v5,10,0.708333,0.009351,0.791569,0.008194,0.605255,0.00042,0.166199,0.00026,0.032968,0.000182,0.038056,0.000303,0.007507,0.000246,0.022381,0.000259,0.018148,0.000304,0.023843,0.00028,0.638967,0.000512,0.00779,0.000214,0.021953,0.000148,0.170538,0.000225,0.693855,6e-05,0.0,0.0
0.333333,oracle_hybrid_contact_supervisor,10,0.750417,0.014182,0.825425,0.013018,0.641972,0.000597,0.160265,0.000397,0.023349,0.000426,0.032669,0.000236,0.001818,0.000178,0.019271,0.000367,0.010688,0.000251,0.027022,0.000391,0.679223,0.000644,0.013185,0.000326,0.015876,0.000416,0.17553,0.000267,0.757032,4.9e-05,0.0,0.0
0.444444,conformal_risk_filter,10,0.5425,0.017454,0.559226,0.017307,0.354713,0.000522,0.256976,0.000316,0.080846,0.00024,0.059889,0.000266,0.02579,0.000295,0.057578,0.000183,0.05673,0.000322,0.059203,0.000288,0.378799,0.000474,0.057625,0.000299,0.045666,0.000267,0.17762,0.000102,0.623008,2.8e-05,0.0,0.0
0.444444,complementarity_residual_planner,10,0.556875,0.013013,0.583569,0.012827,0.430701,0.000385,0.238716,0.000267,0.056954,0.000257,0.061705,0.000279,0.034387,0.000297,0.05399,0.000436,0.046623,0.000344,0.056651,0.000278,0.447966,0.000337,0.050482,0.000177,0.05703,0.000233,0.164697,0.00017,0.549036,4.3e-05,0.0,0.0
0.444444,robust_hybrid_mpc,10,0.57125,0.01325,0.604878,0.012999,0.443301,0.00056,0.229981,0.000296,0.060307,0.000243,0.054031,0.000144,0.027151,0.000157,0.049089,0.000327,0.044284,0.000308,0.052797,0.000276,0.469472,0.000527,0.044158,0.000221,0.051133,0.000226,0.179165,0.000108,0.598089,6e-05,0.0,0.0
0.444444,proposed_contact_mode_boundary_atlas_v4,10,0.623958,0.013857,0.674088,0.013888,0.522514,0.000295,0.202704,0.000366,0.04718,0.000166,0.050843,0.000397,0.022804,0.000233,0.037549,0.00038,0.0312,0.000267,0.047165,0.000339,0.540982,0.000592,0.037604,0.000285,0.039865,0.000233,0.171907,0.000259,0.615232,5.5e-05,0.0,0.0
0.444444,contact_mode_boundary_audit_v5,10,0.686875,0.013557,0.770566,0.012589,0.598503,0.000525,0.167784,0.00022,0.034779,0.000191,0.039594,0.000283,0.008223,0.00027,0.023594,0.000266,0.020421,0.000324,0.024227,0.000189,0.627961,0.000567,0.008025,0.000172,0.0236,0.000341,0.173449,0.000174,0.683896,8.1e-05,0.0,0.0
0.444444,oracle_hybrid_contact_supervisor,10,0.739375,0.019089,0.813123,0.016819,0.634606,0.000431,0.160789,0.000197,0.024327,0.000264,0.033716,0.000299,0.00199,0.000118,0.020241,0.000269,0.011923,0.000474,0.027487,0.000379,0.668915,0.000627,0.01354,0.000248,0.016879,0.000214,0.179193,0.00013,0.747303,7.2e-05,0.0,0.0
0.555556,conformal_risk_filter,10,0.526458,0.016128,0.538879,0.016041,0.347128,0.000359,0.262501,0.000262,0.086291,0.000283,0.063537,0.000271,0.028233,0.000347,0.06049,0.000202,0.063061,0.000264,0.062491,0.000223,0.368271,0.000547,0.061552,0.000298,0.049643,0.000258,0.181219,0.000221,0.612323,7.3e-05,0.0,0.0
0.555556,complementarity_residual_planner,10,0.555417,0.014675,0.5782,0.014584,0.423832,0.000384,0.242784,0.000277,0.059948,0.000287,0.065125,0.000254,0.036994,0.000351,0.056572,0.00038,0.051121,0.00021,0.059352,0.00022,0.438244,0.000525,0.053504,0.000297,0.063078,0.000309,0.168352,0.000238,0.538554,8.8e-05,0.0,0.0
0.555556,robust_hybrid_mpc,10,0.557708,0.01089,0.58787,0.010902,0.436944,0.000519,0.233567,0.000205,0.063106,0.000207,0.056866,0.000211,0.029144,0.000178,0.051541,0.000317,0.04862,0.000264,0.055512,0.000251,0.459107,0.000349,0.046665,0.000333,0.055807,0.000384,0.182444,0.000142,0.587687,4.7e-05,0.0,0.0
0.555556,proposed_contact_mode_boundary_atlas_v4,10,0.61,0.019343,0.65671,0.018863,0.515507,0.000433,0.204786,0.00044,0.049505,0.000237,0.053623,0.000279,0.024395,0.000213,0.039283,0.000247,0.034306,0.000266,0.049039,0.000197,0.530301,0.000443,0.039891,0.000292,0.043678,0.000226,0.175451,0.000159,0.605042,3.8e-05,0.0,0.0
0.555556,contact_mode_boundary_audit_v5,10,0.695,0.009296,0.775629,0.007954,0.59076,0.000427,0.168678,0.000358,0.036512,0.000266,0.041156,0.000258,0.009161,0.000234,0.02444,0.000223,0.022425,0.000207,0.024479,0.000267,0.618211,0.00063,0.008681,0.000214,0.025167,0.000241,0.176661,0.000151,0.674036,6.5e-05,0.0,0.0
0.555556,oracle_hybrid_contact_supervisor,10,0.739583,0.011756,0.813971,0.008771,0.627649,0.000496,0.161538,0.000315,0.02538,0.000344,0.034496,0.000357,0.002247,0.000176,0.021269,0.000273,0.01314,0.000354,0.027585,0.000255,0.659021,0.000359,0.01435,0.000292,0.017417,0.000311,0.18268,0.000195,0.737582,5.7e-05,0.0,0.0
0.666667,conformal_risk_filter,10,0.519375,0.009854,0.52757,0.009864,0.340147,0.000455,0.267638,0.000446,0.091304,0.000161,0.066939,0.000269,0.029753,0.000287,0.063821,0.000219,0.069832,0.000297,0.065999,0.000277,0.357899,0.000586,0.065202,0.000338,0.054057,0.000291,0.184719,0.000176,0.601709,9.9e-05,0.0,0.0
0.666667,complementarity_residual_planner,10,0.546042,0.0126,0.565462,0.012377,0.416858,0.000313,0.24655,0.000358,0.062742,0.000225,0.068448,0.000242,0.03896,0.00027,0.059515,0.000386,0.05528,0.000235,0.062433,0.0002,0.427802,0.000646,0.056185,0.000211,0.068633,0.000195,0.171645,0.00025,0.528117,7.3e-05,0.0,0.0
0.666667,robust_hybrid_mpc,10,0.557083,0.015135,0.583628,0.014979,0.42928,0.000471,0.237512,0.000326,0.066021,0.000249,0.059627,0.00027,0.030806,0.000359,0.053984,0.000312,0.052858,0.000186,0.057695,0.000409,0.449331,0.00062,0.048969,0.000218,0.060697,0.000306,0.186003,0.000269,0.577379,6e-05,0.0,0.0
0.666667,proposed_contact_mode_boundary_atlas_v4,10,0.6025,0.006111,0.646396,0.00613,0.508421,0.000484,0.207848,0.000286,0.051968,0.000241,0.056006,0.000278,0.026341,0.000325,0.041184,0.000328,0.037474,0.000297,0.051015,0.000213,0.520114,0.000483,0.041707,0.000331,0.047184,0.000197,0.179026,0.000183,0.594806,4.4e-05,0.0,0.0
0.666667,contact_mode_boundary_audit_v5,10,0.691667,0.011677,0.771268,0.010776,0.584086,0.000477,0.169622,0.000408,0.037974,0.000261,0.042843,0.00021,0.010109,0.000277,0.025577,0.000318,0.024732,0.000233,0.024972,0.000219,0.607686,0.000425,0.0088,0.000242,0.026813,0.000251,0.179823,0.000128,0.664075,5.5e-05,0.0,0.0
0.666667,oracle_hybrid_contact_supervisor,10,0.725208,0.01032,0.798783,0.00984,0.620863,0.000172,0.161886,0.000334,0.025973,0.000312,0.035516,0.000197,0.00288,0.000233,0.022276,0.000173,0.014503,0.000353,0.027928,0.000364,0.648638,0.000782,0.014794,0.000248,0.018301,0.000314,0.186353,0.000141,0.727765,7.1e-05,0.0,0.0
0.777778,conformal_risk_filter,10,0.51,0.020935,0.514008,0.020821,0.33305,0.000608,0.272701,0.000232,0.096446,0.000277,0.070195,0.000241,0.031958,0.000172,0.066963,0.000172,0.076377,0.000281,0.069315,0.000312,0.347389,0.000642,0.068738,0.000301,0.058009,0.000135,0.188459,0.000166,0.591021,6.9e-05,0.0,0.0
0.777778,complementarity_residual_planner,10,0.534167,0.011128,0.549802,0.011125,0.409775,0.000387,0.250873,0.00035,0.065557,0.000343,0.071659,0.000254,0.041496,0.000329,0.062117,0.000244,0.059841,0.000209,0.064531,0.000308,0.417602,0.000739,0.059189,0.000288,0.074737,0.000303,0.175184,0.000179,0.517611,6.9e-05,0.0,0.0
0.777778,robust_hybrid_mpc,10,0.532083,0.010207,0.55502,0.010071,0.422087,0.000328,0.241055,0.000445,0.069231,0.000356,0.062312,0.00025,0.033097,0.000223,0.056459,0.000191,0.057257,0.000286,0.06056,0.000343,0.438311,0.000544,0.051072,0.000293,0.06594,0.000449,0.189667,0.000137,0.566885,7.7e-05,0.0,0.0
0.777778,proposed_contact_mode_boundary_atlas_v4,10,0.595,0.012815,0.636154,0.012786,0.501203,0.00041,0.210415,0.000271,0.054327,0.000163,0.0582,0.000405,0.027756,0.000365,0.043,0.0003,0.040607,0.000249,0.052804,0.000223,0.510439,0.000809,0.043748,0.000255,0.05092,0.000339,0.182785,0.000162,0.584692,0.000103,0.0,0.0
0.777778,contact_mode_boundary_audit_v5,10,0.67625,0.011504,0.755865,0.011366,0.57746,0.000387,0.170759,0.000309,0.039761,0.00027,0.044549,0.000184,0.011157,0.000218,0.026763,0.000337,0.026714,0.00027,0.025387,0.000289,0.597067,0.00056,0.009121,0.000281,0.028811,0.000235,0.18303,0.000231,0.654115,6e-05,0.0,0.0
0.777778,oracle_hybrid_contact_supervisor,10,0.717917,0.013297,0.790048,0.012598,0.613822,0.000589,0.16213,0.000342,0.027,0.000388,0.036526,0.000258,0.003154,0.000156,0.023215,0.00028,0.015454,0.00023,0.028495,0.000331,0.638711,0.000612,0.015617,0.000221,0.018811,0.00028,0.189797,0.000109,0.71807,4.6e-05,0.0,0.0
0.888889,conformal_risk_filter,10,0.481458,0.012847,0.481226,0.012772,0.325929,0.000526,0.278101,0.000296,0.101473,0.000263,0.073775,0.000261,0.033737,0.000357,0.070162,0.000233,0.083011,0.000255,0.07267,0.000314,0.338011,0.000673,0.072596,0.000239,0.062213,0.000261,0.191574,0.000164,0.580452,6.6e-05,0.0,0.0
0.888889,complementarity_residual_planner,10,0.5175,0.013505,0.529483,0.013371,0.403578,0.000607,0.254642,0.000445,0.068426,0.000204,0.07506,0.000235,0.044065,0.000249,0.064756,0.000356,0.063934,0.000293,0.06796,0.000167,0.407786,0.000513,0.061971,0.000248,0.080366,0.000281,0.178844,0.000235,0.507156,7.4e-05,0.0,0.0
0.888889,robust_hybrid_mpc,10,0.521458,0.015627,0.541018,0.015485,0.414877,0.000655,0.244747,0.000295,0.072349,0.000212,0.065065,0.000228,0.034493,0.000203,0.058781,0.000199,0.061735,0.000209,0.063045,0.000306,0.428053,0.000707,0.053794,0.000279,0.070897,0.000379,0.193193,0.00019,0.556581,6.3e-05,0.0,0.0
0.888889,proposed_contact_mode_boundary_atlas_v4,10,0.596458,0.014067,0.635141,0.014,0.49448,0.00055,0.213388,0.000628,0.056593,0.00029,0.060691,0.000263,0.029598,0.000322,0.044961,0.000333,0.043673,0.000242,0.054342,0.00035,0.499856,0.00031,0.046099,0.000196,0.054374,0.000184,0.1862,0.000144,0.574451,7.3e-05,0.0,0.0
0.888889,contact_mode_boundary_audit_v5,10,0.686042,0.009816,0.7647,0.008541,0.570412,0.000521,0.172159,0.000237,0.041697,0.000263,0.045976,0.000331,0.012249,0.000275,0.027576,0.00026,0.029,0.000178,0.02508,0.00022,0.587576,0.000353,0.009591,0.00031,0.030459,0.000292,0.186139,0.000158,0.644229,4.7e-05,0.0,0.0
0.888889,oracle_hybrid_contact_supervisor,10,0.724375,0.016759,0.793081,0.015422,0.606533,0.000555,0.162682,0.00036,0.028021,0.000454,0.037456,0.000285,0.003458,0.000132,0.024414,0.000314,0.016857,0.000315,0.02867,0.000264,0.627833,0.000637,0.01619,0.000249,0.0196,0.000268,0.193329,0.000232,0.70825,4.1e-05,0.0,0.0
1.0,conformal_risk_filter,10,0.474792,0.018568,0.470355,0.018545,0.318785,0.000426,0.283119,0.000423,0.106652,0.000262,0.0774,0.00031,0.035778,0.000282,0.072756,0.000225,0.089872,0.000225,0.076198,0.000263,0.327281,0.000591,0.076242,0.000326,0.066392,0.000311,0.195475,0.000321,0.569805,2.2e-05,0.0,0.0
1.0,complementarity_residual_planner,10,0.491042,0.009854,0.499143,0.00985,0.395396,0.000778,0.258607,0.000304,0.071586,0.000201,0.07872,0.000229,0.046271,0.000247,0.067489,0.000296,0.068587,0.000289,0.070439,0.000299,0.396541,0.000719,0.064908,0.000315,0.085809,0.000331,0.182438,0.000159,0.496616,9.5e-05,0.0,0.0
1.0,robust_hybrid_mpc,10,0.510208,0.00938,0.526204,0.009402,0.408197,0.00044,0.248634,0.00018,0.075955,0.000262,0.067563,0.000276,0.036564,0.000225,0.061443,0.000396,0.06608,0.000149,0.065675,0.000311,0.418676,0.000514,0.055928,0.000277,0.075801,0.000203,0.196693,0.000242,0.546205,5.3e-05,0.0,0.0
1.0,proposed_contact_mode_boundary_atlas_v4,10,0.568125,0.009372,0.603764,0.009117,0.487616,0.000434,0.215559,0.000345,0.059354,0.000267,0.06332,0.000277,0.03144,0.000284,0.046527,0.000317,0.047107,0.000265,0.056212,0.000221,0.489583,0.00072,0.048119,0.000318,0.058352,0.000204,0.189749,0.000194,0.564238,7.1e-05,0.0,0.0
1.0,contact_mode_boundary_audit_v5,10,0.667083,0.013824,0.743943,0.012719,0.563203,0.000335,0.173396,0.000373,0.04306,0.000277,0.047147,0.000242,0.013127,0.000106,0.028901,0.000197,0.031194,0.000296,0.0255,0.00024,0.577267,0.000643,0.009996,0.000219,0.032131,0.00031,0.18922,0.00019,0.634281,4.4e-05,0.0,0.0
1.0,oracle_hybrid_contact_supervisor,10,0.708542,0.011873,0.776543,0.011095,0.599817,0.000414,0.163375,0.000284,0.028996,0.000285,0.038414,0.000278,0.004037,0.000181,0.025267,0.000206,0.017861,0.000372,0.029026,0.00019,0.61853,0.000737,0.016696,0.000268,0.020541,0.00029,0.1968,0.000255,0.698551,7.8e-05,0.0,0.0
