stress_level,method,groups,mean_mean_success,ci95_mean_success,mean_mean_utility,ci95_mean_utility,mean_mean_contact_mode_f1,ci95_mean_contact_mode_f1,mean_mean_boundary_error,ci95_mean_boundary_error,mean_mean_complementarity_residual,ci95_mean_complementarity_residual,mean_mean_impulse_violation,ci95_mean_impulse_violation,mean_mean_unsafe_impulse,ci95_mean_unsafe_impulse,mean_mean_jam_rate,ci95_mean_jam_rate,mean_mean_slip_overshoot,ci95_mean_slip_overshoot,mean_mean_mode_switch_latency,ci95_mean_mode_switch_latency,mean_mean_recovery_success,ci95_mean_recovery_success,mean_mean_energy_spike,ci95_mean_energy_spike,mean_mean_calibration_ece,ci95_mean_calibration_ece,mean_mean_intervention_cost,ci95_mean_intervention_cost,mean_mean_fixed_risk_coverage,ci95_mean_fixed_risk_coverage,mean_mean_regret_to_oracle,ci95_mean_regret_to_oracle
0.0,conformal_risk_filter,10,0.587917,0.010017,0.620622,0.009991,0.382291,0.000483,0.235832,0.000466,0.060669,0.000278,0.046285,0.000199,0.018329,0.000221,0.045139,0.000228,0.029863,0.00016,0.045131,0.000198,0.419122,0.000479,0.042928,0.000419,0.029224,0.000372,0.163605,0.000197,0.665495,5.9e-05,0.0,0.0
0.0,complementarity_residual_planner,10,0.617292,0.013056,0.657744,0.012486,0.458789,0.000464,0.223436,0.00037,0.045091,0.000222,0.048092,0.000164,0.025467,0.000254,0.043432,0.000271,0.029421,0.000287,0.045544,0.00036,0.489087,0.000708,0.039115,0.000283,0.034244,0.000325,0.15042,0.00014,0.590828,5.7e-05,0.0,0.0
0.0,robust_hybrid_mpc,10,0.622083,0.012177,0.669006,0.012019,0.471769,0.000536,0.215253,0.000384,0.047063,0.000235,0.043133,0.000316,0.019878,0.000294,0.039284,0.000266,0.026922,0.000382,0.042843,0.000267,0.510675,0.000603,0.034229,0.000178,0.031296,0.000173,0.164624,0.000242,0.639577,6.9e-05,0.0,0.0
0.0,proposed_contact_mode_boundary_atlas_v4,10,0.664583,0.012021,0.724269,0.011122,0.550708,0.00051,0.19213,0.000258,0.037403,0.000332,0.040952,0.00034,0.015762,0.000291,0.030224,0.000244,0.01843,0.000158,0.040066,0.000269,0.581737,0.000772,0.029219,0.000306,0.025182,0.000276,0.157972,0.000196,0.656043,7.2e-05,0.0,0.0
0.0,contact_mode_boundary_audit_v5,10,0.725625,0.008988,0.811943,0.009317,0.625929,0.000613,0.163158,0.000609,0.027706,0.00032,0.033325,0.000396,0.00485,0.000299,0.018906,0.000225,0.011833,0.000267,0.023012,0.00021,0.668712,0.00066,0.006742,0.000325,0.016851,0.000219,0.16073,0.000135,0.723558,7.2e-05,0.0,0.0
0.0,oracle_hybrid_contact_supervisor,10,0.76875,0.011453,0.84648,0.009417,0.663086,0.000426,0.158826,0.000349,0.020312,0.000333,0.029811,0.000296,0.000901,9.6e-05,0.01629,0.000257,0.007208,0.000248,0.026191,0.00041,0.709863,0.000694,0.011282,0.00021,0.013579,0.000381,0.16475,0.000195,0.786251,4.5e-05,0.0,0.0
0.111111,conformal_risk_filter,10,0.576458,0.006614,0.60542,0.006481,0.375401,0.000556,0.241432,0.00021,0.065747,0.000275,0.049503,0.000225,0.020269,0.000171,0.048153,0.000313,0.036601,0.000261,0.048388,0.000228,0.409693,0.000325,0.046507,0.000258,0.03332,0.000288,0.167109,0.000192,0.654909,5.6e-05,0.0,0.0
0.111111,complementarity_residual_planner,10,0.611875,0.015182,0.648314,0.014493,0.452027,0.00036,0.227135,0.000355,0.047701,0.000349,0.051436,0.000191,0.027587,0.000319,0.046079,0.000245,0.033865,0.000339,0.048489,0.00019,0.478882,0.000638,0.041968,0.000328,0.040031,0.000209,0.154001,0.000189,0.580389,7.7e-05,0.0,0.0
0.111111,robust_hybrid_mpc,10,0.603125,0.018833,0.646607,0.018595,0.464598,0.000581,0.219124,0.000372,0.050488,0.000191,0.045788,0.000202,0.021588,0.000277,0.041958,0.000153,0.030973,0.000289,0.045102,0.000329,0.500768,0.000503,0.0367,0.000323,0.03604,0.000241,0.168519,9e-05,0.629245,5.1e-05,0.0,0.0
0.111111,proposed_contact_mode_boundary_atlas_v4,10,0.646667,0.013297,0.705725,0.01304,0.543792,0.000575,0.19484,0.000211,0.039326,0.000169,0.043367,0.000379,0.017641,0.000211,0.032155,0.000324,0.021657,0.000265,0.042028,0.000307,0.570764,0.000594,0.030817,0.000384,0.029089,0.000201,0.161317,0.000299,0.645763,6e-05,0.0,0.0
