method,split,seed,success,success_ci95,contact_mode_f1,contact_mode_f1_ci95,boundary_error,boundary_error_ci95,unsafe_impulse,unsafe_impulse_ci95,jam_rate,jam_rate_ci95,slip_overshoot,slip_overshoot_ci95,intervention_cost,intervention_cost_ci95,data_efficiency_proxy,data_efficiency_proxy_ci95,groups,regret_to_oracle
no_contact_behavior_clone,nominal,0,0.4483,0.0219,0.2456,0.0044,0.3255,0.0086,0.078,0.0071,0.086,0.0066,0.0553,0.0051,0.121,0.0011,0.2623,0.0036,35,0.2643
no_contact_behavior_clone,nominal,1,0.4531,0.0208,0.2464,0.0034,0.3234,0.0081,0.0772,0.007,0.0848,0.0061,0.0558,0.0048,0.121,0.0011,0.2601,0.0025,35,0.2735
no_contact_behavior_clone,nominal,2,0.4364,0.0204,0.2455,0.0041,0.3225,0.0079,0.0779,0.007,0.0836,0.0063,0.0558,0.0042,0.121,0.0011,0.2629,0.0028,35,0.284
no_contact_behavior_clone,nominal,3,0.4452,0.0218,0.2438,0.0035,0.3234,0.0085,0.0779,0.0067,0.0863,0.0063,0.0548,0.0053,0.121,0.0011,0.2648,0.0025,35,0.266
no_contact_behavior_clone,nominal,4,0.4524,0.0195,0.2446,0.0034,0.323,0.0079,0.0776,0.0067,0.0837,0.0065,0.0548,0.0049,0.121,0.0011,0.264,0.0032,35,0.267
no_contact_behavior_clone,nominal,5,0.4347,0.0213,0.2455,0.0029,0.3232,0.0083,0.0769,0.007,0.0857,0.006,0.0561,0.0056,0.121,0.0011,0.2627,0.0028,35,0.2663
no_contact_behavior_clone,nominal,6,0.4422,0.0237,0.2453,0.0027,0.3235,0.0084,0.0766,0.0063,0.085,0.0063,0.0554,0.0055,0.121,0.0011,0.2601,0.003,35,0.2718
no_contact_behavior_clone,seen_shift,0,0.4024,0.0208,0.233,0.0033,0.3431,0.01,0.0953,0.0091,0.1045,0.0076,0.0774,0.0061,0.1332,0.0014,0.2522,0.003,35,0.2823
no_contact_behavior_clone,seen_shift,1,0.4027,0.0204,0.2345,0.0032,0.343,0.0098,0.0962,0.0092,0.1053,0.0076,0.0785,0.006,0.1332,0.0014,0.2503,0.003,35,0.2905
no_contact_behavior_clone,seen_shift,2,0.3983,0.0224,0.2295,0.0029,0.3436,0.0098,0.095,0.0091,0.1062,0.0078,0.0774,0.0063,0.1332,0.0014,0.2526,0.0024,35,0.2724
no_contact_behavior_clone,seen_shift,3,0.3986,0.0195,0.2334,0.0029,0.3436,0.0093,0.0959,0.0091,0.1064,0.0075,0.0772,0.006,0.1332,0.0014,0.2504,0.002,35,0.2946
no_contact_behavior_clone,seen_shift,4,0.3946,0.0213,0.232,0.0034,0.3413,0.0102,0.0949,0.0095,0.1052,0.0073,0.0775,0.0059,0.1332,0.0014,0.2516,0.0031,35,0.2959
no_contact_behavior_clone,seen_shift,5,0.3973,0.0225,0.2309,0.0033,0.3442,0.01,0.0961,0.009,0.1043,0.0077,0.0775,0.0062,0.1332,0.0014,0.2491,0.0031,35,0.2772
no_contact_behavior_clone,seen_shift,6,0.4109,0.0195,0.2335,0.0035,0.3424,0.0102,0.0954,0.0089,0.1044,0.0079,0.077,0.0062,0.1332,0.0014,0.2536,0.0024,35,0.2837
no_contact_behavior_clone,unseen_geometry,0,0.3544,0.0257,0.2271,0.0031,0.3599,0.0117,0.1107,0.0117,0.1222,0.0097,0.0827,0.0055,0.1393,0.0015,0.2462,0.0017,35,0.2969
no_contact_behavior_clone,unseen_geometry,1,0.3782,0.0191,0.2261,0.0038,0.3593,0.0114,0.1113,0.0112,0.1207,0.0099,0.083,0.006,0.1393,0.0015,0.2451,0.0029,35,0.2857
no_contact_behavior_clone,unseen_geometry,2,0.3503,0.0175,0.2257,0.0031,0.3589,0.012,0.1125,0.0117,0.1205,0.0098,0.0834,0.0066,0.1393,0.0015,0.2482,0.0025,35,0.3071
