risk_budget,baseline,is_strongest_non_oracle,mean_utility_diff,ci95_utility_diff,wins_utility_over_seeds,mean_coverage_diff,ci95_coverage_diff,seeds
0.08,complementarity_residual_planner,no,0.283995,0.01543,10,0.097474,0.000641,10
0.08,conformal_risk_filter,no,0.317752,0.01758,10,0.100861,0.000415,10
0.08,contact_implicit_mpc,no,0.304537,0.017968,10,0.105739,0.000525,10
0.08,diffusion_policy_surrogate,no,0.435797,0.015985,10,0.197909,0.000605,10
0.08,domain_randomization,no,0.454042,0.02081,10,0.192538,0.000441,10
0.08,energy_barrier_policy,no,0.296288,0.019154,10,0.08183,0.000804,10
0.08,ensemble_disagreement_planner,no,0.32286,0.018135,10,0.117249,0.000449,10
0.08,learned_contact_classifier,no,0.298461,0.017784,10,0.117102,0.000668,10
0.08,no_contact_behavior_clone,no,0.545408,0.016466,10,0.233464,0.000446,10
0.08,oracle_contact_mode_supervisor,no,0.010646,0.025279,6,0.001975,0.000612,10
0.08,oracle_hybrid_contact_supervisor,no,-0.019197,0.019574,1,-0.016953,0.000528,10
0.08,proposed_contact_mode_boundary_atlas_v4,yes,0.167472,0.020827,10,0.052819,0.000434,10
0.08,robotics_transformer_surrogate,no,0.411318,0.018878,10,0.183853,0.000453,10
0.08,robust_hybrid_mpc,no,0.250738,0.012084,10,0.075639,0.000616,10
0.08,smooth_dynamics_world_model,no,0.439023,0.020483,10,0.194406,0.000655,10
0.12,complementarity_residual_planner,no,0.280515,0.015558,10,0.087727,0.000577,10
0.12,conformal_risk_filter,no,0.314645,0.0178,10,0.090775,0.000374,10
0.12,contact_implicit_mpc,no,0.300898,0.018185,10,0.095165,0.000472,10
0.12,diffusion_policy_surrogate,no,0.430198,0.016158,10,0.178118,0.000545,10
0.12,domain_randomization,no,0.449373,0.021168,10,0.173284,0.000397,10
0.12,energy_barrier_policy,no,0.293949,0.019374,10,0.073647,0.000723,10
0.12,ensemble_disagreement_planner,no,0.318842,0.018374,10,0.105525,0.000404,10
0.12,learned_contact_classifier,no,0.293964,0.018003,10,0.105392,0.000602,10
0.12,no_contact_behavior_clone,no,0.542336,0.016734,10,0.210117,0.000401,10
0.12,oracle_contact_mode_supervisor,no,0.010593,0.025458,6,0.001777,0.00055,10
0.12,oracle_hybrid_contact_supervisor,no,-0.017887,0.019689,1,-0.015258,0.000476,10
0.12,proposed_contact_mode_boundary_atlas_v4,yes,0.165138,0.021011,10,0.047538,0.00039,10
0.12,robotics_transformer_surrogate,no,0.405758,0.019242,10,0.165468,0.000407,10
0.12,robust_hybrid_mpc,no,0.248017,0.01215,10,0.068076,0.000554,10
0.12,smooth_dynamics_world_model,no,0.433793,0.020792,10,0.174965,0.000589,10
0.16,complementarity_residual_planner,no,0.277667,0.015665,10,0.079752,0.000524,10
0.16,conformal_risk_filter,no,0.312103,0.01798,10,0.082522,0.00034,10
0.16,contact_implicit_mpc,no,0.29792,0.018364,10,0.086514,0.000429,10
0.16,diffusion_policy_surrogate,no,0.425616,0.016302,10,0.161925,0.000495,10
0.16,domain_randomization,no,0.445553,0.021461,10,0.157531,0.000361,10
0.16,energy_barrier_policy,no,0.292036,0.019554,10,0.066951,0.000658,10
0.16,ensemble_disagreement_planner,no,0.315554,0.01857,10,0.095931,0.000367,10
0.16,learned_contact_classifier,no,0.290284,0.018185,10,0.095811,0.000547,10
0.16,no_contact_behavior_clone,no,0.539823,0.016956,10,0.191016,0.000365,10
0.16,oracle_contact_mode_supervisor,no,0.01055,0.025604,6,0.001616,0.0005,10
0.16,oracle_hybrid_contact_supervisor,no,-0.016806,0.019781,2,-0.013871,0.000432,10
0.16,proposed_contact_mode_boundary_atlas_v4,yes,0.163229,0.021161,10,0.043216,0.000355,10
0.16,robotics_transformer_surrogate,no,0.401209,0.019543,10,0.150425,0.00037,10
0.16,robust_hybrid_mpc,no,0.245792,0.012206,10,0.061887,0.000504,10
0.16,smooth_dynamics_world_model,no,0.429515,0.021046,10,0.159059,0.000536,10
0.2,complementarity_residual_planner,no,0.275293,0.015753,10,0.073106,0.000481,10
0.2,conformal_risk_filter,no,0.309983,0.018131,10,0.075645,0.000311,10
0.2,contact_implicit_mpc,no,0.295437,0.018513,10,0.079304,0.000393,10
0.2,diffusion_policy_surrogate,no,0.421797,0.016422,10,0.148431,0.000454,10
0.2,domain_randomization,no,0.442367,0.021706,10,0.144404,0.000331,10
0.2,energy_barrier_policy,no,0.290439,0.019706,10,0.061372,0.000603,10
0.2,ensemble_disagreement_planner,no,0.312813,0.018733,10,0.087937,0.000337,10
0.2,learned_contact_classifier,no,0.287216,0.018337,10,0.087827,0.000501,10
0.2,no_contact_behavior_clone,no,0.537727,0.017141,10,0.175098,0.000334,10
0.2,oracle_contact_mode_supervisor,no,0.010513,0.025725,6,0.001481,0.000459,10
0.2,oracle_hybrid_contact_supervisor,no,-0.015905,0.019859,2,-0.012715,0.000396,10
0.2,proposed_contact_mode_boundary_atlas_v4,yes,0.161636,0.021287,10,0.039615,0.000325,10
0.2,robotics_transformer_surrogate,no,0.397417,0.019795,10,0.13789,0.00034,10
0.2,robust_hybrid_mpc,no,0.243936,0.012253,10,0.05673,0.000462,10
0.2,smooth_dynamics_world_model,no,0.425947,0.021257,10,0.145804,0.000491,10
