method,split,seed,groups,mean_success,ci95_success,mean_utility,ci95_utility,mean_contact_mode_f1,ci95_contact_mode_f1,mean_boundary_error,ci95_boundary_error,mean_complementarity_residual,ci95_complementarity_residual,mean_impulse_violation,ci95_impulse_violation,mean_unsafe_impulse,ci95_unsafe_impulse,mean_jam_rate,ci95_jam_rate,mean_slip_overshoot,ci95_slip_overshoot,mean_mode_switch_latency,ci95_mode_switch_latency,mean_recovery_success,ci95_recovery_success,mean_energy_spike,ci95_energy_spike,mean_calibration_ece,ci95_calibration_ece,mean_intervention_cost,ci95_intervention_cost,mean_fixed_risk_coverage,ci95_fixed_risk_coverage,mean_regret_to_oracle,ci95_regret_to_oracle
no_contact_behavior_clone,heldout_mixed_non_smooth_stress,0,80,0.354167,0.045526,0.291261,0.04475,0.161263,0.001624,0.345637,0.008568,0.153657,0.006551,0.127147,0.008156,0.082589,0.004805,0.099847,0.006241,0.136926,0.005159,0.098343,0.005037,0.149358,0.001687,0.116139,0.005857,0.13191,0.001166,0.144191,0.000595,0.284834,0.001452,0.345833,0.0
no_contact_behavior_clone,heldout_mixed_non_smooth_stress,1,80,0.354167,0.049095,0.292744,0.048349,0.162682,0.001521,0.344318,0.008514,0.153784,0.006291,0.127538,0.007972,0.083041,0.004881,0.100014,0.006151,0.13783,0.005247,0.098682,0.005218,0.151372,0.001881,0.115137,0.005928,0.132636,0.001233,0.144996,0.000526,0.284798,0.00145,0.333333,0.0
no_contact_behavior_clone,heldout_mixed_non_smooth_stress,2,80,0.327083,0.041273,0.266602,0.039788,0.162215,0.001541,0.345805,0.008737,0.154445,0.0064,0.127185,0.007974,0.082755,0.004749,0.100008,0.006156,0.137346,0.005351,0.098799,0.005001,0.150283,0.001806,0.11561,0.006042,0.133558,0.001259,0.144708,0.000652,0.284815,0.001461,0.347917,0.0
no_contact_behavior_clone,heldout_mixed_non_smooth_stress,3,80,0.341667,0.04572,0.283255,0.044126,0.162569,0.001397,0.34652,0.008658,0.153622,0.006175,0.126405,0.008088,0.083718,0.004966,0.100174,0.006285,0.137832,0.005026,0.098703,0.005227,0.150159,0.001717,0.115685,0.005953,0.132434,0.001178,0.145136,0.000705,0.284608,0.001471,0.364583,0.0
no_contact_behavior_clone,heldout_mixed_non_smooth_stress,4,80,0.358333,0.050023,0.300769,0.047872,0.162693,0.00155,0.345152,0.008864,0.153954,0.006428,0.127079,0.007882,0.083695,0.004651,0.10027,0.006187,0.137549,0.005336,0.098875,0.005088,0.150957,0.001687,0.115147,0.005849,0.132126,0.0011,0.144902,0.000573,0.284672,0.001418,0.366667,0.0
no_contact_behavior_clone,heldout_mixed_non_smooth_stress,5,80,0.341667,0.04105,0.278663,0.040564,0.161727,0.001537,0.345827,0.0086,0.153618,0.006435,0.128068,0.007961,0.083035,0.004864,0.099544,0.006076,0.137859,0.005185,0.098068,0.005059,0.150627,0.00163,0.115896,0.006002,0.131946,0.001045,0.145252,0.000641,0.284799,0.001456,0.327083,0.0
no_contact_behavior_clone,heldout_mixed_non_smooth_stress,6,80,0.364583,0.041538,0.300499,0.041199,0.162122,0.001608,0.346124,0.008655,0.153565,0.006431,0.127253,0.007907,0.082811,0.004835,0.100519,0.006305,0.13729,0.005274,0.099101,0.005165,0.150854,0.001738,0.116147,0.006017,0.13261,0.001125,0.144848,0.000716,0.284795,0.001484,0.339583,0.0
no_contact_behavior_clone,heldout_mixed_non_smooth_stress,7,80,0.364583,0.039879,0.300483,0.039041,0.163225,0.001502,0.344513,0.008777,0.154413,0.006576,0.127506,0.007858,0.083031,0.004883,0.100884,0.006339,0.137002,0.005236,0.098249,0.005083,0.15016,0.001797,0.115635,0.006053,0.132039,0.001147,0.144626,0.000673,0.284706,0.001456,0.3625,0.0
no_contact_behavior_clone,heldout_mixed_non_smooth_stress,8,80,0.314583,0.040675,0.255383,0.038513,0.163011,0.001737,0.345043,0.00879,0.154173,0.006513,0.127715,0.007943,0.083404,0.004879,0.099544,0.006385,0.136906,0.004985,0.097841,0.004959,0.150768,0.001991,0.114988,0.005932,0.132736,0.001192,0.144702,0.000562,0.284829,0.001428,0.385417,0.0
no_contact_behavior_clone,heldout_mixed_non_smooth_stress,9,80,0.364583,0.0403,0.301658,0.039088,0.162833,0.001546,0.34541,0.008469,0.153693,0.006501,0.127268,0.008021,0.083057,0.004942,0.100502,0.006039,0.137542,0.005262,0.098594,0.005029,0.150162,0.001924,0.115159,0.005991,0.132118,0.001168,0.144307,0.000673,0.284698,0.001474,0.33125,0.0
domain_randomization,heldout_mixed_non_smooth_stress,0,80,0.441667,0.048654,0.400402,0.048496,0.234851,0.0015,0.318174,0.007327,0.13306,0.005505,0.111689,0.006881,0.070873,0.004357,0.088182,0.005355,0.116176,0.004319,0.085957,0.004568,0.222428,0.00165,0.098668,0.005159,0.114157,0.001031,0.151501,0.000646,0.345802,0.001277,0.258333,0.0
domain_randomization,heldout_mixed_non_smooth_stress,1,80,0.408333,0.038503,0.36613,0.038482,0.236169,0.001535,0.317576,0.007535,0.133245,0.005482,0.111425,0.006718,0.070423,0.004315,0.088297,0.005413,0.11543,0.004366,0.086374,0.004418,0.22315,0.001579,0.09923,0.004976,0.114332,0.001058,0.151411,0.000594,0.345961,0.001289,0.279167,0.0
domain_randomization,heldout_mixed_non_smooth_stress,2,80,0.40625,0.041842,0.364311,0.042034,0.234869,0.001606,0.318004,0.007328,0.133202,0.005417,0.112685,0.006774,0.071261,0.004331,0.08929,0.005388,0.115306,0.004358,0.086793,0.004396,0.223395,0.001741,0.099303,0.004979,0.113049,0.001222,0.151157,0.000629,0.345761,0.001298,0.26875,0.0
domain_randomization,heldout_mixed_non_smooth_stress,3,80,0.43125,0.045644,0.390685,0.044949,0.235067,0.0014,0.317772,0.007169,0.133621,0.005479,0.112276,0.006776,0.069913,0.004316,0.089329,0.005252,0.11573,0.004263,0.086882,0.004455,0.223117,0.001669,0.099643,0.004965,0.11385,0.000999,0.15161,0.000595,0.345909,0.001258,0.275,0.0
domain_randomization,heldout_mixed_non_smooth_stress,4,80,0.433333,0.040926,0.389828,0.041305,0.236279,0.00141,0.316647,0.007316,0.133387,0.005508,0.112336,0.0069,0.070875,0.004175,0.089231,0.00511,0.116278,0.00443,0.086277,0.004343,0.223258,0.001932,0.099001,0.005084,0.114587,0.001044,0.151096,0.000589,0.345739,0.001194,0.291667,0.0
domain_randomization,heldout_mixed_non_smooth_stress,5,80,0.435417,0.048791,0.395186,0.048235,0.235606,0.001524,0.318418,0.007689,0.13252,0.005295,0.112411,0.00674,0.070899,0.004219,0.088798,0.005254,0.11614,0.004187,0.086122,0.004378,0.223912,0.001709,0.098949,0.005053,0.113892,0.001129,0.15104,0.000703,0.345829,0.001248,0.233333,0.0
domain_randomization,heldout_mixed_non_smooth_stress,6,80,0.4125,0.04149,0.373012,0.040322,0.235005,0.001306,0.316575,0.007443,0.133548,0.005451,0.111678,0.006806,0.07062,0.004288,0.088197,0.005384,0.116239,0.004217,0.086422,0.004514,0.224618,0.001572,0.098618,0.005029,0.114201,0.001068,0.150542,0.000615,0.345965,0.001285,0.291667,0.0
domain_randomization,heldout_mixed_non_smooth_stress,7,80,0.447917,0.042937,0.404964,0.043565,0.235361,0.001481,0.316314,0.007286,0.133954,0.005531,0.112365,0.006784,0.070807,0.004223,0.087792,0.005368,0.115546,0.004381,0.086117,0.004532,0.222318,0.001855,0.100162,0.004975,0.113716,0.001134,0.151546,0.000624,0.345895,0.001268,0.279167,0.0
domain_randomization,heldout_mixed_non_smooth_stress,8,80,0.44375,0.043851,0.402287,0.04295,0.235159,0.001508,0.317589,0.007398,0.133004,0.005383,0.111469,0.006897,0.071494,0.004216,0.087978,0.005294,0.116165,0.004269,0.086473,0.004504,0.221259,0.002076,0.099222,0.005036,0.113622,0.001041,0.151618,0.000712,0.34566,0.001241,0.25625,0.0
domain_randomization,heldout_mixed_non_smooth_stress,9,80,0.447917,0.045976,0.404559,0.045203,0.235507,0.001398,0.317256,0.007654,0.133338,0.005411,0.112158,0.006633,0.07083,0.004132,0.089385,0.005227,0.1162,0.004096,0.08571,0.004278,0.224051,0.001556,0.099667,0.005115,0.113646,0.001055,0.151522,0.000574,0.345784,0.001233,0.247917,0.0
diffusion_policy_surrogate,heldout_mixed_non_smooth_stress,0,80,0.475,0.045424,0.434274,0.045457,0.251023,0.0015,0.314552,0.007547,0.134343,0.005546,0.116007,0.007145,0.070826,0.00435,0.087377,0.005145,0.121438,0.00443,0.088075,0.004792,0.237625,0.001693,0.100572,0.005225,0.115986,0.001111,0.152826,0.000711,0.352381,0.001259,0.225,0.0
diffusion_policy_surrogate,heldout_mixed_non_smooth_stress,1,80,0.452083,0.045086,0.410991,0.044517,0.250798,0.001601,0.315193,0.007344,0.133785,0.005481,0.11638,0.007072,0.072041,0.0045,0.087787,0.004965,0.121074,0.004398,0.087792,0.004706,0.236653,0.002037,0.099984,0.005046,0.117006,0.001152,0.152575,0.000635,0.352128,0.001287,0.235417,0.0
diffusion_policy_surrogate,heldout_mixed_non_smooth_stress,2,80,0.452083,0.041579,0.410716,0.041706,0.249053,0.001736,0.315122,0.007345,0.134638,0.005608,0.115842,0.007089,0.072159,0.004301,0.087951,0.005016,0.12003,0.004568,0.088586,0.004634,0.236475,0.001662,0.100374,0.005077,0.116547,0.000975,0.153243,0.00067,0.352167,0.001231,0.222917,0.0
diffusion_policy_surrogate,heldout_mixed_non_smooth_stress,3,80,0.43125,0.043755,0.38915,0.044246,0.249662,0.001446,0.314638,0.007666,0.13418,0.005668,0.116645,0.007285,0.070864,0.004156,0.087508,0.005281,0.120686,0.004462,0.088405,0.00453,0.237024,0.001828,0.100514,0.005037,0.115452,0.0011,0.152658,0.00062,0.352386,0.001216,0.275,0.0
diffusion_policy_surrogate,heldout_mixed_non_smooth_stress,4,80,0.4875,0.044928,0.447791,0.044159,0.250053,0.001475,0.314799,0.007342,0.134392,0.005723,0.115327,0.007143,0.071862,0.004302,0.087643,0.005197,0.120287,0.004421,0.087752,0.004627,0.237553,0.001711,0.100333,0.005061,0.116204,0.001142,0.152495,0.000661,0.352287,0.001237,0.2375,0.0
diffusion_policy_surrogate,heldout_mixed_non_smooth_stress,5,80,0.452083,0.037747,0.410454,0.038073,0.249466,0.001376,0.314067,0.007388,0.134163,0.005537,0.116426,0.007086,0.0717,0.004366,0.088468,0.004856,0.120116,0.004439,0.088412,0.004506,0.237094,0.001849,0.100385,0.00515,0.116434,0.001036,0.152672,0.000622,0.352215,0.00123,0.216667,0.0
