method,split,seed,groups,mean_success,ci95_success,mean_utility,ci95_utility,mean_contact_mode_f1,ci95_contact_mode_f1,mean_boundary_error,ci95_boundary_error,mean_complementarity_residual,ci95_complementarity_residual,mean_impulse_violation,ci95_impulse_violation,mean_unsafe_impulse,ci95_unsafe_impulse,mean_jam_rate,ci95_jam_rate,mean_slip_overshoot,ci95_slip_overshoot,mean_mode_switch_latency,ci95_mode_switch_latency,mean_recovery_success,ci95_recovery_success,mean_energy_spike,ci95_energy_spike,mean_calibration_ece,ci95_calibration_ece,mean_intervention_cost,ci95_intervention_cost,mean_fixed_risk_coverage,ci95_fixed_risk_coverage,mean_regret_to_oracle,ci95_regret_to_oracle
diffusion_policy_surrogate,heldout_mixed_non_smooth_stress,6,80,0.466667,0.039155,0.424252,0.039427,0.249294,0.001682,0.316345,0.007323,0.134485,0.005437,0.116887,0.007197,0.072207,0.004317,0.087414,0.00505,0.120313,0.004481,0.087876,0.004567,0.237329,0.001768,0.09982,0.005174,0.116833,0.001117,0.152799,0.000686,0.352242,0.001262,0.2375,0.0
diffusion_policy_surrogate,heldout_mixed_non_smooth_stress,7,80,0.4625,0.047557,0.421968,0.047216,0.251257,0.001577,0.31535,0.007424,0.134745,0.005466,0.11738,0.007239,0.071252,0.004578,0.087898,0.00526,0.120499,0.004502,0.0888,0.004553,0.23659,0.001692,0.100873,0.005234,0.115671,0.001114,0.153201,0.000654,0.352278,0.001303,0.264583,0.0
diffusion_policy_surrogate,heldout_mixed_non_smooth_stress,8,80,0.439583,0.045104,0.398333,0.045257,0.250295,0.001623,0.315016,0.007446,0.133894,0.005737,0.116591,0.006996,0.072142,0.00418,0.087538,0.005003,0.119995,0.004166,0.088194,0.004505,0.237567,0.001777,0.099613,0.004969,0.116686,0.001064,0.152483,0.000607,0.352279,0.001215,0.260417,0.0
diffusion_policy_surrogate,heldout_mixed_non_smooth_stress,9,80,0.454167,0.046115,0.414,0.046314,0.250278,0.001386,0.314548,0.007115,0.134072,0.005797,0.115738,0.007112,0.071266,0.004259,0.088493,0.005241,0.119605,0.004348,0.08761,0.004765,0.237423,0.001631,0.100581,0.004978,0.116948,0.001067,0.152535,0.000638,0.352338,0.001268,0.241667,0.0
robotics_transformer_surrogate,heldout_mixed_non_smooth_stress,0,80,0.491667,0.044598,0.457645,0.044498,0.269649,0.00163,0.30504,0.006914,0.130029,0.005306,0.109467,0.006606,0.066729,0.004137,0.084828,0.004759,0.113828,0.00406,0.082574,0.004112,0.257454,0.001859,0.096042,0.004707,0.110458,0.000965,0.156028,0.000648,0.375049,0.001181,0.208333,0.0
robotics_transformer_surrogate,heldout_mixed_non_smooth_stress,1,80,0.445833,0.047486,0.411681,0.047646,0.270756,0.001786,0.305262,0.00669,0.129685,0.005591,0.111002,0.006779,0.067384,0.003893,0.084499,0.004948,0.114023,0.004023,0.083781,0.00417,0.257807,0.00163,0.094466,0.004889,0.110262,0.00109,0.155828,0.000621,0.374989,0.001134,0.241667,0.0
robotics_transformer_surrogate,heldout_mixed_non_smooth_stress,2,80,0.5125,0.049232,0.478065,0.049674,0.270635,0.00135,0.306261,0.006962,0.129697,0.005354,0.110406,0.006797,0.066496,0.004115,0.083868,0.004887,0.113878,0.004169,0.084388,0.0044,0.256968,0.001813,0.095233,0.00473,0.110651,0.00103,0.156096,0.000756,0.375147,0.001172,0.1625,0.0
robotics_transformer_surrogate,heldout_mixed_non_smooth_stress,3,80,0.4625,0.045004,0.428304,0.045272,0.270656,0.001613,0.305166,0.007033,0.128719,0.00536,0.110276,0.006782,0.067532,0.004128,0.08371,0.004874,0.113635,0.004142,0.083365,0.004127,0.259062,0.002025,0.095503,0.004883,0.109801,0.001105,0.155427,0.00079,0.375152,0.001182,0.24375,0.0
robotics_transformer_surrogate,heldout_mixed_non_smooth_stress,4,80,0.46875,0.051681,0.434614,0.052038,0.26869,0.001629,0.305866,0.007005,0.129876,0.005191,0.110665,0.006523,0.067028,0.004046,0.083485,0.004853,0.113782,0.004251,0.083062,0.004357,0.257482,0.00166,0.095495,0.004795,0.109954,0.000974,0.155578,0.000634,0.375144,0.001204,0.25625,0.0
robotics_transformer_surrogate,heldout_mixed_non_smooth_stress,5,80,0.477083,0.049903,0.443538,0.050245,0.27041,0.0015,0.305723,0.00711,0.130365,0.005396,0.11091,0.006561,0.067149,0.003916,0.083731,0.004915,0.114384,0.003986,0.083429,0.004301,0.258267,0.001765,0.094706,0.004816,0.110419,0.000993,0.155325,0.000622,0.3751,0.001162,0.191667,0.0
robotics_transformer_surrogate,heldout_mixed_non_smooth_stress,6,80,0.435417,0.040048,0.400671,0.040662,0.27154,0.001516,0.305617,0.006769,0.129365,0.005398,0.109638,0.006621,0.066717,0.004158,0.084845,0.004813,0.1144,0.003999,0.082828,0.00418,0.257595,0.001743,0.096268,0.004791,0.110029,0.000986,0.155031,0.000696,0.375012,0.001184,0.26875,0.0
robotics_transformer_surrogate,heldout_mixed_non_smooth_stress,7,80,0.433333,0.044863,0.399401,0.044781,0.270372,0.001422,0.306661,0.007061,0.130146,0.005347,0.110389,0.006723,0.066982,0.004151,0.084057,0.004844,0.114075,0.004001,0.082912,0.004334,0.25743,0.001828,0.095266,0.004905,0.110325,0.001078,0.155421,0.00065,0.375067,0.0012,0.29375,0.0
robotics_transformer_surrogate,heldout_mixed_non_smooth_stress,8,80,0.502083,0.04557,0.468239,0.045045,0.270708,0.001633,0.305099,0.007064,0.129876,0.00529,0.110292,0.006663,0.067141,0.004128,0.083405,0.004708,0.113973,0.004109,0.084437,0.004273,0.257923,0.001719,0.095523,0.004891,0.110252,0.001069,0.155191,0.000739,0.375146,0.001185,0.197917,0.0
robotics_transformer_surrogate,heldout_mixed_non_smooth_stress,9,80,0.497917,0.045939,0.463362,0.046323,0.270708,0.001248,0.305438,0.006644,0.129889,0.005267,0.111199,0.006544,0.067453,0.004004,0.084906,0.004758,0.114007,0.004162,0.083113,0.004434,0.257832,0.001825,0.094754,0.004784,0.110308,0.001148,0.155285,0.000634,0.374941,0.001162,0.197917,0.0
ensemble_disagreement_planner,heldout_mixed_non_smooth_stress,0,80,0.527083,0.040446,0.525063,0.040538,0.342393,0.00133,0.273167,0.005837,0.102194,0.004324,0.082825,0.00454,0.042152,0.00291,0.067777,0.004016,0.087212,0.003405,0.073253,0.003851,0.347824,0.00177,0.073212,0.003828,0.072073,0.001153,0.180632,0.000589,0.525992,0.000887,0.172917,0.0
ensemble_disagreement_planner,heldout_mixed_non_smooth_stress,1,80,0.525,0.038591,0.522649,0.038888,0.343057,0.001785,0.273542,0.006007,0.101534,0.004234,0.083521,0.004819,0.041897,0.003019,0.06689,0.004148,0.086684,0.003218,0.073005,0.003983,0.346436,0.001601,0.0732,0.003795,0.071706,0.001027,0.18045,0.000605,0.526078,0.00094,0.1625,0.0
ensemble_disagreement_planner,heldout_mixed_non_smooth_stress,2,80,0.4875,0.04677,0.485639,0.046991,0.342248,0.001426,0.272827,0.006058,0.10177,0.004129,0.08381,0.004629,0.04314,0.00285,0.066987,0.004116,0.086957,0.00343,0.072921,0.003885,0.348682,0.001483,0.073966,0.003745,0.071342,0.001078,0.180622,0.000621,0.525995,0.000895,0.1875,0.0
ensemble_disagreement_planner,heldout_mixed_non_smooth_stress,3,80,0.49375,0.047723,0.491238,0.047808,0.341933,0.001779,0.27364,0.005997,0.102211,0.004229,0.082403,0.004729,0.043253,0.00315,0.067223,0.004184,0.086735,0.003304,0.072493,0.003947,0.346967,0.0015,0.073717,0.003959,0.071269,0.001036,0.180295,0.000686,0.525869,0.000964,0.2125,0.0
ensemble_disagreement_planner,heldout_mixed_non_smooth_stress,4,80,0.516667,0.047067,0.514494,0.047305,0.342426,0.001439,0.272567,0.005877,0.101503,0.0042,0.08331,0.004472,0.041443,0.002991,0.067598,0.004165,0.08717,0.003447,0.072974,0.003939,0.346354,0.00164,0.073843,0.003897,0.071972,0.001056,0.18072,0.000677,0.526031,0.000926,0.208333,0.0
ensemble_disagreement_planner,heldout_mixed_non_smooth_stress,5,80,0.522917,0.042996,0.520753,0.043051,0.34259,0.001662,0.27413,0.005864,0.101357,0.004352,0.083084,0.004522,0.041837,0.003089,0.067806,0.004077,0.086383,0.00342,0.073557,0.003785,0.347114,0.001827,0.073946,0.003807,0.07173,0.001109,0.180593,0.000663,0.52606,0.00094,0.145833,0.0
ensemble_disagreement_planner,heldout_mixed_non_smooth_stress,6,80,0.510417,0.041639,0.508416,0.041771,0.341656,0.001629,0.272912,0.006002,0.100986,0.004181,0.082753,0.004632,0.042432,0.003068,0.068242,0.004139,0.087082,0.003559,0.07343,0.004057,0.347446,0.001534,0.073612,0.004004,0.071518,0.001046,0.180699,0.000726,0.525891,0.000967,0.19375,0.0
ensemble_disagreement_planner,heldout_mixed_non_smooth_stress,7,80,0.458333,0.04667,0.456219,0.046681,0.34131,0.001378,0.273248,0.005885,0.101856,0.004103,0.08316,0.004515,0.041953,0.002899,0.067935,0.004021,0.08574,0.0033,0.072625,0.003879,0.347606,0.001451,0.074136,0.004006,0.071888,0.000962,0.181022,0.000659,0.526111,0.000926,0.26875,0.0
ensemble_disagreement_planner,heldout_mixed_non_smooth_stress,8,80,0.508333,0.048585,0.50626,0.048561,0.342311,0.001432,0.27281,0.005974,0.100904,0.004282,0.082882,0.004785,0.042233,0.003031,0.068007,0.004089,0.086464,0.003346,0.073051,0.003817,0.347946,0.00164,0.073889,0.003877,0.071955,0.000959,0.181332,0.000644,0.526024,0.000921,0.191667,0.0
ensemble_disagreement_planner,heldout_mixed_non_smooth_stress,9,80,0.5125,0.040998,0.510369,0.040925,0.343688,0.001596,0.273783,0.005902,0.101666,0.004139,0.083333,0.00467,0.042378,0.002962,0.067561,0.004176,0.086499,0.003379,0.073667,0.003768,0.348241,0.001558,0.073946,0.003954,0.071728,0.001146,0.181166,0.000615,0.526062,0.000926,0.183333,0.0
conformal_risk_filter,heldout_mixed_non_smooth_stress,0,80,0.516667,0.040512,0.51744,0.04048,0.327566,0.001753,0.27709,0.00629,0.100043,0.004181,0.072814,0.003931,0.032805,0.002791,0.069291,0.004304,0.084827,0.003555,0.072301,0.003897,0.34042,0.00166,0.07072,0.003963,0.061162,0.001142,0.190764,0.00076,0.582989,0.000911,0.183333,0.0
conformal_risk_filter,heldout_mixed_non_smooth_stress,1,80,0.475,0.035869,0.475925,0.036081,0.327503,0.001682,0.277125,0.00619,0.100141,0.004365,0.072116,0.003957,0.031787,0.002702,0.069334,0.004322,0.084726,0.003349,0.072177,0.003679,0.340726,0.001844,0.071061,0.00398,0.061373,0.001014,0.190778,0.000705,0.583164,0.000903,0.2125,0.0
conformal_risk_filter,heldout_mixed_non_smooth_stress,2,80,0.5375,0.047201,0.538051,0.04764,0.328542,0.001402,0.276897,0.006179,0.100228,0.004016,0.072515,0.003928,0.033148,0.002708,0.06868,0.004513,0.08415,0.003338,0.071877,0.00375,0.339793,0.001973,0.071454,0.003774,0.061037,0.001114,0.190803,0.000701,0.583015,0.000916,0.1375,0.0
conformal_risk_filter,heldout_mixed_non_smooth_stress,3,80,0.495833,0.044627,0.496292,0.044876,0.32684,0.001381,0.277322,0.006234,0.100308,0.003998,0.07262,0.003873,0.033592,0.002564,0.068965,0.004333,0.084119,0.00339,0.071972,0.003824,0.340901,0.001676,0.071418,0.004156,0.061402,0.000933,0.191069,0.000593,0.582989,0.000886,0.210417,0.0
conformal_risk_filter,heldout_mixed_non_smooth_stress,4,80,0.460417,0.045847,0.461236,0.046212,0.32859,0.001374,0.27738,0.006155,0.099975,0.004214,0.073548,0.004205,0.032895,0.002651,0.068906,0.004233,0.084814,0.003451,0.071697,0.003958,0.340213,0.001828,0.072054,0.003942,0.060439,0.001024,0.191436,0.000686,0.583003,0.000881,0.264583,0.0
conformal_risk_filter,heldout_mixed_non_smooth_stress,5,80,0.502083,0.042103,0.50324,0.042126,0.328219,0.001512,0.277279,0.00606,0.09967,0.004193,0.072309,0.004032,0.032535,0.002463,0.069112,0.004403,0.085044,0.00343,0.071666,0.00376,0.339756,0.001882,0.071291,0.003812,0.060939,0.001071,0.190257,0.000657,0.58299,0.000849,0.166667,0.0
conformal_risk_filter,heldout_mixed_non_smooth_stress,6,80,0.491667,0.042663,0.49233,0.042674,0.32586,0.001531,0.27744,0.006436,0.099944,0.004359,0.073163,0.003969,0.032849,0.002561,0.06914,0.004148,0.083902,0.003508,0.072501,0.003815,0.340727,0.00182,0.071454,0.003958,0.060821,0.001144,0.191296,0.000658,0.58309,0.000867,0.2125,0.0
conformal_risk_filter,heldout_mixed_non_smooth_stress,7,80,0.50625,0.050475,0.506744,0.050568,0.328283,0.001355,0.27618,0.006261,0.099637,0.0042,0.073243,0.003718,0.033757,0.002506,0.06892,0.004271,0.08398,0.003415,0.071733,0.003909,0.339608,0.001755,0.071526,0.003858,0.061097,0.000956,0.190652,0.000618,0.582903,0.000861,0.220833,0.0
conformal_risk_filter,heldout_mixed_non_smooth_stress,8,80,0.51875,0.046122,0.519565,0.046407,0.32785,0.001546,0.277361,0.006012,0.10049,0.003979,0.072115,0.003842,0.032885,0.00267,0.068927,0.004344,0.084301,0.003475,0.072122,0.003773,0.340422,0.001587,0.072096,0.00395,0.060849,0.000989,0.1903,0.000594,0.583056,0.000869,0.18125,0.0
conformal_risk_filter,heldout_mixed_non_smooth_stress,9,80,0.489583,0.044766,0.490463,0.044894,0.327764,0.001676,0.276906,0.005941,0.09963,0.004046,0.071691,0.004065,0.033331,0.002734,0.069121,0.004439,0.084856,0.003528,0.071724,0.003927,0.340764,0.001721,0.071533,0.00394,0.061333,0.001001,0.191185,0.0006,0.582946,0.000918,0.20625,0.0
smooth_dynamics_world_model,heldout_mixed_non_smooth_stress,0,80,0.439583,0.045477,0.399853,0.045447,0.243847,0.001764,0.313601,0.007249,0.135565,0.005703,0.115794,0.007114,0.067993,0.004078,0.086035,0.005127,0.122966,0.004619,0.085072,0.004464,0.232187,0.00192,0.098421,0.004866,0.107142,0.001092,0.156907,0.000752,0.366491,0.001215,0.260417,0.0
smooth_dynamics_world_model,heldout_mixed_non_smooth_stress,1,80,0.4375,0.054319,0.39828,0.054189,0.244131,0.001554,0.313573,0.007375,0.136462,0.005652,0.11508,0.007169,0.068228,0.004006,0.086774,0.005272,0.122643,0.004591,0.085496,0.00444,0.231442,0.00154,0.09822,0.00518,0.10837,0.001142,0.157524,0.00062,0.366363,0.001213,0.25,0.0
smooth_dynamics_world_model,heldout_mixed_non_smooth_stress,2,80,0.429167,0.041408,0.38873,0.041358,0.246956,0.001667,0.313516,0.007339,0.135979,0.00563,0.11601,0.007204,0.069076,0.0043,0.087301,0.005244,0.122978,0.00465,0.085544,0.004453,0.232439,0.001872,0.09927,0.005139,0.108226,0.001146,0.157092,0.000609,0.366217,0.001282,0.245833,0.0
smooth_dynamics_world_model,heldout_mixed_non_smooth_stress,3,80,0.425,0.041459,0.38447,0.041486,0.244412,0.001622,0.313176,0.007146,0.136585,0.005703,0.115884,0.007054,0.069027,0.004106,0.086544,0.005178,0.122553,0.004558,0.085563,0.004503,0.231579,0.001698,0.098957,0.005062,0.108273,0.001168,0.156931,0.000631,0.366282,0.001258,0.28125,0.0
smooth_dynamics_world_model,heldout_mixed_non_smooth_stress,4,80,0.4625,0.047557,0.422192,0.048007,0.24537,0.001714,0.31333,0.007534,0.136923,0.005662,0.115488,0.007093,0.067808,0.004225,0.087066,0.005207,0.122837,0.004572,0.086084,0.004496,0.231217,0.002035,0.098148,0.00505,0.108127,0.001136,0.157297,0.000673,0.366368,0.001281,0.2625,0.0
smooth_dynamics_world_model,heldout_mixed_non_smooth_stress,5,80,0.472917,0.044044,0.431664,0.044055,0.243201,0.001472,0.313455,0.007331,0.136682,0.005973,0.116001,0.00707,0.068452,0.004104,0.087136,0.00515,0.121773,0.004572,0.086203,0.004484,0.231164,0.0018,0.099068,0.005262,0.108204,0.001092,0.157106,0.000668,0.366347,0.001212,0.195833,0.0
smooth_dynamics_world_model,heldout_mixed_non_smooth_stress,6,80,0.458333,0.042106,0.418062,0.042086,0.245188,0.00149,0.313672,0.007383,0.136402,0.00584,0.115958,0.007109,0.067826,0.004191,0.087205,0.005424,0.12317,0.004591,0.085606,0.00442,0.231772,0.001433,0.099573,0.005252,0.108418,0.001078,0.156996,0.000662,0.366358,0.001274,0.245833,0.0
smooth_dynamics_world_model,heldout_mixed_non_smooth_stress,7,80,0.477083,0.040986,0.435355,0.041875,0.244663,0.001547,0.313473,0.007341,0.13634,0.005797,0.115981,0.007052,0.068112,0.004275,0.087101,0.005237,0.123061,0.004683,0.085671,0.004501,0.231009,0.001717,0.099817,0.005121,0.10795,0.00114,0.157213,0.000619,0.366289,0.001272,0.25,0.0
smooth_dynamics_world_model,heldout_mixed_non_smooth_stress,8,80,0.4375,0.048052,0.399674,0.046879,0.244636,0.001557,0.31365,0.007443,0.136104,0.005867,0.115668,0.007028,0.068611,0.004159,0.086169,0.005229,0.12207,0.004453,0.086187,0.004393,0.233195,0.001802,0.098765,0.004953,0.108725,0.001167,0.157093,0.000673,0.366518,0.001252,0.2625,0.0
