method,groups,mean_mean_success,ci95_mean_success,mean_mean_utility,ci95_mean_utility,mean_mean_contact_mode_f1,ci95_mean_contact_mode_f1,mean_mean_boundary_error,ci95_mean_boundary_error,mean_mean_complementarity_residual,ci95_mean_complementarity_residual,mean_mean_impulse_violation,ci95_mean_impulse_violation,mean_mean_unsafe_impulse,ci95_mean_unsafe_impulse,mean_mean_jam_rate,ci95_mean_jam_rate,mean_mean_slip_overshoot,ci95_mean_slip_overshoot,mean_mean_mode_switch_latency,ci95_mean_mode_switch_latency,mean_mean_recovery_success,ci95_mean_recovery_success,mean_mean_energy_spike,ci95_mean_energy_spike,mean_mean_calibration_ece,ci95_mean_calibration_ece,mean_mean_intervention_cost,ci95_mean_intervention_cost,mean_mean_fixed_risk_coverage,ci95_mean_fixed_risk_coverage,mean_mean_regret_to_oracle,ci95_mean_regret_to_oracle
no_contact_behavior_clone,10,0.348542,0.010614,0.287132,0.009948,0.162434,0.000374,0.345435,0.000429,0.153893,0.000209,0.127317,0.000273,0.083114,0.000236,0.100131,0.000267,0.137408,0.000232,0.098525,0.000242,0.15047,0.00035,0.115555,0.000266,0.132411,0.000312,0.144767,0.000209,0.284755,4.8e-05,0.350417,0.011658
domain_randomization,10,0.430833,0.009998,0.389136,0.009764,0.235387,0.000315,0.317433,0.000445,0.133288,0.000241,0.112049,0.000275,0.0708,0.000268,0.088648,0.000387,0.115921,0.000233,0.086313,0.000223,0.223151,0.000599,0.099246,0.000296,0.113905,0.000271,0.151304,0.000213,0.345831,6.2e-05,0.268125,0.011788
diffusion_policy_surrogate,10,0.457292,0.010172,0.416193,0.010471,0.250118,0.000466,0.314963,0.000382,0.13427,0.000192,0.116322,0.000375,0.071632,0.000334,0.087808,0.00025,0.120404,0.000337,0.08815,0.000245,0.237133,0.000269,0.100305,0.000239,0.116377,0.000333,0.152749,0.000171,0.35227,5.3e-05,0.241667,0.011897
robotics_transformer_surrogate,10,0.472708,0.017584,0.438552,0.017601,0.270412,0.000472,0.305613,0.000329,0.129765,0.000283,0.110424,0.000346,0.067061,0.000212,0.084133,0.000363,0.113999,0.000152,0.083389,0.000394,0.257782,0.000353,0.095326,0.000356,0.110246,0.000157,0.155521,0.000221,0.375075,4.7e-05,0.22625,0.025298
ensemble_disagreement_planner,10,0.50625,0.013126,0.50411,0.013116,0.342361,0.000418,0.273263,0.00031,0.101598,0.000274,0.083108,0.000254,0.042272,0.000351,0.067603,0.000276,0.086693,0.000278,0.073098,0.000237,0.347462,0.000468,0.073747,0.000197,0.071718,0.000168,0.180753,0.0002,0.526011,4.8e-05,0.192708,0.020698
conformal_risk_filter,10,0.499375,0.013801,0.500128,0.013761,0.327702,0.000519,0.277098,0.000233,0.100007,0.000184,0.072614,0.000361,0.032958,0.000346,0.06904,0.000122,0.084472,0.000262,0.071977,0.000179,0.340333,0.000292,0.071461,0.000253,0.061045,0.000185,0.190854,0.000245,0.583014,4.6e-05,0.199583,0.021381
smooth_dynamics_world_model,10,0.449792,0.011379,0.409523,0.010977,0.244728,0.000626,0.313459,0.000116,0.136425,0.000292,0.115759,0.000181,0.06829,0.000302,0.086715,0.000335,0.122634,0.000287,0.085756,0.000234,0.231984,0.00058,0.098923,0.000342,0.108204,0.00027,0.157131,0.000113,0.366393,8.7e-05,0.249167,0.013883
contact_implicit_mpc,10,0.509792,0.016288,0.515791,0.016286,0.380894,0.000503,0.261511,0.000199,0.077935,0.000393,0.077373,0.000215,0.04545,0.000218,0.067132,0.000327,0.070913,0.000366,0.067336,0.0002,0.38455,0.000448,0.063032,0.000326,0.081996,0.000199,0.176306,0.000219,0.489069,4.1e-05,0.189167,0.024445
complementarity_residual_planner,10,0.520417,0.009887,0.532939,0.009722,0.404367,0.000528,0.254196,0.000395,0.067635,0.000384,0.074061,0.00025,0.043306,0.000287,0.064322,0.00017,0.064981,0.000234,0.067291,0.000244,0.409283,0.000509,0.061501,0.000291,0.078977,0.000303,0.17765,0.000219,0.50963,6.2e-05,0.178542,0.01889
robust_hybrid_mpc,10,0.53625,0.013477,0.55677,0.013509,0.417206,0.000439,0.244019,0.000359,0.071419,0.000372,0.064208,0.000292,0.03384,0.000231,0.058232,0.000255,0.062779,0.000229,0.062486,0.000298,0.431265,0.000612,0.053044,0.00017,0.069488,0.000297,0.192231,0.000188,0.559154,8.8e-05,0.162708,0.022027
