method,split,groups,mean_mean_success,ci95_mean_success,mean_mean_utility,ci95_mean_utility,mean_mean_contact_mode_f1,ci95_mean_contact_mode_f1,mean_mean_boundary_error,ci95_mean_boundary_error,mean_mean_complementarity_residual,ci95_mean_complementarity_residual,mean_mean_impulse_violation,ci95_mean_impulse_violation,mean_mean_unsafe_impulse,ci95_mean_unsafe_impulse,mean_mean_jam_rate,ci95_mean_jam_rate,mean_mean_slip_overshoot,ci95_mean_slip_overshoot,mean_mean_mode_switch_latency,ci95_mean_mode_switch_latency,mean_mean_recovery_success,ci95_mean_recovery_success,mean_mean_energy_spike,ci95_mean_energy_spike,mean_mean_calibration_ece,ci95_mean_calibration_ece,mean_mean_intervention_cost,ci95_mean_intervention_cost,mean_mean_fixed_risk_coverage,ci95_mean_fixed_risk_coverage,mean_mean_regret_to_oracle,ci95_mean_regret_to_oracle
domain_randomization,unseen_geometry,10,0.479792,0.011534,0.454817,0.011426,0.260244,0.000467,0.296484,0.000594,0.115403,0.000312,0.098836,0.000253,0.058104,0.000279,0.079939,0.000366,0.070536,0.000327,0.067037,0.000243,0.258158,0.000571,0.084631,0.000236,0.087307,0.000293,0.140355,0.000249,0.381537,6.8e-05,0.256458,0.015199
domain_randomization,unseen_friction,10,0.486875,0.014027,0.458625,0.013971,0.255043,0.000542,0.293342,0.000285,0.11462,0.000376,0.092941,0.000227,0.059432,0.000245,0.074572,0.000367,0.1106,0.000187,0.069126,0.000304,0.250704,0.000571,0.087697,0.000207,0.092752,0.000364,0.143113,0.000278,0.371822,6.5e-05,0.2425,0.024966
domain_randomization,unseen_compliance,10,0.4675,0.016915,0.437613,0.016729,0.252656,0.000767,0.303773,0.000383,0.119323,0.000292,0.098166,0.000352,0.061931,0.000192,0.081539,0.000356,0.083106,0.000227,0.071736,0.000198,0.246241,0.000574,0.090597,0.000205,0.097861,0.000249,0.144678,0.000219,0.367882,4e-05,0.256042,0.023618
domain_randomization,actuator_latency,10,0.468333,0.015882,0.438229,0.015701,0.253437,0.000473,0.303822,0.00029,0.118649,0.000474,0.096947,0.000281,0.067051,0.000216,0.076861,0.000253,0.081806,0.000238,0.082365,0.000284,0.247881,0.00095,0.090353,0.000414,0.098356,0.000258,0.144818,0.000278,0.367785,5.7e-05,0.255,0.019997
domain_randomization,sensor_dropout,10,0.472708,0.007734,0.43876,0.007515,0.232214,0.000907,0.30116,0.000333,0.120543,0.000252,0.098919,0.000261,0.063847,0.000258,0.078667,0.000197,0.084835,0.000368,0.086437,0.000309,0.223393,0.0004,0.09139,0.00015,0.099273,0.000246,0.145846,0.000218,0.364773,5.9e-05,0.261875,0.013141
domain_randomization,heldout_mixed_non_smooth_stress,10,0.430833,0.009998,0.389136,0.009764,0.235387,0.000315,0.317433,0.000445,0.133288,0.000241,0.112049,0.000275,0.0708,0.000268,0.088648,0.000387,0.115921,0.000233,0.086313,0.000223,0.223151,0.000599,0.099246,0.000296,0.113905,0.000271,0.151304,0.000213,0.345831,6.2e-05,0.268125,0.011788
diffusion_policy_surrogate,nominal,10,0.568125,0.011025,0.56667,0.011045,0.302824,0.000404,0.266985,0.000222,0.083202,0.000261,0.069238,0.000277,0.045414,0.000254,0.060427,0.000235,0.045421,0.000296,0.054643,0.000238,0.312253,0.000556,0.066511,0.000335,0.055394,0.000336,0.128322,0.000252,0.430247,5.5e-05,0.20625,0.01297
diffusion_policy_surrogate,seen_contact_shift,10,0.545208,0.011566,0.530474,0.011405,0.284855,0.000395,0.281447,0.000322,0.101962,0.000246,0.086462,0.000168,0.053467,0.000295,0.069824,0.000202,0.067088,0.000421,0.062895,0.000369,0.28579,0.000554,0.078853,0.000266,0.077442,0.000235,0.137215,0.000212,0.402378,6.3e-05,0.207083,0.017946
diffusion_policy_surrogate,unseen_geometry,10,0.505833,0.010469,0.482274,0.010459,0.27494,0.000357,0.293952,0.000222,0.114961,0.000173,0.102077,0.000251,0.059013,0.000283,0.07886,0.000221,0.073895,0.000267,0.068325,0.000271,0.272015,0.0004,0.086147,0.000157,0.089221,0.000239,0.141681,0.000157,0.388071,5e-05,0.230417,0.020545
diffusion_policy_surrogate,unseen_friction,10,0.51625,0.011336,0.489566,0.011284,0.269918,0.000661,0.290684,0.000317,0.115025,0.000229,0.096185,0.000312,0.060482,0.000356,0.074149,0.000194,0.113884,0.000313,0.07049,0.000213,0.264173,0.000839,0.088911,0.000328,0.094759,0.000291,0.144376,0.000171,0.378252,7.5e-05,0.213125,0.01622
diffusion_policy_surrogate,unseen_compliance,10,0.477292,0.012317,0.448848,0.012072,0.267192,0.000478,0.301073,0.000202,0.119754,0.000305,0.101524,0.000306,0.062644,0.000226,0.08106,0.000178,0.087415,0.000379,0.073224,0.000189,0.260306,0.000468,0.091512,0.000397,0.100053,0.000227,0.14606,0.000261,0.374323,6.6e-05,0.24625,0.016171
diffusion_policy_surrogate,actuator_latency,10,0.505208,0.019491,0.475924,0.019389,0.268158,0.000394,0.301262,0.000157,0.119212,0.000247,0.100216,0.000288,0.067975,0.000285,0.076158,0.000233,0.085918,0.000227,0.084416,0.000278,0.261012,0.000699,0.091465,0.000287,0.100234,0.000241,0.146281,0.000171,0.374175,8.1e-05,0.218125,0.017955
diffusion_policy_surrogate,sensor_dropout,10,0.499583,0.01169,0.466917,0.011657,0.246209,0.000635,0.29839,0.000309,0.12053,0.000157,0.102639,0.000346,0.064732,0.000196,0.077948,0.000246,0.089191,0.000233,0.087392,0.000386,0.237118,0.000505,0.092505,0.000179,0.101161,0.000299,0.14713,0.000172,0.371187,5e-05,0.235,0.015288
diffusion_policy_surrogate,heldout_mixed_non_smooth_stress,10,0.457292,0.010172,0.416193,0.010471,0.250118,0.000466,0.314963,0.000382,0.13427,0.000192,0.116322,0.000375,0.071632,0.000334,0.087808,0.00025,0.120404,0.000337,0.08815,0.000245,0.237133,0.000269,0.100305,0.000239,0.116377,0.000333,0.152749,0.000171,0.35227,5.3e-05,0.241667,0.011897
robotics_transformer_surrogate,nominal,10,0.579167,0.014533,0.583441,0.014472,0.323397,0.00041,0.261051,0.000223,0.080671,0.000273,0.066479,0.000328,0.042255,0.000269,0.058018,0.00021,0.042612,0.000296,0.052291,0.000366,0.333028,0.000689,0.063391,0.000267,0.052371,0.00016,0.131167,0.000211,0.452433,6.6e-05,0.195208,0.020134
robotics_transformer_surrogate,seen_contact_shift,10,0.553542,0.0176,0.544774,0.017593,0.304784,0.000406,0.274166,0.000325,0.098687,0.000308,0.082612,0.000317,0.049991,0.000297,0.066502,0.00016,0.063087,0.00017,0.059999,0.000257,0.306629,0.000525,0.07516,0.000281,0.073479,0.000267,0.140065,0.00026,0.424802,6.2e-05,0.19875,0.029403
robotics_transformer_surrogate,unseen_geometry,10,0.525625,0.015255,0.508638,0.015139,0.294786,0.000745,0.286122,0.000257,0.111269,0.000292,0.097032,0.000249,0.054896,0.000191,0.075382,0.000306,0.069636,0.000222,0.065067,0.000279,0.292655,0.000586,0.081575,0.000275,0.084367,0.000426,0.144563,0.000295,0.410616,4.6e-05,0.210625,0.016304
robotics_transformer_surrogate,unseen_friction,10,0.500417,0.007767,0.480473,0.007707,0.290062,0.00051,0.282751,0.000279,0.110966,0.000206,0.091619,0.000275,0.056358,0.000237,0.070912,0.00017,0.107584,0.000231,0.067165,0.000357,0.285247,0.000453,0.084315,0.000421,0.089803,0.000316,0.147013,0.000136,0.400963,3.5e-05,0.228958,0.013726
robotics_transformer_surrogate,unseen_compliance,10,0.515417,0.014459,0.493351,0.014471,0.287367,0.000416,0.292823,0.000415,0.115479,0.000284,0.096608,0.000246,0.058437,0.000282,0.077724,0.000211,0.082379,0.000282,0.069303,0.000297,0.280912,0.000592,0.08674,0.000306,0.094786,0.000186,0.148948,0.000232,0.396927,6.7e-05,0.208125,0.021824
robotics_transformer_surrogate,actuator_latency,10,0.510833,0.008117,0.488414,0.008108,0.288224,0.000311,0.29283,0.000349,0.114885,0.000257,0.095584,0.000248,0.063001,0.000236,0.072905,0.000253,0.080736,0.000238,0.079877,0.000249,0.281693,0.000464,0.086893,0.000344,0.095399,0.000249,0.14909,0.000215,0.396902,6.1e-05,0.2125,0.015218
robotics_transformer_surrogate,sensor_dropout,10,0.505625,0.016891,0.479892,0.016823,0.26683,0.000621,0.290355,0.000397,0.116514,0.000295,0.097448,0.000388,0.059888,0.000258,0.0745,0.000227,0.084066,0.000409,0.08306,0.000258,0.258156,0.000355,0.08763,0.000209,0.096389,0.000449,0.149897,0.000157,0.393931,3.6e-05,0.228958,0.026986
robotics_transformer_surrogate,heldout_mixed_non_smooth_stress,10,0.472708,0.017584,0.438552,0.017601,0.270412,0.000472,0.305613,0.000329,0.129765,0.000283,0.110424,0.000346,0.067061,0.000212,0.084133,0.000363,0.113999,0.000152,0.083389,0.000394,0.257782,0.000353,0.095326,0.000356,0.110246,0.000157,0.155521,0.000221,0.375075,4.7e-05,0.22625,0.025298
ensemble_disagreement_planner,nominal,10,0.588958,0.01249,0.618044,0.012248,0.395071,0.000602,0.234938,0.000393,0.065273,0.000309,0.053615,0.000357,0.024993,0.000234,0.045616,0.000355,0.032225,0.000308,0.046313,0.000216,0.422697,0.000518,0.048375,0.000271,0.036994,0.000175,0.156624,0.000235,0.600473,6.1e-05,0.185417,0.01491
ensemble_disagreement_planner,seen_contact_shift,10,0.554583,0.010679,0.573528,0.010511,0.376807,0.000379,0.246018,0.000254,0.07839,0.000313,0.064475,0.000234,0.030284,0.000202,0.05306,0.000222,0.047625,0.000255,0.053088,0.000275,0.396671,0.00054,0.0575,0.000225,0.049342,0.000228,0.165443,0.000317,0.573742,5.7e-05,0.197708,0.02323
ensemble_disagreement_planner,unseen_geometry,10,0.5275,0.010714,0.539774,0.010794,0.36745,0.000571,0.256226,0.000352,0.088065,0.000257,0.074604,0.000333,0.033598,0.000257,0.060818,0.000303,0.052221,0.000272,0.057404,0.000327,0.38246,0.000669,0.063007,0.000208,0.056268,0.000216,0.169961,0.000181,0.560048,7.7e-05,0.20875,0.016911
ensemble_disagreement_planner,unseen_friction,10,0.534167,0.019366,0.543893,0.019259,0.362139,0.000358,0.253777,0.000371,0.087414,0.000226,0.070486,0.000364,0.034356,0.000271,0.056641,0.000254,0.082976,0.000249,0.059268,0.000271,0.375543,0.000332,0.065188,0.000356,0.059104,0.000276,0.172464,0.000207,0.551077,6.6e-05,0.195208,0.023394
ensemble_disagreement_planner,unseen_compliance,10,0.525208,0.013847,0.533239,0.013795,0.359381,0.00073,0.262006,0.000313,0.091035,0.000246,0.073672,0.000303,0.036054,0.000243,0.062292,0.000274,0.061729,0.000336,0.061315,0.000203,0.370453,0.000352,0.067201,0.000225,0.062618,0.000209,0.174477,0.000171,0.546852,5.3e-05,0.198333,0.0187
ensemble_disagreement_planner,actuator_latency,10,0.518125,0.013211,0.525699,0.013168,0.359965,0.000423,0.262221,0.000278,0.090691,0.0003,0.073221,0.000185,0.040168,0.000248,0.058362,0.000233,0.060676,0.000273,0.070559,0.000369,0.371656,0.000682,0.06723,0.000211,0.062633,0.000199,0.174188,0.000158,0.546784,8.6e-05,0.205208,0.017057
ensemble_disagreement_planner,sensor_dropout,10,0.53,0.01442,0.534321,0.014473,0.339103,0.000411,0.259926,0.000297,0.091615,0.000255,0.074273,0.000333,0.037223,0.000347,0.059928,0.000255,0.063243,0.000338,0.072653,0.000134,0.3476,0.00047,0.067607,0.000269,0.063337,0.000277,0.175339,0.000183,0.54382,9.1e-05,0.204583,0.017053
ensemble_disagreement_planner,heldout_mixed_non_smooth_stress,10,0.50625,0.013126,0.50411,0.013116,0.342361,0.000418,0.273263,0.00031,0.101598,0.000274,0.083108,0.000254,0.042272,0.000351,0.067603,0.000276,0.086693,0.000278,0.073098,0.000237,0.347462,0.000468,0.073747,0.000197,0.071718,0.000168,0.180753,0.0002,0.526011,4.8e-05,0.192708,0.020698
conformal_risk_filter,nominal,10,0.57,0.012522,0.60107,0.012418,0.380139,0.000592,0.237279,0.000173,0.064272,0.00035,0.048358,0.000214,0.019496,0.000251,0.045821,0.000309,0.030389,0.000314,0.044476,0.000303,0.414939,0.000349,0.046297,0.00024,0.032583,0.000238,0.166813,0.000113,0.656959,5.6e-05,0.204375,0.01359
conformal_risk_filter,seen_contact_shift,10,0.553542,0.015035,0.574345,0.014773,0.362087,0.000511,0.249498,0.000201,0.077534,0.000226,0.057421,0.000157,0.023037,0.000271,0.053531,0.000279,0.045642,0.000224,0.051401,0.000223,0.387973,0.00081,0.055642,0.000318,0.043081,0.000253,0.175528,0.000186,0.630418,7.3e-05,0.19875,0.01949
conformal_risk_filter,unseen_geometry,10,0.526042,0.020301,0.540973,0.020243,0.352288,0.000603,0.259999,0.000365,0.086792,0.000349,0.065218,0.000333,0.025908,0.000158,0.061563,0.000332,0.050038,0.000213,0.055823,0.000254,0.374834,0.00041,0.060488,0.00019,0.048466,0.000212,0.180057,0.000191,0.616845,5.4e-05,0.210208,0.022077
conformal_risk_filter,unseen_friction,10,0.5325,0.0147,0.544512,0.014557,0.347103,0.000297,0.257225,0.000243,0.086083,0.000329,0.062218,0.000312,0.026693,0.00022,0.057633,0.000342,0.081535,0.000433,0.057681,0.000307,0.367321,0.000837,0.062707,0.000178,0.050745,0.000217,0.182702,0.000176,0.607749,6.4e-05,0.196875,0.013505
conformal_risk_filter,unseen_compliance,10,0.522083,0.016084,0.532611,0.016077,0.343925,0.000368,0.265951,0.000323,0.089508,0.000187,0.064986,0.000231,0.027856,0.000367,0.063414,0.000292,0.05927,0.000246,0.059713,0.000266,0.362935,0.000395,0.064739,0.000434,0.053677,0.00032,0.184495,0.000175,0.603715,6e-05,0.201458,0.011486
conformal_risk_filter,actuator_latency,10,0.526458,0.011258,0.536689,0.011341,0.345098,0.000539,0.26589,0.000292,0.089115,0.000198,0.064664,0.000322,0.031985,0.000425,0.05968,0.000322,0.058355,0.000317,0.069092,0.00017,0.364355,0.000595,0.064969,0.000184,0.053681,0.000275,0.184155,0.000197,0.603627,8.1e-05,0.196875,0.015498
conformal_risk_filter,sensor_dropout,10,0.505,0.016165,0.511977,0.016089,0.324214,0.000472,0.263876,0.000256,0.090181,0.000211,0.065794,0.000362,0.028977,0.000162,0.060357,0.000245,0.060733,0.000241,0.071923,0.000246,0.34038,0.000339,0.06545,0.000443,0.053911,0.000273,0.185445,0.000133,0.600782,3.8e-05,0.229583,0.021242
conformal_risk_filter,heldout_mixed_non_smooth_stress,10,0.499375,0.013801,0.500128,0.013761,0.327702,0.000519,0.277098,0.000233,0.100007,0.000184,0.072614,0.000361,0.032958,0.000346,0.06904,0.000122,0.084472,0.000262,0.071977,0.000179,0.340333,0.000292,0.071461,0.000253,0.061045,0.000185,0.190854,0.000245,0.583014,4.6e-05,0.199583,0.021381
smooth_dynamics_world_model,nominal,10,0.557917,0.012751,0.557141,0.012648,0.296751,0.000446,0.265004,0.000273,0.083202,0.000276,0.06869,0.000262,0.042827,0.000252,0.059518,0.000188,0.044799,0.000257,0.052517,0.000236,0.307264,0.000367,0.06516,0.000294,0.051917,0.000291,0.132722,0.000266,0.444476,3.1e-05,0.216458,0.015052
smooth_dynamics_world_model,seen_contact_shift,10,0.514792,0.017135,0.500455,0.017071,0.278828,0.000369,0.280011,0.000414,0.102569,0.000362,0.085721,0.000197,0.050834,0.000239,0.06815,0.000194,0.06722,0.000261,0.06096,0.000363,0.280577,0.000376,0.077705,0.000249,0.072289,0.000243,0.141723,0.000289,0.416617,3e-05,0.2375,0.018302
smooth_dynamics_world_model,unseen_geometry,10,0.51,0.016354,0.487441,0.016302,0.269556,0.000429,0.292272,0.000379,0.116118,0.000166,0.101242,0.000301,0.055657,0.000241,0.077939,0.000306,0.074442,0.000231,0.066454,0.000193,0.266625,0.000527,0.084321,0.000368,0.08295,0.000364,0.146076,0.000156,0.4023,6e-05,0.22625,0.017853
smooth_dynamics_world_model,unseen_friction,10,0.498542,0.014635,0.472658,0.014542,0.264367,0.000655,0.289444,0.000432,0.11591,0.000163,0.095633,0.000297,0.057157,0.000204,0.073016,0.000198,0.115409,0.000309,0.068789,0.000348,0.259605,0.000324,0.087256,0.000239,0.087987,0.000271,0.148414,0.000204,0.392468,5.7e-05,0.230833,0.023761
smooth_dynamics_world_model,unseen_compliance,10,0.485417,0.018987,0.457228,0.018863,0.261512,0.0004,0.299749,0.000327,0.120882,0.000284,0.100703,0.000364,0.059517,0.000256,0.08045,0.000295,0.088163,0.000307,0.070965,0.000338,0.255221,0.000493,0.090177,0.000296,0.093482,0.000327,0.150713,0.000226,0.388488,4.5e-05,0.238125,0.02395
smooth_dynamics_world_model,actuator_latency,10,0.512083,0.014657,0.483524,0.014511,0.262775,0.000433,0.299605,0.000577,0.120144,0.000341,0.099825,0.000412,0.064431,0.000192,0.074995,0.000309,0.087146,0.000389,0.081721,0.000245,0.256438,0.000567,0.090134,0.000327,0.093305,0.00026,0.150367,0.000276,0.38845,6e-05,0.21125,0.019726
smooth_dynamics_world_model,sensor_dropout,10,0.493125,0.013013,0.461277,0.013099,0.241553,0.000615,0.297219,0.000287,0.122221,0.000224,0.101925,0.000255,0.061139,0.000325,0.076787,0.000266,0.090153,0.000267,0.08572,0.00035,0.231928,0.00058,0.090961,0.000254,0.094524,0.000303,0.151556,0.00037,0.385454,6.8e-05,0.241458,0.021637
smooth_dynamics_world_model,heldout_mixed_non_smooth_stress,10,0.449792,0.011379,0.409523,0.010977,0.244728,0.000626,0.313459,0.000116,0.136425,0.000292,0.115759,0.000181,0.06829,0.000302,0.086715,0.000335,0.122634,0.000287,0.085756,0.000234,0.231984,0.00058,0.098923,0.000342,0.108204,0.00027,0.157131,0.000113,0.366393,8.7e-05,0.249167,0.013883
contact_implicit_mpc,nominal,10,0.605625,0.013948,0.638939,0.01337,0.433278,0.000341,0.229755,0.000162,0.053261,0.000213,0.051775,0.000248,0.02819,0.000203,0.045978,0.000397,0.030889,0.000278,0.04468,0.000318,0.459216,0.0004,0.043077,0.000229,0.040475,0.000156,0.152063,0.000199,0.562255,7.2e-05,0.16875,0.010131
contact_implicit_mpc,seen_contact_shift,10,0.568958,0.014791,0.593753,0.014735,0.415269,0.00064,0.239425,0.000468,0.062259,0.000411,0.061381,0.000174,0.033377,0.000227,0.053195,0.000205,0.042008,0.000302,0.050157,0.000247,0.432738,0.000684,0.050251,0.000263,0.055994,0.000275,0.160789,0.000202,0.535878,6.7e-05,0.183333,0.018108
contact_implicit_mpc,unseen_geometry,10,0.547083,0.011712,0.565756,0.011578,0.405654,0.000595,0.247083,0.000231,0.06891,0.000264,0.070129,0.00033,0.036788,0.000172,0.059794,0.000244,0.045421,0.000245,0.053909,0.000138,0.418823,0.000662,0.054005,0.000212,0.06359,0.000253,0.165408,0.000228,0.522398,7.2e-05,0.189167,0.020315
contact_implicit_mpc,unseen_friction,10,0.535625,0.013161,0.552221,0.013108,0.400149,0.0003,0.245611,0.000266,0.068404,0.000199,0.066575,0.000307,0.037963,0.00035,0.057035,0.000355,0.067702,0.000176,0.055497,0.000431,0.411436,0.000652,0.055892,0.000167,0.067534,0.000205,0.16806,0.000207,0.513872,8.9e-05,0.19375,0.025847
contact_implicit_mpc,unseen_compliance,10,0.527917,0.015122,0.542795,0.01513,0.39777,0.000665,0.252836,0.000375,0.07108,0.00016,0.06965,0.000245,0.039697,0.000153,0.062175,0.000246,0.052297,0.000264,0.057187,0.00026,0.406926,0.00049,0.057541,0.000221,0.070962,0.000256,0.169809,0.000257,0.50926,4.3e-05,0.195625,0.020843
contact_implicit_mpc,actuator_latency,10,0.53,0.008461,0.544474,0.008416,0.398355,0.000462,0.25323,0.000321,0.07086,0.000367,0.068884,0.000351,0.043197,0.000164,0.058765,0.000196,0.051729,0.000298,0.065126,0.000207,0.40871,0.000582,0.057497,0.000231,0.071131,0.000408,0.16998,0.000158,0.509228,5.7e-05,0.193333,0.01061
contact_implicit_mpc,sensor_dropout,10,0.536042,0.019393,0.547363,0.019482,0.377791,0.000555,0.250844,0.000355,0.071279,0.000218,0.070214,0.00037,0.040659,0.000406,0.059652,0.000287,0.053295,0.000297,0.066841,0.000194,0.383659,0.000712,0.057978,0.000307,0.071958,0.000207,0.171016,0.000305,0.506292,6.8e-05,0.198542,0.026547
contact_implicit_mpc,heldout_mixed_non_smooth_stress,10,0.509792,0.016288,0.515791,0.016286,0.380894,0.000503,0.261511,0.000199,0.077935,0.000393,0.077373,0.000215,0.04545,0.000218,0.067132,0.000327,0.070913,0.000366,0.067336,0.0002,0.38455,0.000448,0.063032,0.000326,0.081996,0.000199,0.176306,0.000219,0.489069,4.1e-05,0.189167,0.024445
complementarity_residual_planner,nominal,10,0.586875,0.011025,0.626614,0.010818,0.457462,0.000532,0.224447,0.000304,0.047192,0.000293,0.050466,0.000293,0.026531,0.000304,0.044403,0.000275,0.029641,0.000308,0.045324,0.000324,0.484152,0.000601,0.04158,0.000264,0.039309,0.000289,0.153636,0.00026,0.582258,7.4e-05,0.1875,0.010002
complementarity_residual_planner,seen_contact_shift,10,0.580208,0.012859,0.611055,0.012755,0.438418,0.000485,0.23304,0.000255,0.054703,0.000298,0.058819,0.000236,0.031577,0.000377,0.05096,0.000296,0.039932,0.000186,0.050368,0.000408,0.458066,0.00053,0.048864,0.000309,0.053423,0.00027,0.162287,0.000138,0.556057,6e-05,0.172083,0.025531
complementarity_residual_planner,unseen_geometry,10,0.557917,0.019092,0.582966,0.018858,0.429541,0.000537,0.239441,0.000331,0.05987,0.000336,0.0671,0.000323,0.034842,0.000281,0.057331,0.00023,0.042416,0.000362,0.053955,0.000246,0.444804,0.000462,0.052516,0.000257,0.060898,0.000288,0.167155,0.000268,0.542736,7.2e-05,0.178333,0.02638
complementarity_residual_planner,unseen_friction,10,0.5575,0.010334,0.580641,0.01026,0.423926,0.000396,0.238928,0.000266,0.059901,0.000142,0.063844,0.000273,0.035637,0.000298,0.054545,0.000326,0.06249,0.000321,0.055679,0.000293,0.437566,0.000287,0.054457,0.000389,0.064996,0.000358,0.16924,0.000224,0.534455,5.1e-05,0.171875,0.021643
complementarity_residual_planner,unseen_compliance,10,0.54875,0.0147,0.569931,0.01467,0.420659,0.00059,0.245725,0.00026,0.062179,0.000208,0.066676,0.000221,0.037459,0.000242,0.059703,0.00021,0.048645,0.000409,0.057382,0.000249,0.432892,0.000495,0.055976,0.000394,0.068078,0.000306,0.171372,0.000113,0.529693,7.5e-05,0.174792,0.016731
complementarity_residual_planner,actuator_latency,10,0.548125,0.014665,0.569135,0.014619,0.421721,0.000528,0.24673,0.000264,0.061295,0.00017,0.06608,0.000219,0.041038,0.000201,0.056003,0.000306,0.0481,0.000313,0.065551,0.000367,0.433799,0.000624,0.055727,0.000274,0.068545,0.000258,0.171509,0.000196,0.529624,6.5e-05,0.175208,0.017835
complementarity_residual_planner,sensor_dropout,10,0.544583,0.014599,0.562154,0.014231,0.401008,0.000641,0.243939,0.000288,0.062228,0.000213,0.067129,0.000291,0.038593,0.000379,0.057174,0.000299,0.04966,0.00026,0.066524,0.000261,0.409908,0.000403,0.056438,0.000236,0.06931,0.000301,0.172552,0.000156,0.526715,6.1e-05,0.19,0.021545
