method,split,groups,mean_mean_success,ci95_mean_success,mean_mean_utility,ci95_mean_utility,mean_mean_contact_mode_f1,ci95_mean_contact_mode_f1,mean_mean_boundary_error,ci95_mean_boundary_error,mean_mean_complementarity_residual,ci95_mean_complementarity_residual,mean_mean_impulse_violation,ci95_mean_impulse_violation,mean_mean_unsafe_impulse,ci95_mean_unsafe_impulse,mean_mean_jam_rate,ci95_mean_jam_rate,mean_mean_slip_overshoot,ci95_mean_slip_overshoot,mean_mean_mode_switch_latency,ci95_mean_mode_switch_latency,mean_mean_recovery_success,ci95_mean_recovery_success,mean_mean_energy_spike,ci95_mean_energy_spike,mean_mean_calibration_ece,ci95_mean_calibration_ece,mean_mean_intervention_cost,ci95_mean_intervention_cost,mean_mean_fixed_risk_coverage,ci95_mean_fixed_risk_coverage,mean_mean_regret_to_oracle,ci95_mean_regret_to_oracle
no_contact_behavior_clone,nominal,10,0.457083,0.018243,0.435618,0.018101,0.21521,0.000447,0.28715,0.000313,0.096184,0.000278,0.075705,0.000145,0.052982,0.000326,0.068703,0.000415,0.051578,0.000208,0.05881,0.000329,0.22493,0.00059,0.076422,0.000253,0.061902,0.000201,0.120648,0.000184,0.364552,7.5e-05,0.317292,0.017239
no_contact_behavior_clone,seen_contact_shift,10,0.42875,0.010783,0.392804,0.010413,0.196742,0.000545,0.305396,0.000448,0.117404,0.000201,0.094469,0.000233,0.062361,0.000321,0.079295,0.00019,0.076226,0.000228,0.069143,0.000233,0.198353,0.000717,0.091054,0.000215,0.087721,0.000325,0.129516,0.000247,0.33612,8.5e-05,0.323542,0.020508
no_contact_behavior_clone,unseen_geometry,10,0.395833,0.011355,0.351864,0.011203,0.187331,0.000354,0.320757,0.000266,0.132425,0.000244,0.111915,0.000229,0.068682,0.000194,0.090701,0.000256,0.083241,0.000319,0.075571,0.000319,0.185256,0.000394,0.098861,0.000201,0.100929,0.000232,0.133724,0.000165,0.321484,5.9e-05,0.340417,0.018704
no_contact_behavior_clone,unseen_friction,10,0.381875,0.017357,0.334236,0.017374,0.1815,0.000372,0.316121,0.000354,0.131598,0.000292,0.105031,0.000277,0.069976,0.000315,0.083841,0.000263,0.131155,0.000241,0.078714,0.000304,0.17752,0.000629,0.102319,0.000221,0.107695,0.000349,0.136494,0.000274,0.311278,3.5e-05,0.3475,0.019024
no_contact_behavior_clone,unseen_compliance,10,0.386458,0.017295,0.336152,0.016879,0.179384,0.000408,0.329047,0.000287,0.136928,0.000187,0.110818,0.000277,0.072961,0.000141,0.092222,0.000241,0.09886,0.000222,0.081289,0.000228,0.173154,0.000622,0.105232,0.000229,0.114063,0.00021,0.138422,0.00032,0.307514,4.2e-05,0.337083,0.020596
no_contact_behavior_clone,actuator_latency,10,0.398333,0.007598,0.34871,0.007136,0.179999,0.000445,0.328717,0.000281,0.136309,0.000331,0.10934,0.000312,0.078391,0.000235,0.086413,0.000238,0.097172,0.000266,0.093637,0.000329,0.173619,0.000684,0.105024,0.000447,0.113922,0.00028,0.138296,0.000235,0.307443,8.4e-05,0.325,0.016105
no_contact_behavior_clone,sensor_dropout,10,0.38625,0.012958,0.332817,0.012177,0.159702,0.00049,0.325577,0.000468,0.138412,0.00032,0.112022,0.000226,0.074808,0.000386,0.088298,0.000342,0.100704,0.000271,0.099152,0.000251,0.149497,0.000566,0.106282,0.000218,0.115207,0.000217,0.139406,0.000187,0.304463,7.1e-05,0.348333,0.019524
no_contact_behavior_clone,heldout_mixed_non_smooth_stress,10,0.348542,0.010614,0.287132,0.009948,0.162434,0.000374,0.345435,0.000429,0.153893,0.000209,0.127317,0.000273,0.083114,0.000236,0.100131,0.000267,0.137408,0.000232,0.098525,0.000242,0.15047,0.00035,0.115555,0.000266,0.132411,0.000312,0.144767,0.000209,0.284755,4.8e-05,0.350417,0.011658
domain_randomization,nominal,10,0.556458,0.010998,0.552945,0.011007,0.287908,0.000581,0.269073,0.00034,0.084763,0.000294,0.068301,0.000117,0.044824,0.000353,0.061187,0.000264,0.043696,0.000272,0.053013,0.00016,0.297973,0.000619,0.065497,0.000367,0.054235,0.000265,0.127151,0.00019,0.42354,8.1e-05,0.217917,0.007752
domain_randomization,seen_contact_shift,10,0.493958,0.016338,0.477234,0.016298,0.269751,0.000378,0.283833,0.000231,0.102797,0.000198,0.084207,0.00025,0.052923,0.00022,0.070037,0.000408,0.064216,0.000307,0.061867,0.000308,0.271836,0.000505,0.078261,0.000285,0.075799,0.000423,0.135823,0.000205,0.395831,6.8e-05,0.258333,0.025398
