risk_budget,method,seed,groups,mean_risk_score,ci95_risk_score,mean_coverage,ci95_coverage,mean_success,ci95_success,mean_utility,ci95_utility
0.08,domain_randomization,6,80,0.093593,0.00439,0.74002,0.012194,0.306943,0.031941,0.276292,0.031492
0.08,domain_randomization,7,80,0.093872,0.004374,0.739245,0.012151,0.334272,0.033559,0.300788,0.034368
0.08,domain_randomization,8,80,0.093861,0.004332,0.739274,0.012034,0.328509,0.032944,0.296133,0.032744
0.08,domain_randomization,9,80,0.094107,0.004283,0.738592,0.011898,0.327888,0.032939,0.294171,0.032629
0.08,diffusion_policy_surrogate,0,80,0.095568,0.004515,0.734534,0.012543,0.350711,0.034915,0.319775,0.035364
0.08,diffusion_policy_surrogate,1,80,0.095978,0.004482,0.733394,0.012451,0.330928,0.033198,0.299686,0.033044
0.08,diffusion_policy_surrogate,2,80,0.095822,0.004433,0.733829,0.012314,0.333573,0.032044,0.30205,0.032545
0.08,diffusion_policy_surrogate,3,80,0.095641,0.004424,0.734331,0.012289,0.31832,0.03339,0.286293,0.034128
0.08,diffusion_policy_surrogate,4,80,0.095584,0.004417,0.734489,0.012269,0.359811,0.034577,0.329617,0.034421
0.08,diffusion_policy_surrogate,5,80,0.095911,0.004439,0.73358,0.012331,0.333398,0.028555,0.301737,0.029196
0.08,diffusion_policy_surrogate,6,80,0.095964,0.004491,0.733433,0.012475,0.343106,0.029983,0.310869,0.030592
0.08,diffusion_policy_surrogate,7,80,0.096028,0.004577,0.733256,0.012714,0.34064,0.03668,0.30983,0.036765
0.08,diffusion_policy_surrogate,8,80,0.095819,0.004348,0.733837,0.012078,0.324305,0.034599,0.292924,0.035052
0.08,diffusion_policy_surrogate,9,80,0.095567,0.00442,0.734535,0.012277,0.337318,0.036286,0.306785,0.036803
0.08,robotics_transformer_surrogate,0,80,0.09058,0.004181,0.74839,0.011613,0.369071,0.034317,0.344149,0.034631
0.08,robotics_transformer_surrogate,1,80,0.090912,0.004156,0.747467,0.011545,0.334738,0.037051,0.309732,0.037445
0.08,robotics_transformer_surrogate,2,80,0.09047,0.004179,0.748693,0.01161,0.386105,0.038344,0.360854,0.039054
0.08,robotics_transformer_surrogate,3,80,0.090749,0.004223,0.747919,0.011732,0.347832,0.035069,0.322907,0.035655
0.08,robotics_transformer_surrogate,4,80,0.090665,0.004161,0.748153,0.011558,0.35342,0.040902,0.32845,0.041543
0.08,robotics_transformer_surrogate,5,80,0.090776,0.004106,0.747846,0.011405,0.360604,0.039598,0.336094,0.040221
0.08,robotics_transformer_surrogate,6,80,0.090731,0.004177,0.747969,0.011603,0.3276,0.031801,0.302161,0.032705
0.08,robotics_transformer_surrogate,7,80,0.090684,0.004249,0.748099,0.011804,0.325685,0.034581,0.300875,0.034959
0.08,robotics_transformer_surrogate,8,80,0.09063,0.004191,0.748251,0.01164,0.37512,0.033807,0.350385,0.033788
0.08,robotics_transformer_surrogate,9,80,0.091084,0.00414,0.746988,0.011501,0.374044,0.035772,0.348749,0.036413
0.08,ensemble_disagreement_planner,0,80,0.06667,0.003005,0.814804,0.008348,0.429559,0.033441,0.435711,0.033811
0.08,ensemble_disagreement_planner,1,80,0.066538,0.003141,0.815171,0.008725,0.429294,0.032916,0.435124,0.03352
0.08,ensemble_disagreement_planner,2,80,0.067166,0.003036,0.813427,0.008434,0.3979,0.038699,0.404178,0.039228
0.08,ensemble_disagreement_planner,3,80,0.066836,0.003201,0.814344,0.008891,0.403175,0.0403,0.408883,0.040722
0.08,ensemble_disagreement_planner,4,80,0.066614,0.003092,0.814962,0.008589,0.421829,0.038802,0.427792,0.039276
0.08,ensemble_disagreement_planner,5,80,0.066623,0.003106,0.814935,0.008628,0.426223,0.035063,0.432247,0.03537
0.08,ensemble_disagreement_planner,6,80,0.066855,0.003192,0.814293,0.008867,0.415849,0.033999,0.422004,0.034409
0.08,ensemble_disagreement_planner,7,80,0.066635,0.003059,0.814902,0.008497,0.373466,0.03818,0.379537,0.038427
0.08,ensemble_disagreement_planner,8,80,0.066737,0.003124,0.81462,0.008677,0.414178,0.039643,0.420293,0.03982
0.08,ensemble_disagreement_planner,9,80,0.066833,0.003128,0.814352,0.008688,0.417089,0.033682,0.423165,0.033919
0.08,conformal_risk_filter,0,80,0.060836,0.002891,0.831011,0.00803,0.42919,0.033916,0.437571,0.034175
0.08,conformal_risk_filter,1,80,0.060383,0.002824,0.832268,0.007846,0.395668,0.030361,0.404243,0.030883
0.08,conformal_risk_filter,2,80,0.060784,0.00288,0.831155,0.008001,0.448839,0.04095,0.456973,0.041639
0.08,conformal_risk_filter,3,80,0.060988,0.002866,0.830589,0.007961,0.41326,0.038349,0.42135,0.038855
0.08,conformal_risk_filter,4,80,0.061164,0.002899,0.830099,0.008052,0.383399,0.038627,0.391747,0.039233
0.08,conformal_risk_filter,5,80,0.06071,0.002813,0.83136,0.007814,0.41808,0.03544,0.426735,0.035723
0.08,conformal_risk_filter,6,80,0.060883,0.002831,0.83088,0.007863,0.408592,0.036014,0.416873,0.03626
0.08,conformal_risk_filter,7,80,0.061178,0.002755,0.83006,0.007654,0.420871,0.042633,0.428884,0.042907
0.08,conformal_risk_filter,8,80,0.060755,0.002855,0.831237,0.007931,0.43179,0.03887,0.44022,0.039338
0.08,conformal_risk_filter,9,80,0.060826,0.002898,0.83104,0.00805,0.406938,0.037314,0.415416,0.037643
0.08,smooth_dynamics_world_model,0,80,0.094308,0.004342,0.738033,0.012061,0.326588,0.035176,0.295964,0.035521
0.08,smooth_dynamics_world_model,1,80,0.094257,0.004398,0.738176,0.012216,0.32619,0.041686,0.295879,0.041908
0.08,smooth_dynamics_world_model,2,80,0.09503,0.00451,0.736029,0.012527,0.317038,0.030917,0.285897,0.031249
0.08,smooth_dynamics_world_model,3,80,0.094759,0.004406,0.73678,0.012238,0.314712,0.031681,0.283433,0.032122
0.08,smooth_dynamics_world_model,4,80,0.094284,0.004421,0.738099,0.012279,0.345216,0.037304,0.314075,0.03803
0.08,smooth_dynamics_world_model,5,80,0.094604,0.004372,0.737211,0.012144,0.349322,0.033892,0.317456,0.034365
0.08,smooth_dynamics_world_model,6,80,0.094671,0.004473,0.737025,0.012424,0.339711,0.032044,0.308648,0.032442
0.08,smooth_dynamics_world_model,7,80,0.09477,0.00443,0.736749,0.012305,0.354566,0.033483,0.322318,0.034566
0.08,smooth_dynamics_world_model,8,80,0.09442,0.004343,0.737723,0.012064,0.324042,0.035874,0.294906,0.035371
0.08,smooth_dynamics_world_model,9,80,0.094169,0.004413,0.73842,0.012258,0.34056,0.030453,0.308729,0.031423
0.08,contact_implicit_mpc,0,80,0.06261,0.002809,0.826084,0.007802,0.405512,0.035687,0.420681,0.036013
0.08,contact_implicit_mpc,1,80,0.062595,0.002821,0.826125,0.007835,0.393008,0.040181,0.408419,0.040022
0.08,contact_implicit_mpc,2,80,0.062886,0.00274,0.825318,0.007611,0.463735,0.034737,0.479258,0.035331
0.08,contact_implicit_mpc,3,80,0.062583,0.002916,0.826158,0.0081,0.405211,0.03666,0.42087,0.037011
0.08,contact_implicit_mpc,4,80,0.062307,0.002903,0.826925,0.008063,0.411584,0.035341,0.427463,0.035563
0.08,contact_implicit_mpc,5,80,0.062796,0.002891,0.825567,0.008029,0.4443,0.042592,0.45969,0.042912
0.08,contact_implicit_mpc,6,80,0.06252,0.002835,0.826332,0.007874,0.421911,0.038349,0.437468,0.038635
0.08,contact_implicit_mpc,7,80,0.062601,0.002865,0.826108,0.007958,0.415511,0.039269,0.431081,0.039581
0.08,contact_implicit_mpc,8,80,0.062625,0.002843,0.826041,0.007896,0.443311,0.036752,0.45869,0.037209
0.08,contact_implicit_mpc,9,80,0.062548,0.002856,0.826257,0.007932,0.41293,0.035687,0.428541,0.03634
0.08,complementarity_residual_planner,0,80,0.059473,0.002653,0.834797,0.007369,0.420744,0.039045,0.443264,0.03889
0.08,complementarity_residual_planner,1,80,0.059948,0.002725,0.833478,0.007569,0.458512,0.041986,0.480475,0.042246
0.08,complementarity_residual_planner,2,80,0.059662,0.00272,0.834272,0.007556,0.438698,0.038853,0.461742,0.039017
0.08,complementarity_residual_planner,3,80,0.059208,0.002719,0.835533,0.007553,0.428396,0.039125,0.451603,0.039845
0.08,complementarity_residual_planner,4,80,0.059693,0.002746,0.834186,0.007627,0.425591,0.035625,0.448856,0.035797
0.08,complementarity_residual_planner,5,80,0.059508,0.002639,0.8347,0.007331,0.451415,0.043156,0.474075,0.043543
0.08,complementarity_residual_planner,6,80,0.059724,0.002678,0.834099,0.007438,0.447919,0.03691,0.470456,0.036786
0.08,complementarity_residual_planner,7,80,0.060012,0.00267,0.833299,0.007417,0.429993,0.040918,0.452753,0.041733
0.08,complementarity_residual_planner,8,80,0.059737,0.002724,0.834063,0.007567,0.427678,0.039336,0.450048,0.039338
0.08,complementarity_residual_planner,9,80,0.059351,0.0027,0.835137,0.007499,0.420977,0.03486,0.444309,0.035118
0.08,robust_hybrid_mpc,0,80,0.051844,0.002254,0.855989,0.006261,0.475905,0.042712,0.507578,0.042742
0.08,robust_hybrid_mpc,1,80,0.051684,0.002311,0.856434,0.006419,0.458044,0.043078,0.4896,0.042882
0.08,robust_hybrid_mpc,2,80,0.051999,0.002278,0.855559,0.006327,0.493753,0.035596,0.525573,0.035696
0.08,robust_hybrid_mpc,3,80,0.051661,0.002309,0.856498,0.006414,0.476185,0.033945,0.507747,0.034047
0.08,robust_hybrid_mpc,4,80,0.051614,0.00236,0.856628,0.006556,0.44182,0.03851,0.473328,0.038227
0.08,robust_hybrid_mpc,5,80,0.052148,0.002233,0.855144,0.006203,0.450239,0.037085,0.481866,0.037625
0.08,robust_hybrid_mpc,6,80,0.051663,0.002254,0.856492,0.006262,0.451512,0.037679,0.483351,0.037799
0.08,robust_hybrid_mpc,7,80,0.051807,0.002238,0.856092,0.006216,0.429965,0.038148,0.461698,0.038227
0.08,robust_hybrid_mpc,8,80,0.051465,0.002265,0.857042,0.006292,0.460534,0.038685,0.492418,0.038984
0.08,robust_hybrid_mpc,9,80,0.051828,0.002208,0.856032,0.006135,0.455621,0.03862,0.486999,0.038702
0.08,learned_contact_classifier,0,80,0.067029,0.003047,0.813808,0.008465,0.444852,0.037834,0.460396,0.038251
0.08,learned_contact_classifier,1,80,0.06661,0.00306,0.814972,0.0085,0.427419,0.038026,0.442927,0.038431
0.08,learned_contact_classifier,2,80,0.067106,0.003028,0.813595,0.008411,0.42403,0.035353,0.43973,0.035655
0.08,learned_contact_classifier,3,80,0.066964,0.003066,0.813989,0.008518,0.416527,0.037883,0.432097,0.037821
0.08,learned_contact_classifier,4,80,0.066401,0.003055,0.815552,0.008486,0.45267,0.037719,0.468616,0.038144
0.08,learned_contact_classifier,5,80,0.066781,0.00305,0.814497,0.008473,0.39431,0.040804,0.409841,0.041257
0.08,learned_contact_classifier,6,80,0.066729,0.003121,0.814643,0.008669,0.43925,0.036804,0.455023,0.037085
0.08,learned_contact_classifier,7,80,0.066353,0.003021,0.815687,0.008392,0.459268,0.039948,0.474809,0.040088
0.08,learned_contact_classifier,8,80,0.066516,0.003086,0.815235,0.008573,0.419963,0.03556,0.435963,0.035973
0.08,learned_contact_classifier,9,80,0.066491,0.003008,0.815302,0.008356,0.397517,0.037899,0.413519,0.038523
0.08,energy_barrier_policy,0,80,0.054071,0.002343,0.849803,0.006507,0.429781,0.042417,0.446054,0.042604
0.08,energy_barrier_policy,1,80,0.053992,0.002341,0.850022,0.006504,0.437777,0.03891,0.454396,0.039183
0.08,energy_barrier_policy,2,80,0.053939,0.002285,0.85017,0.006349,0.411394,0.039457,0.428016,0.039697
0.08,energy_barrier_policy,3,80,0.053972,0.002323,0.850077,0.006453,0.469407,0.040671,0.485985,0.04079
0.08,energy_barrier_policy,4,80,0.05341,0.002306,0.851639,0.006405,0.410625,0.034753,0.427873,0.035189
0.08,energy_barrier_policy,5,80,0.054307,0.00233,0.849146,0.006472,0.417602,0.039647,0.434183,0.040305
0.08,energy_barrier_policy,6,80,0.054471,0.002358,0.848692,0.006549,0.431065,0.039872,0.447793,0.040415
0.08,energy_barrier_policy,7,80,0.054161,0.002196,0.849552,0.006101,0.439591,0.039204,0.455929,0.039369
0.08,energy_barrier_policy,8,80,0.053748,0.002272,0.8507,0.006312,0.428666,0.039056,0.445319,0.039097
0.08,energy_barrier_policy,9,80,0.053926,0.002354,0.850206,0.00654,0.412185,0.039808,0.429104,0.039742
0.08,proposed_contact_mode_boundary_atlas_v4,0,80,0.043325,0.00188,0.879654,0.005222,0.493637,0.037901,0.548411,0.038089
0.08,proposed_contact_mode_boundary_atlas_v4,1,80,0.043599,0.001958,0.878893,0.005438,0.550472,0.038613,0.603199,0.038166
0.08,proposed_contact_mode_boundary_atlas_v4,2,80,0.043709,0.00195,0.878587,0.005417,0.49012,0.037376,0.544281,0.036944
0.08,proposed_contact_mode_boundary_atlas_v4,3,80,0.043362,0.001855,0.87955,0.005153,0.539319,0.036366,0.593173,0.036083
0.08,proposed_contact_mode_boundary_atlas_v4,4,80,0.0436,0.001989,0.878889,0.005524,0.513564,0.038138,0.567366,0.037928
0.08,proposed_contact_mode_boundary_atlas_v4,5,80,0.04343,0.001998,0.879361,0.00555,0.52051,0.043193,0.574283,0.042908
0.08,proposed_contact_mode_boundary_atlas_v4,6,80,0.043607,0.001993,0.878869,0.005536,0.542971,0.03939,0.595658,0.038307
0.08,proposed_contact_mode_boundary_atlas_v4,7,80,0.043324,0.001967,0.879654,0.005463,0.515563,0.040623,0.569911,0.040473
0.08,proposed_contact_mode_boundary_atlas_v4,8,80,0.043842,0.001914,0.878216,0.005316,0.50374,0.042008,0.556734,0.041278
0.08,proposed_contact_mode_boundary_atlas_v4,9,80,0.043763,0.001881,0.878436,0.005224,0.538719,0.044685,0.589797,0.043483
0.08,contact_mode_boundary_audit_v5,0,80,0.025834,0.00097,0.928239,0.002694,0.617152,0.039639,0.701777,0.038157
0.08,contact_mode_boundary_audit_v5,1,80,0.025765,0.001014,0.92843,0.002818,0.63061,0.039636,0.713552,0.037642
0.08,contact_mode_boundary_audit_v5,2,80,0.025889,0.000989,0.928085,0.002746,0.655438,0.03458,0.741061,0.033279
0.08,contact_mode_boundary_audit_v5,3,80,0.026158,0.001098,0.927338,0.003049,0.620114,0.04014,0.702366,0.037661
0.08,contact_mode_boundary_audit_v5,4,80,0.026038,0.000966,0.927672,0.002684,0.633884,0.045252,0.714356,0.042674
0.08,contact_mode_boundary_audit_v5,5,80,0.025556,0.001057,0.929012,0.002937,0.58063,0.040582,0.668474,0.040011
0.08,contact_mode_boundary_audit_v5,6,80,0.02561,0.001023,0.928861,0.002843,0.636466,0.039474,0.718785,0.03711
0.08,contact_mode_boundary_audit_v5,7,80,0.025992,0.001056,0.9278,0.002933,0.585838,0.033392,0.672761,0.032273
0.08,contact_mode_boundary_audit_v5,8,80,0.026104,0.000917,0.927488,0.002549,0.581382,0.037672,0.66834,0.036772
0.08,contact_mode_boundary_audit_v5,9,80,0.026144,0.00103,0.927377,0.002862,0.590815,0.036259,0.676757,0.034961
0.08,oracle_contact_mode_supervisor,0,80,0.025504,0.001107,0.929156,0.003076,0.664334,0.03564,0.749513,0.03314
0.08,oracle_contact_mode_supervisor,1,80,0.024832,0.000991,0.931022,0.002753,0.64769,0.040259,0.731299,0.037232
0.08,oracle_contact_mode_supervisor,2,80,0.0256,0.001084,0.92889,0.003012,0.657966,0.04054,0.741807,0.037866
0.08,oracle_contact_mode_supervisor,3,80,0.024917,0.000867,0.930785,0.002407,0.618678,0.044148,0.705364,0.042148
0.08,oracle_contact_mode_supervisor,4,80,0.025153,0.001035,0.93013,0.002875,0.631761,0.031953,0.722613,0.031033
0.08,oracle_contact_mode_supervisor,5,80,0.02522,0.001041,0.929944,0.002891,0.649215,0.036093,0.733968,0.033197
0.08,oracle_contact_mode_supervisor,6,80,0.0254,0.001052,0.929445,0.002922,0.623859,0.043197,0.706065,0.039747
0.08,oracle_contact_mode_supervisor,7,80,0.025344,0.001038,0.929599,0.002883,0.664519,0.038089,0.748568,0.035411
0.08,oracle_contact_mode_supervisor,8,80,0.025412,0.001057,0.92941,0.002936,0.594462,0.041018,0.683528,0.03953
0.08,oracle_contact_mode_supervisor,9,80,0.025136,0.000955,0.930177,0.002653,0.70716,0.037276,0.78835,0.034073
0.08,oracle_hybrid_contact_supervisor,0,80,0.018448,0.000677,0.948756,0.001881,0.664328,0.042968,0.761537,0.040239
0.08,oracle_hybrid_contact_supervisor,1,80,0.018688,0.00062,0.948089,0.001721,0.65205,0.041861,0.749272,0.038924
0.08,oracle_hybrid_contact_supervisor,2,80,0.018509,0.000689,0.948586,0.001913,0.640479,0.03992,0.738631,0.03697
0.08,oracle_hybrid_contact_supervisor,3,80,0.018324,0.00064,0.9491,0.001777,0.670265,0.040954,0.770039,0.038816
0.08,oracle_hybrid_contact_supervisor,4,80,0.018689,0.000661,0.948087,0.001837,0.68733,0.035742,0.784387,0.032578
0.08,oracle_hybrid_contact_supervisor,5,80,0.018329,0.000669,0.949086,0.001859,0.634604,0.043479,0.734973,0.041393
0.08,oracle_hybrid_contact_supervisor,6,80,0.018397,0.000645,0.948897,0.001791,0.667982,0.033827,0.767365,0.030987
0.08,oracle_hybrid_contact_supervisor,7,80,0.018433,0.000652,0.948798,0.001811,0.689848,0.040705,0.786415,0.037705
0.08,oracle_hybrid_contact_supervisor,8,80,0.018502,0.000669,0.948605,0.001858,0.664016,0.042039,0.762219,0.039535
0.08,oracle_hybrid_contact_supervisor,9,80,0.01806,0.00064,0.949834,0.001777,0.660878,0.044374,0.754669,0.040463
0.12,no_contact_behavior_clone,0,80,0.108348,0.005079,0.729129,0.012697,0.260324,0.03495,0.207467,0.034536
0.12,no_contact_behavior_clone,1,80,0.1086,0.005065,0.7285,0.012662,0.261976,0.038092,0.210291,0.037788
0.12,no_contact_behavior_clone,2,80,0.108421,0.005078,0.728947,0.012694,0.240535,0.031002,0.189597,0.030024
0.12,no_contact_behavior_clone,3,80,0.108647,0.005148,0.728382,0.012871,0.253232,0.035947,0.203844,0.034975
0.12,no_contact_behavior_clone,4,80,0.108702,0.005003,0.728245,0.012508,0.264635,0.038256,0.216056,0.036748
0.12,no_contact_behavior_clone,5,80,0.10876,0.0051,0.7281,0.01275,0.251847,0.031566,0.19876,0.031481
0.12,no_contact_behavior_clone,6,80,0.108604,0.005066,0.728489,0.012664,0.268054,0.032174,0.214268,0.032111
0.12,no_contact_behavior_clone,7,80,0.108682,0.005074,0.728295,0.012685,0.266255,0.029531,0.212321,0.029215
0.12,no_contact_behavior_clone,8,80,0.108533,0.005072,0.728667,0.01268,0.230719,0.030101,0.18078,0.028624
0.12,no_contact_behavior_clone,9,80,0.108581,0.005116,0.728547,0.01279,0.266261,0.029672,0.213234,0.028989
0.12,domain_randomization,0,80,0.093672,0.004444,0.76582,0.011109,0.341041,0.039155,0.307766,0.039401
0.12,domain_randomization,1,80,0.093457,0.004363,0.766357,0.010907,0.314124,0.030473,0.280119,0.03081
0.12,domain_randomization,2,80,0.09418,0.004389,0.764551,0.010972,0.313683,0.034518,0.279927,0.035084
0.12,domain_randomization,3,80,0.093763,0.004356,0.765592,0.010889,0.331949,0.036154,0.299236,0.035905
0.12,domain_randomization,4,80,0.094057,0.004316,0.764858,0.010789,0.332216,0.032623,0.297129,0.033294
0.12,domain_randomization,5,80,0.093986,0.004298,0.765034,0.010745,0.336285,0.03921,0.303877,0.039113
0.12,domain_randomization,6,80,0.093593,0.00439,0.766018,0.010974,0.317499,0.032832,0.285762,0.032317
0.12,domain_randomization,7,80,0.093872,0.004374,0.765321,0.010936,0.345637,0.034439,0.310963,0.035253
0.12,domain_randomization,8,80,0.093861,0.004332,0.765347,0.01083,0.340033,0.033953,0.306509,0.033689
0.12,domain_randomization,9,80,0.094107,0.004283,0.764733,0.010708,0.339891,0.034193,0.30497,0.033828
0.12,diffusion_policy_surrogate,0,80,0.095568,0.004515,0.761081,0.011288,0.36314,0.035894,0.331051,0.036317
0.12,diffusion_policy_surrogate,1,80,0.095978,0.004482,0.760054,0.011206,0.343043,0.034332,0.310631,0.034139
0.12,diffusion_policy_surrogate,2,80,0.095822,0.004433,0.760446,0.011083,0.345424,0.03293,0.312728,0.03341
0.12,diffusion_policy_surrogate,3,80,0.095641,0.004424,0.760898,0.01106,0.329613,0.034364,0.296395,0.035094
0.12,diffusion_policy_surrogate,4,80,0.095584,0.004417,0.76104,0.011042,0.37258,0.035541,0.341269,0.035332
0.12,diffusion_policy_surrogate,5,80,0.095911,0.004439,0.760222,0.011098,0.345267,0.029408,0.312425,0.030036
0.12,diffusion_policy_surrogate,6,80,0.095964,0.004491,0.76009,0.011228,0.355462,0.030826,0.322021,0.031416
0.12,diffusion_policy_surrogate,7,80,0.096028,0.004577,0.759931,0.011442,0.352826,0.037706,0.320858,0.037761
0.12,diffusion_policy_surrogate,8,80,0.095819,0.004348,0.760454,0.01087,0.335833,0.035593,0.303292,0.036028
0.12,diffusion_policy_surrogate,9,80,0.095567,0.00442,0.761082,0.011049,0.349003,0.037209,0.317338,0.037717
0.12,robotics_transformer_surrogate,0,80,0.09058,0.004181,0.773551,0.010452,0.381331,0.035281,0.355489,0.035566
0.12,robotics_transformer_surrogate,1,80,0.090912,0.004156,0.772721,0.01039,0.345847,0.038051,0.319916,0.038433
0.12,robotics_transformer_surrogate,2,80,0.09047,0.004179,0.773824,0.010449,0.398744,0.039372,0.372566,0.040073
0.12,robotics_transformer_surrogate,3,80,0.090749,0.004223,0.773127,0.010558,0.359299,0.036002,0.333447,0.036571
0.12,robotics_transformer_surrogate,4,80,0.090665,0.004161,0.773338,0.010403,0.364953,0.041923,0.339057,0.042556
0.12,robotics_transformer_surrogate,5,80,0.090776,0.004106,0.773061,0.010265,0.372252,0.040575,0.346837,0.04119
0.12,robotics_transformer_surrogate,6,80,0.090731,0.004177,0.773172,0.010443,0.338382,0.03256,0.312004,0.033455
0.12,robotics_transformer_surrogate,7,80,0.090684,0.004249,0.773289,0.010624,0.33645,0.035548,0.310722,0.035893
0.12,robotics_transformer_surrogate,8,80,0.09063,0.004191,0.773426,0.010476,0.387816,0.034922,0.362166,0.034854
0.12,robotics_transformer_surrogate,9,80,0.091084,0.00414,0.772289,0.010351,0.386431,0.036729,0.3602,0.03736
0.12,ensemble_disagreement_planner,0,80,0.06667,0.003005,0.833324,0.007513,0.439312,0.034109,0.445391,0.034455
0.12,ensemble_disagreement_planner,1,80,0.066538,0.003141,0.833654,0.007853,0.438865,0.033442,0.444616,0.034024
0.12,ensemble_disagreement_planner,2,80,0.067166,0.003036,0.832084,0.007591,0.40686,0.039473,0.413068,0.039978
0.12,ensemble_disagreement_planner,3,80,0.066836,0.003201,0.832909,0.008002,0.412233,0.041002,0.417857,0.041398
0.12,ensemble_disagreement_planner,4,80,0.066614,0.003092,0.833465,0.00773,0.431313,0.0396,0.437199,0.040054
0.12,ensemble_disagreement_planner,5,80,0.066623,0.003106,0.833442,0.007765,0.435892,0.035827,0.441839,0.036109
0.12,ensemble_disagreement_planner,6,80,0.066855,0.003192,0.832864,0.00798,0.425306,0.034731,0.431386,0.035116
0.12,ensemble_disagreement_planner,7,80,0.066635,0.003059,0.833411,0.007647,0.381953,0.039003,0.387948,0.039226
0.12,ensemble_disagreement_planner,8,80,0.066737,0.003124,0.833158,0.00781,0.423593,0.040513,0.429632,0.040669
0.12,ensemble_disagreement_planner,9,80,0.066833,0.003128,0.832917,0.007819,0.42663,0.034376,0.432629,0.034581
0.12,conformal_risk_filter,0,80,0.060836,0.002891,0.84791,0.007227,0.437938,0.034543,0.446298,0.034773
0.12,conformal_risk_filter,1,80,0.060383,0.002824,0.849042,0.007061,0.403601,0.030881,0.412158,0.031375
0.12,conformal_risk_filter,2,80,0.060784,0.00288,0.848039,0.007201,0.457705,0.041546,0.465818,0.042221
0.12,conformal_risk_filter,3,80,0.060988,0.002866,0.84753,0.007165,0.421517,0.038947,0.429584,0.039436
0.12,conformal_risk_filter,4,80,0.061164,0.002899,0.847089,0.007247,0.391101,0.039326,0.399429,0.039915
0.12,conformal_risk_filter,5,80,0.06071,0.002813,0.848224,0.007033,0.426481,0.03608,0.435125,0.03634
0.12,conformal_risk_filter,6,80,0.060883,0.002831,0.847792,0.007076,0.4169,0.036653,0.425158,0.036877
0.12,conformal_risk_filter,7,80,0.061178,0.002755,0.847054,0.006888,0.429409,0.043394,0.437402,0.043655
0.12,conformal_risk_filter,8,80,0.060755,0.002855,0.848113,0.007138,0.440486,0.039574,0.448897,0.040028
0.12,conformal_risk_filter,9,80,0.060826,0.002898,0.847936,0.007245,0.415203,0.038034,0.423662,0.03834
0.12,smooth_dynamics_world_model,0,80,0.094308,0.004342,0.76423,0.010855,0.337888,0.036148,0.306155,0.036472
0.12,smooth_dynamics_world_model,1,80,0.094257,0.004398,0.764358,0.010995,0.337321,0.042895,0.305921,0.043095
0.12,smooth_dynamics_world_model,2,80,0.09503,0.00451,0.762426,0.011274,0.328251,0.031907,0.295971,0.032212
0.12,smooth_dynamics_world_model,3,80,0.094759,0.004406,0.763102,0.011014,0.325741,0.032594,0.293324,0.033009
0.12,smooth_dynamics_world_model,4,80,0.094284,0.004421,0.764289,0.011051,0.356945,0.038266,0.324679,0.038986
0.12,smooth_dynamics_world_model,5,80,0.094604,0.004372,0.76349,0.01093,0.361681,0.034829,0.328661,0.03527
0.12,smooth_dynamics_world_model,6,80,0.094671,0.004473,0.763323,0.011182,0.351574,0.032984,0.319385,0.033355
0.12,smooth_dynamics_world_model,7,80,0.09477,0.00443,0.763074,0.011074,0.366817,0.034161,0.333399,0.035253
0.12,smooth_dynamics_world_model,8,80,0.09442,0.004343,0.763951,0.010857,0.335387,0.037033,0.305202,0.036464
