risk_budget,method,seed,groups,mean_risk_score,ci95_risk_score,mean_coverage,ci95_coverage,mean_success,ci95_success,mean_utility,ci95_utility
0.08,no_contact_behavior_clone,0,80,0.108348,0.005079,0.699032,0.014108,0.249897,0.033839,0.199027,0.033456
0.08,no_contact_behavior_clone,1,80,0.1086,0.005065,0.698334,0.014068,0.251732,0.036956,0.201974,0.036687
0.08,no_contact_behavior_clone,2,80,0.108421,0.005078,0.69883,0.014104,0.230919,0.029922,0.181876,0.029003
0.08,no_contact_behavior_clone,3,80,0.108647,0.005148,0.698202,0.014301,0.243406,0.03494,0.195829,0.034036
0.08,no_contact_behavior_clone,4,80,0.108702,0.005003,0.69805,0.013897,0.254224,0.037011,0.207433,0.035585
0.08,no_contact_behavior_clone,5,80,0.10876,0.0051,0.697888,0.014167,0.241867,0.03059,0.190751,0.030532
0.08,no_contact_behavior_clone,6,80,0.108604,0.005066,0.698321,0.014071,0.257329,0.031202,0.205573,0.031149
0.08,no_contact_behavior_clone,7,80,0.108682,0.005074,0.698105,0.014094,0.255329,0.02846,0.203413,0.028192
0.08,no_contact_behavior_clone,8,80,0.108533,0.005072,0.698519,0.014089,0.2214,0.028987,0.173301,0.027601
0.08,no_contact_behavior_clone,9,80,0.108581,0.005116,0.698386,0.014211,0.255336,0.028562,0.204278,0.02794
0.08,domain_randomization,0,80,0.093672,0.004444,0.7398,0.012344,0.32986,0.038172,0.297728,0.038443
0.08,domain_randomization,1,80,0.093457,0.004363,0.740397,0.012119,0.303656,0.029644,0.270816,0.030003
0.08,domain_randomization,2,80,0.09418,0.004389,0.73839,0.012191,0.303398,0.033773,0.270808,0.034352
0.08,domain_randomization,3,80,0.093763,0.004356,0.739547,0.012099,0.320916,0.035157,0.28932,0.034947
0.08,domain_randomization,4,80,0.094057,0.004316,0.738731,0.011988,0.32098,0.031772,0.287098,0.032455
0.08,domain_randomization,5,80,0.093986,0.004298,0.738927,0.011939,0.32527,0.038211,0.293965,0.038152
