ablation,task,regime,split,seed,episodes,success,success_probability,contact_mode_f1,boundary_error,unsafe_impulse,jam_rate,slip_overshoot,intervention_cost,data_efficiency_proxy
full_contact_mode_boundary_atlas,peg_insertion,combined_contact_shock,combined_stress,4,84,0.4286,0.4875,0.6281,0.2662,0.0866,0.1065,0.0572,0.2221,0.5979
full_contact_mode_boundary_atlas,peg_insertion,combined_contact_shock,combined_stress,5,84,0.6429,0.4907,0.6293,0.2636,0.0771,0.1157,0.0624,0.2221,0.6263
full_contact_mode_boundary_atlas,peg_insertion,combined_contact_shock,combined_stress,6,84,0.5238,0.5003,0.6418,0.2705,0.081,0.1072,0.0566,0.2221,0.5953
full_contact_mode_boundary_atlas,drawer_opening,nominal_contact,combined_stress,0,84,0.6071,0.5836,0.6124,0.2193,0.0474,0.081,0.0474,0.2046,0.6072
full_contact_mode_boundary_atlas,drawer_opening,nominal_contact,combined_stress,1,84,0.5952,0.5776,0.629,0.2266,0.039,0.0772,0.0501,0.2046,0.6141
full_contact_mode_boundary_atlas,drawer_opening,nominal_contact,combined_stress,2,84,0.6667,0.5769,0.638,0.2198,0.0444,0.073,0.0486,0.2046,0.6018
full_contact_mode_boundary_atlas,drawer_opening,nominal_contact,combined_stress,3,84,0.5,0.575,0.6452,0.2246,0.0456,0.0728,0.0471,0.2046,0.6008
full_contact_mode_boundary_atlas,drawer_opening,nominal_contact,combined_stress,4,84,0.4762,0.5651,0.6225,0.2221,0.0393,0.0843,0.0468,0.2046,0.6003
full_contact_mode_boundary_atlas,drawer_opening,nominal_contact,combined_stress,5,84,0.5833,0.5799,0.6267,0.2316,0.0401,0.0771,0.0473,0.2046,0.605
full_contact_mode_boundary_atlas,drawer_opening,nominal_contact,combined_stress,6,84,0.6071,0.5766,0.6167,0.2305,0.0356,0.0814,0.0498,0.2046,0.6034
full_contact_mode_boundary_atlas,drawer_opening,impact_onset,combined_stress,0,84,0.5357,0.5561,0.6257,0.241,0.0736,0.0897,0.046,0.2188,0.6246
full_contact_mode_boundary_atlas,drawer_opening,impact_onset,combined_stress,1,84,0.4524,0.5546,0.6342,0.2414,0.0705,0.1001,0.05,0.2188,0.607
full_contact_mode_boundary_atlas,drawer_opening,impact_onset,combined_stress,2,84,0.5476,0.5527,0.6195,0.2459,0.0793,0.0939,0.0552,0.2188,0.5889
full_contact_mode_boundary_atlas,drawer_opening,impact_onset,combined_stress,3,84,0.5476,0.5448,0.6116,0.2461,0.0661,0.092,0.0464,0.2188,0.6094
full_contact_mode_boundary_atlas,drawer_opening,impact_onset,combined_stress,4,84,0.5714,0.537,0.6379,0.251,0.0698,0.0967,0.0479,0.2188,0.6068
full_contact_mode_boundary_atlas,drawer_opening,impact_onset,combined_stress,5,84,0.5595,0.5523,0.6204,0.2563,0.0751,0.0943,0.0552,0.2188,0.6121
full_contact_mode_boundary_atlas,drawer_opening,impact_onset,combined_stress,6,84,0.5714,0.5502,0.6152,0.2378,0.0663,0.0941,0.0513,0.2188,0.606
full_contact_mode_boundary_atlas,drawer_opening,stick_slip_transition,combined_stress,0,84,0.5595,0.5525,0.6267,0.2433,0.0542,0.0867,0.071,0.2175,0.6044
full_contact_mode_boundary_atlas,drawer_opening,stick_slip_transition,combined_stress,1,84,0.631,0.5532,0.6391,0.2489,0.0599,0.0905,0.0703,0.2175,0.6265
full_contact_mode_boundary_atlas,drawer_opening,stick_slip_transition,combined_stress,2,84,0.5238,0.5491,0.6311,0.256,0.0573,0.0836,0.0695,0.2175,0.5962
full_contact_mode_boundary_atlas,drawer_opening,stick_slip_transition,combined_stress,3,84,0.5476,0.5521,0.6302,0.2416,0.0584,0.0889,0.0739,0.2175,0.5946
full_contact_mode_boundary_atlas,drawer_opening,stick_slip_transition,combined_stress,4,84,0.5119,0.5483,0.6258,0.253,0.059,0.0925,0.0677,0.2175,0.6027
full_contact_mode_boundary_atlas,drawer_opening,stick_slip_transition,combined_stress,5,84,0.6071,0.5459,0.6271,0.243,0.057,0.0827,0.0658,0.2175,0.6014
full_contact_mode_boundary_atlas,drawer_opening,stick_slip_transition,combined_stress,6,84,0.4762,0.5472,0.6339,0.2393,0.0551,0.0737,0.0672,0.2175,0.6067
full_contact_mode_boundary_atlas,drawer_opening,unilateral_lift_off,combined_stress,0,84,0.5357,0.5689,0.6103,0.2379,0.0518,0.086,0.0634,0.2147,0.5938
full_contact_mode_boundary_atlas,drawer_opening,unilateral_lift_off,combined_stress,1,84,0.619,0.548,0.6249,0.2419,0.0539,0.0818,0.0514,0.2147,0.607
full_contact_mode_boundary_atlas,drawer_opening,unilateral_lift_off,combined_stress,2,84,0.5476,0.5678,0.6315,0.2336,0.0569,0.0906,0.0515,0.2147,0.5883
full_contact_mode_boundary_atlas,drawer_opening,unilateral_lift_off,combined_stress,3,84,0.5595,0.5616,0.6323,0.2493,0.0585,0.0774,0.0611,0.2147,0.6042
full_contact_mode_boundary_atlas,drawer_opening,unilateral_lift_off,combined_stress,4,84,0.5714,0.5547,0.6352,0.2393,0.0538,0.0817,0.051,0.2147,0.5918
full_contact_mode_boundary_atlas,drawer_opening,unilateral_lift_off,combined_stress,5,84,0.4881,0.5554,0.6012,0.2348,0.0608,0.0872,0.0574,0.2147,0.5995
full_contact_mode_boundary_atlas,drawer_opening,unilateral_lift_off,combined_stress,6,84,0.5595,0.557,0.6303,0.2275,0.0541,0.0817,0.0632,0.2147,0.6075
full_contact_mode_boundary_atlas,drawer_opening,contact_jamming,combined_stress,0,84,0.5357,0.5415,0.6205,0.2363,0.0676,0.1007,0.0509,0.2202,0.6076
full_contact_mode_boundary_atlas,drawer_opening,contact_jamming,combined_stress,1,84,0.5119,0.5291,0.601,0.2479,0.0616,0.1,0.0528,0.2202,0.5989
full_contact_mode_boundary_atlas,drawer_opening,contact_jamming,combined_stress,2,84,0.6429,0.5272,0.6317,0.2384,0.0696,0.0985,0.0501,0.2202,0.6076
full_contact_mode_boundary_atlas,drawer_opening,contact_jamming,combined_stress,3,84,0.5357,0.5443,0.6187,0.2438,0.0669,0.0896,0.0555,0.2202,0.6083
full_contact_mode_boundary_atlas,drawer_opening,contact_jamming,combined_stress,4,84,0.4405,0.5209,0.6196,0.2449,0.073,0.1074,0.061,0.2202,0.6087
full_contact_mode_boundary_atlas,drawer_opening,contact_jamming,combined_stress,5,84,0.5119,0.524,0.6341,0.237,0.074,0.0977,0.0589,0.2202,0.6125
full_contact_mode_boundary_atlas,drawer_opening,contact_jamming,combined_stress,6,84,0.619,0.534,0.6348,0.2346,0.0733,0.0961,0.0628,0.2202,0.6155
full_contact_mode_boundary_atlas,drawer_opening,release_snap,combined_stress,0,84,0.5476,0.5396,0.6421,0.2417,0.0676,0.099,0.0618,0.2198,0.5933
full_contact_mode_boundary_atlas,drawer_opening,release_snap,combined_stress,1,84,0.5952,0.5376,0.6348,0.2583,0.066,0.0958,0.0532,0.2198,0.6095
full_contact_mode_boundary_atlas,drawer_opening,release_snap,combined_stress,2,84,0.5476,0.5489,0.6362,0.25,0.0738,0.0898,0.0569,0.2198,0.613
full_contact_mode_boundary_atlas,drawer_opening,release_snap,combined_stress,3,84,0.4762,0.5335,0.6367,0.2549,0.0694,0.0967,0.0516,0.2198,0.6045
full_contact_mode_boundary_atlas,drawer_opening,release_snap,combined_stress,4,84,0.5595,0.5454,0.6353,0.2499,0.0726,0.0937,0.0569,0.2198,0.6038
full_contact_mode_boundary_atlas,drawer_opening,release_snap,combined_stress,5,84,0.6905,0.5446,0.6355,0.2464,0.0638,0.0852,0.0596,0.2198,0.6126
full_contact_mode_boundary_atlas,drawer_opening,release_snap,combined_stress,6,84,0.5714,0.5361,0.6371,0.2369,0.0678,0.0884,0.0539,0.2198,0.6106
full_contact_mode_boundary_atlas,drawer_opening,combined_contact_shock,combined_stress,0,84,0.4405,0.5141,0.6519,0.2603,0.0705,0.1032,0.0717,0.2221,0.5942
full_contact_mode_boundary_atlas,drawer_opening,combined_contact_shock,combined_stress,1,84,0.5357,0.5244,0.6446,0.2639,0.0727,0.1004,0.0686,0.2221,0.6032
full_contact_mode_boundary_atlas,drawer_opening,combined_contact_shock,combined_stress,2,84,0.4762,0.5219,0.6249,0.2667,0.0791,0.1119,0.063,0.2221,0.5874
full_contact_mode_boundary_atlas,drawer_opening,combined_contact_shock,combined_stress,3,84,0.5714,0.5183,0.636,0.2611,0.0754,0.1021,0.0618,0.2221,0.6265
full_contact_mode_boundary_atlas,drawer_opening,combined_contact_shock,combined_stress,4,84,0.4286,0.5266,0.6365,0.2533,0.0705,0.1107,0.0616,0.2221,0.5996
full_contact_mode_boundary_atlas,drawer_opening,combined_contact_shock,combined_stress,5,84,0.5476,0.5205,0.6217,0.2515,0.0686,0.1095,0.0683,0.2221,0.6181
full_contact_mode_boundary_atlas,drawer_opening,combined_contact_shock,combined_stress,6,84,0.5357,0.5166,0.631,0.2534,0.0699,0.1063,0.0678,0.2221,0.6109
full_contact_mode_boundary_atlas,cable_routing,nominal_contact,combined_stress,0,84,0.6548,0.548,0.6269,0.2234,0.0422,0.0826,0.0439,0.2046,0.6088
full_contact_mode_boundary_atlas,cable_routing,nominal_contact,combined_stress,1,84,0.5714,0.5659,0.6334,0.2254,0.0337,0.0769,0.0416,0.2046,0.5988
full_contact_mode_boundary_atlas,cable_routing,nominal_contact,combined_stress,2,84,0.7143,0.5535,0.6376,0.2326,0.0383,0.0825,0.052,0.2046,0.607
full_contact_mode_boundary_atlas,cable_routing,nominal_contact,combined_stress,3,84,0.4881,0.5596,0.6255,0.2184,0.0368,0.0707,0.0566,0.2046,0.6016
full_contact_mode_boundary_atlas,cable_routing,nominal_contact,combined_stress,4,84,0.5476,0.5453,0.62,0.2228,0.0344,0.079,0.0471,0.2046,0.6072
full_contact_mode_boundary_atlas,cable_routing,nominal_contact,combined_stress,5,84,0.4643,0.5596,0.6173,0.2316,0.0407,0.0889,0.0473,0.2046,0.5982
full_contact_mode_boundary_atlas,cable_routing,nominal_contact,combined_stress,6,84,0.5119,0.5454,0.6184,0.2353,0.036,0.0847,0.0541,0.2046,0.6021
full_contact_mode_boundary_atlas,cable_routing,impact_onset,combined_stress,0,84,0.5714,0.5271,0.6414,0.237,0.069,0.0966,0.0494,0.2188,0.5868
full_contact_mode_boundary_atlas,cable_routing,impact_onset,combined_stress,1,84,0.5952,0.5464,0.6497,0.2446,0.0636,0.0896,0.0513,0.2188,0.6159
full_contact_mode_boundary_atlas,cable_routing,impact_onset,combined_stress,2,84,0.5357,0.5444,0.63,0.2446,0.0756,0.0981,0.0542,0.2188,0.6076
full_contact_mode_boundary_atlas,cable_routing,impact_onset,combined_stress,3,84,0.3452,0.5314,0.6318,0.2487,0.0692,0.0879,0.0577,0.2188,0.5979
full_contact_mode_boundary_atlas,cable_routing,impact_onset,combined_stress,4,84,0.5238,0.5333,0.631,0.2439,0.0723,0.0966,0.0463,0.2188,0.6008
full_contact_mode_boundary_atlas,cable_routing,impact_onset,combined_stress,5,84,0.5357,0.5346,0.6347,0.23,0.0756,0.092,0.0502,0.2188,0.618
full_contact_mode_boundary_atlas,cable_routing,impact_onset,combined_stress,6,84,0.5357,0.5276,0.6231,0.2403,0.0694,0.0935,0.0554,0.2188,0.602
full_contact_mode_boundary_atlas,cable_routing,stick_slip_transition,combined_stress,0,84,0.619,0.5149,0.6229,0.2485,0.0611,0.0969,0.0655,0.2175,0.599
full_contact_mode_boundary_atlas,cable_routing,stick_slip_transition,combined_stress,1,84,0.4405,0.5222,0.6435,0.2505,0.0614,0.0878,0.0637,0.2175,0.6059
full_contact_mode_boundary_atlas,cable_routing,stick_slip_transition,combined_stress,2,84,0.5,0.5153,0.6119,0.2611,0.0533,0.0945,0.0682,0.2175,0.6113
full_contact_mode_boundary_atlas,cable_routing,stick_slip_transition,combined_stress,3,84,0.5119,0.5241,0.6181,0.2433,0.0487,0.0924,0.0698,0.2175,0.6015
full_contact_mode_boundary_atlas,cable_routing,stick_slip_transition,combined_stress,4,84,0.5714,0.5293,0.6322,0.258,0.0595,0.0923,0.071,0.2175,0.5965
full_contact_mode_boundary_atlas,cable_routing,stick_slip_transition,combined_stress,5,84,0.5119,0.5263,0.6376,0.2444,0.0654,0.0878,0.0565,0.2175,0.6101
full_contact_mode_boundary_atlas,cable_routing,stick_slip_transition,combined_stress,6,84,0.5714,0.5343,0.6098,0.2499,0.0541,0.0901,0.0627,0.2175,0.6017
full_contact_mode_boundary_atlas,cable_routing,unilateral_lift_off,combined_stress,0,84,0.5357,0.5324,0.6341,0.2298,0.0513,0.0811,0.0471,0.2147,0.6088
full_contact_mode_boundary_atlas,cable_routing,unilateral_lift_off,combined_stress,1,84,0.4881,0.5443,0.6077,0.2356,0.0491,0.0868,0.0524,0.2147,0.601
full_contact_mode_boundary_atlas,cable_routing,unilateral_lift_off,combined_stress,2,84,0.5,0.5375,0.6214,0.2382,0.0494,0.0768,0.0487,0.2147,0.6101
full_contact_mode_boundary_atlas,cable_routing,unilateral_lift_off,combined_stress,3,84,0.6429,0.5254,0.6117,0.2465,0.0554,0.0851,0.0476,0.2147,0.6005
full_contact_mode_boundary_atlas,cable_routing,unilateral_lift_off,combined_stress,4,84,0.4524,0.5402,0.6448,0.2345,0.053,0.0852,0.0503,0.2147,0.6105
full_contact_mode_boundary_atlas,cable_routing,unilateral_lift_off,combined_stress,5,84,0.5357,0.5388,0.6287,0.2284,0.0559,0.0829,0.0467,0.2147,0.5892
full_contact_mode_boundary_atlas,cable_routing,unilateral_lift_off,combined_stress,6,84,0.4881,0.5452,0.6432,0.226,0.0489,0.0891,0.0529,0.2147,0.5955
full_contact_mode_boundary_atlas,cable_routing,contact_jamming,combined_stress,0,84,0.6429,0.5263,0.6404,0.2487,0.0737,0.0954,0.0626,0.2202,0.5917
full_contact_mode_boundary_atlas,cable_routing,contact_jamming,combined_stress,1,84,0.4881,0.5055,0.6338,0.2435,0.0695,0.1054,0.0565,0.2202,0.6204
full_contact_mode_boundary_atlas,cable_routing,contact_jamming,combined_stress,2,84,0.5357,0.5134,0.6118,0.2471,0.0622,0.1035,0.0601,0.2202,0.6094
full_contact_mode_boundary_atlas,cable_routing,contact_jamming,combined_stress,3,84,0.4881,0.5249,0.6513,0.2348,0.066,0.1024,0.0588,0.2202,0.5953
full_contact_mode_boundary_atlas,cable_routing,contact_jamming,combined_stress,4,84,0.5119,0.5181,0.6187,0.2435,0.0609,0.1004,0.0584,0.2202,0.6131
full_contact_mode_boundary_atlas,cable_routing,contact_jamming,combined_stress,5,84,0.4643,0.5088,0.6194,0.2387,0.0669,0.0988,0.0567,0.2202,0.6077
full_contact_mode_boundary_atlas,cable_routing,contact_jamming,combined_stress,6,84,0.4881,0.5127,0.6345,0.2552,0.064,0.1064,0.0555,0.2202,0.606
full_contact_mode_boundary_atlas,cable_routing,release_snap,combined_stress,0,84,0.4524,0.5255,0.6551,0.2484,0.0762,0.0877,0.0599,0.2198,0.5949
full_contact_mode_boundary_atlas,cable_routing,release_snap,combined_stress,1,84,0.5119,0.5231,0.6317,0.2471,0.0741,0.0851,0.0658,0.2198,0.6003
full_contact_mode_boundary_atlas,cable_routing,release_snap,combined_stress,2,84,0.5952,0.5385,0.6333,0.2592,0.0648,0.0942,0.0564,0.2198,0.6094
full_contact_mode_boundary_atlas,cable_routing,release_snap,combined_stress,3,84,0.5,0.5372,0.6303,0.2448,0.0659,0.0942,0.0577,0.2198,0.6129
full_contact_mode_boundary_atlas,cable_routing,release_snap,combined_stress,4,84,0.5357,0.537,0.6387,0.2511,0.0713,0.0888,0.0607,0.2198,0.5956
full_contact_mode_boundary_atlas,cable_routing,release_snap,combined_stress,5,84,0.5476,0.5321,0.6421,0.2407,0.0608,0.104,0.0574,0.2198,0.6033
full_contact_mode_boundary_atlas,cable_routing,release_snap,combined_stress,6,84,0.4762,0.5246,0.6274,0.2457,0.065,0.0877,0.0645,0.2198,0.6025
full_contact_mode_boundary_atlas,cable_routing,combined_contact_shock,combined_stress,0,84,0.5833,0.5177,0.6291,0.2583,0.0731,0.1015,0.0684,0.2221,0.609
full_contact_mode_boundary_atlas,cable_routing,combined_contact_shock,combined_stress,1,84,0.5,0.4944,0.6402,0.2754,0.0728,0.1062,0.0657,0.2221,0.599
full_contact_mode_boundary_atlas,cable_routing,combined_contact_shock,combined_stress,2,84,0.4048,0.4985,0.6446,0.2583,0.0736,0.115,0.0619,0.2221,0.5974
full_contact_mode_boundary_atlas,cable_routing,combined_contact_shock,combined_stress,3,84,0.5,0.5108,0.6351,0.2505,0.072,0.1078,0.0685,0.2221,0.6148
full_contact_mode_boundary_atlas,cable_routing,combined_contact_shock,combined_stress,4,84,0.5238,0.5037,0.6232,0.261,0.0651,0.1112,0.0664,0.2221,0.5923
full_contact_mode_boundary_atlas,cable_routing,combined_contact_shock,combined_stress,5,84,0.4524,0.4977,0.6343,0.2612,0.0654,0.1106,0.0742,0.2221,0.5952
full_contact_mode_boundary_atlas,cable_routing,combined_contact_shock,combined_stress,6,84,0.5119,0.5059,0.6163,0.2581,0.0749,0.1055,0.0682,0.2221,0.6117
full_contact_mode_boundary_atlas,tool_levering,nominal_contact,combined_stress,0,84,0.6071,0.5509,0.6242,0.2238,0.0422,0.0718,0.0496,0.2046,0.61
full_contact_mode_boundary_atlas,tool_levering,nominal_contact,combined_stress,1,84,0.5595,0.5692,0.6307,0.2345,0.042,0.0642,0.0401,0.2046,0.5946
full_contact_mode_boundary_atlas,tool_levering,nominal_contact,combined_stress,2,84,0.5952,0.5737,0.6333,0.222,0.0398,0.0785,0.0507,0.2046,0.5901
full_contact_mode_boundary_atlas,tool_levering,nominal_contact,combined_stress,3,84,0.5595,0.5638,0.6313,0.2183,0.0351,0.079,0.0493,0.2046,0.61
full_contact_mode_boundary_atlas,tool_levering,nominal_contact,combined_stress,4,84,0.631,0.5582,0.64,0.2253,0.0399,0.0801,0.0467,0.2046,0.6048
full_contact_mode_boundary_atlas,tool_levering,nominal_contact,combined_stress,5,84,0.5119,0.5512,0.6293,0.2306,0.0361,0.0736,0.0519,0.2046,0.6114
full_contact_mode_boundary_atlas,tool_levering,nominal_contact,combined_stress,6,84,0.6071,0.5585,0.6472,0.2335,0.0445,0.0712,0.0497,0.2046,0.5807
full_contact_mode_boundary_atlas,tool_levering,impact_onset,combined_stress,0,84,0.5357,0.5389,0.6208,0.2616,0.0798,0.0936,0.0458,0.2188,0.5977
full_contact_mode_boundary_atlas,tool_levering,impact_onset,combined_stress,1,84,0.5357,0.5221,0.6396,0.254,0.0785,0.0883,0.0431,0.2188,0.6145
full_contact_mode_boundary_atlas,tool_levering,impact_onset,combined_stress,2,84,0.5119,0.5349,0.6317,0.2481,0.0833,0.095,0.0505,0.2188,0.6076
full_contact_mode_boundary_atlas,tool_levering,impact_onset,combined_stress,3,84,0.4167,0.531,0.6418,0.2499,0.0831,0.1007,0.0552,0.2188,0.5976
full_contact_mode_boundary_atlas,tool_levering,impact_onset,combined_stress,4,84,0.5238,0.5264,0.6414,0.2562,0.0843,0.0881,0.0436,0.2188,0.6005
full_contact_mode_boundary_atlas,tool_levering,impact_onset,combined_stress,5,84,0.5476,0.5183,0.6413,0.2513,0.0834,0.094,0.0464,0.2188,0.6028
full_contact_mode_boundary_atlas,tool_levering,impact_onset,combined_stress,6,84,0.5,0.5316,0.6345,0.2552,0.0827,0.1001,0.0503,0.2188,0.5934
full_contact_mode_boundary_atlas,tool_levering,stick_slip_transition,combined_stress,0,84,0.5,0.5214,0.6251,0.2469,0.0662,0.0879,0.057,0.2175,0.599
full_contact_mode_boundary_atlas,tool_levering,stick_slip_transition,combined_stress,1,84,0.5476,0.5466,0.6234,0.2568,0.0611,0.0802,0.0707,0.2175,0.6037
full_contact_mode_boundary_atlas,tool_levering,stick_slip_transition,combined_stress,2,84,0.5357,0.5317,0.6323,0.2507,0.0671,0.0976,0.0677,0.2175,0.5995
