ablation,task,regime,split,seed,episodes,success,success_probability,contact_mode_f1,boundary_error,unsafe_impulse,jam_rate,slip_overshoot,intervention_cost,data_efficiency_proxy
full_contact_mode_boundary_atlas,peg_insertion,nominal_contact,combined_stress,0,84,0.5952,0.5608,0.6391,0.232,0.0438,0.0916,0.044,0.2046,0.588
full_contact_mode_boundary_atlas,peg_insertion,nominal_contact,combined_stress,1,84,0.5,0.5588,0.6495,0.2201,0.0343,0.0878,0.0405,0.2046,0.6066
full_contact_mode_boundary_atlas,peg_insertion,nominal_contact,combined_stress,2,84,0.5476,0.5641,0.626,0.2393,0.0321,0.0736,0.0488,0.2046,0.5947
full_contact_mode_boundary_atlas,peg_insertion,nominal_contact,combined_stress,3,84,0.5833,0.5548,0.6236,0.2289,0.0411,0.0788,0.0506,0.2046,0.6038
full_contact_mode_boundary_atlas,peg_insertion,nominal_contact,combined_stress,4,84,0.4405,0.5644,0.6271,0.2242,0.0377,0.0794,0.047,0.2046,0.615
full_contact_mode_boundary_atlas,peg_insertion,nominal_contact,combined_stress,5,84,0.5833,0.5553,0.642,0.227,0.0444,0.0889,0.0447,0.2046,0.6128
full_contact_mode_boundary_atlas,peg_insertion,nominal_contact,combined_stress,6,84,0.5476,0.5571,0.6241,0.2328,0.0389,0.0845,0.0435,0.2046,0.6067
full_contact_mode_boundary_atlas,peg_insertion,impact_onset,combined_stress,0,84,0.5238,0.5231,0.637,0.2488,0.0801,0.1064,0.0518,0.2188,0.6119
full_contact_mode_boundary_atlas,peg_insertion,impact_onset,combined_stress,1,84,0.4524,0.5192,0.6187,0.2601,0.0798,0.1064,0.0445,0.2188,0.6083
full_contact_mode_boundary_atlas,peg_insertion,impact_onset,combined_stress,2,84,0.5,0.5319,0.6203,0.2493,0.0847,0.1049,0.0508,0.2188,0.601
full_contact_mode_boundary_atlas,peg_insertion,impact_onset,combined_stress,3,84,0.4881,0.5302,0.6363,0.2555,0.0767,0.1011,0.0538,0.2188,0.5944
full_contact_mode_boundary_atlas,peg_insertion,impact_onset,combined_stress,4,84,0.6071,0.5344,0.6157,0.2502,0.081,0.1073,0.0531,0.2188,0.5971
full_contact_mode_boundary_atlas,peg_insertion,impact_onset,combined_stress,5,84,0.4643,0.53,0.636,0.2624,0.0775,0.1046,0.0402,0.2188,0.591
full_contact_mode_boundary_atlas,peg_insertion,impact_onset,combined_stress,6,84,0.4762,0.5299,0.6272,0.2591,0.0779,0.1043,0.0516,0.2188,0.6107
full_contact_mode_boundary_atlas,peg_insertion,stick_slip_transition,combined_stress,0,84,0.4405,0.5203,0.6351,0.2477,0.0579,0.0966,0.0668,0.2175,0.5941
full_contact_mode_boundary_atlas,peg_insertion,stick_slip_transition,combined_stress,1,84,0.5714,0.531,0.6398,0.2516,0.0638,0.0924,0.065,0.2175,0.6128
full_contact_mode_boundary_atlas,peg_insertion,stick_slip_transition,combined_stress,2,84,0.4881,0.5324,0.6288,0.2593,0.0651,0.0908,0.0639,0.2175,0.5995
full_contact_mode_boundary_atlas,peg_insertion,stick_slip_transition,combined_stress,3,84,0.5952,0.5398,0.6361,0.2535,0.0541,0.0975,0.0583,0.2175,0.6177
full_contact_mode_boundary_atlas,peg_insertion,stick_slip_transition,combined_stress,4,84,0.5119,0.5324,0.6232,0.2512,0.0599,0.0901,0.0571,0.2175,0.6039
full_contact_mode_boundary_atlas,peg_insertion,stick_slip_transition,combined_stress,5,84,0.5238,0.5306,0.6224,0.2496,0.0581,0.1005,0.0569,0.2175,0.6004
full_contact_mode_boundary_atlas,peg_insertion,stick_slip_transition,combined_stress,6,84,0.619,0.5371,0.6271,0.2544,0.055,0.1008,0.0685,0.2175,0.5999
full_contact_mode_boundary_atlas,peg_insertion,unilateral_lift_off,combined_stress,0,84,0.5357,0.5357,0.633,0.2336,0.0609,0.0795,0.0553,0.2147,0.6051
full_contact_mode_boundary_atlas,peg_insertion,unilateral_lift_off,combined_stress,1,84,0.5952,0.5404,0.6337,0.2426,0.06,0.0878,0.0595,0.2147,0.6063
full_contact_mode_boundary_atlas,peg_insertion,unilateral_lift_off,combined_stress,2,84,0.6548,0.5415,0.627,0.24,0.0539,0.0824,0.0531,0.2147,0.6188
full_contact_mode_boundary_atlas,peg_insertion,unilateral_lift_off,combined_stress,3,84,0.5714,0.54,0.6315,0.2468,0.0583,0.0948,0.0562,0.2147,0.5974
full_contact_mode_boundary_atlas,peg_insertion,unilateral_lift_off,combined_stress,4,84,0.619,0.5318,0.6222,0.2355,0.0627,0.0956,0.0526,0.2147,0.5906
full_contact_mode_boundary_atlas,peg_insertion,unilateral_lift_off,combined_stress,5,84,0.619,0.5517,0.6202,0.2469,0.0618,0.0839,0.0605,0.2147,0.6041
full_contact_mode_boundary_atlas,peg_insertion,unilateral_lift_off,combined_stress,6,84,0.4762,0.5373,0.6335,0.2462,0.0631,0.0899,0.0536,0.2147,0.6071
full_contact_mode_boundary_atlas,peg_insertion,contact_jamming,combined_stress,0,84,0.4167,0.5031,0.6235,0.2512,0.0679,0.1208,0.0481,0.2202,0.5949
full_contact_mode_boundary_atlas,peg_insertion,contact_jamming,combined_stress,1,84,0.5357,0.5289,0.643,0.2449,0.0667,0.1089,0.0553,0.2202,0.5997
full_contact_mode_boundary_atlas,peg_insertion,contact_jamming,combined_stress,2,84,0.4405,0.5072,0.6062,0.2494,0.0674,0.1093,0.0594,0.2202,0.5918
full_contact_mode_boundary_atlas,peg_insertion,contact_jamming,combined_stress,3,84,0.5,0.5086,0.6308,0.2521,0.069,0.1049,0.056,0.2202,0.612
full_contact_mode_boundary_atlas,peg_insertion,contact_jamming,combined_stress,4,84,0.5476,0.5209,0.6315,0.2366,0.0672,0.1011,0.0561,0.2202,0.6025
full_contact_mode_boundary_atlas,peg_insertion,contact_jamming,combined_stress,5,84,0.4643,0.5159,0.6444,0.2442,0.0682,0.1175,0.0521,0.2202,0.6027
full_contact_mode_boundary_atlas,peg_insertion,contact_jamming,combined_stress,6,84,0.5,0.5165,0.631,0.2393,0.0708,0.1102,0.0518,0.2202,0.6099
full_contact_mode_boundary_atlas,peg_insertion,release_snap,combined_stress,0,84,0.6071,0.5261,0.6372,0.2549,0.0818,0.0975,0.0539,0.2198,0.591
full_contact_mode_boundary_atlas,peg_insertion,release_snap,combined_stress,1,84,0.5119,0.52,0.6285,0.2453,0.077,0.102,0.0623,0.2198,0.6173
full_contact_mode_boundary_atlas,peg_insertion,release_snap,combined_stress,2,84,0.5952,0.5362,0.6353,0.2554,0.0714,0.0867,0.0541,0.2198,0.5982
full_contact_mode_boundary_atlas,peg_insertion,release_snap,combined_stress,3,84,0.5119,0.5314,0.6392,0.2595,0.0809,0.0974,0.0462,0.2198,0.6044
full_contact_mode_boundary_atlas,peg_insertion,release_snap,combined_stress,4,84,0.5238,0.5183,0.6351,0.2505,0.0782,0.0902,0.0603,0.2198,0.6127
full_contact_mode_boundary_atlas,peg_insertion,release_snap,combined_stress,5,84,0.5357,0.5366,0.6268,0.2565,0.0757,0.0942,0.0572,0.2198,0.6123
full_contact_mode_boundary_atlas,peg_insertion,release_snap,combined_stress,6,84,0.6071,0.5274,0.6406,0.254,0.0816,0.0865,0.0621,0.2198,0.6091
full_contact_mode_boundary_atlas,peg_insertion,combined_contact_shock,combined_stress,0,84,0.5119,0.5005,0.6312,0.2676,0.0796,0.1119,0.0586,0.2221,0.5962
full_contact_mode_boundary_atlas,peg_insertion,combined_contact_shock,combined_stress,1,84,0.5238,0.5059,0.6196,0.2611,0.0813,0.1171,0.0619,0.2221,0.6041
full_contact_mode_boundary_atlas,peg_insertion,combined_contact_shock,combined_stress,2,84,0.4048,0.4924,0.6306,0.2516,0.0782,0.1107,0.0582,0.2221,0.6118
full_contact_mode_boundary_atlas,peg_insertion,combined_contact_shock,combined_stress,3,84,0.4643,0.4933,0.6168,0.2584,0.0899,0.111,0.0549,0.2221,0.6134
