ablation,groups,mean_mean_success,ci95_mean_success,mean_mean_utility,ci95_mean_utility,mean_mean_contact_mode_f1,ci95_mean_contact_mode_f1,mean_mean_boundary_error,ci95_mean_boundary_error,mean_mean_complementarity_residual,ci95_mean_complementarity_residual,mean_mean_impulse_violation,ci95_mean_impulse_violation,mean_mean_unsafe_impulse,ci95_mean_unsafe_impulse,mean_mean_jam_rate,ci95_mean_jam_rate,mean_mean_slip_overshoot,ci95_mean_slip_overshoot,mean_mean_mode_switch_latency,ci95_mean_mode_switch_latency,mean_mean_recovery_success,ci95_mean_recovery_success,mean_mean_energy_spike,ci95_mean_energy_spike,mean_mean_calibration_ece,ci95_mean_calibration_ece,mean_mean_intervention_cost,ci95_mean_intervention_cost,mean_mean_fixed_risk_coverage,ci95_mean_fixed_risk_coverage,mean_mean_regret_to_oracle,ci95_mean_regret_to_oracle,interpretation
full_contact_mode_boundary_audit_v5,10,0.647708,0.016122,0.710941,0.014769,0.571996,0.000333,0.172338,0.000471,0.040791,0.000225,0.045624,0.000389,0.011918,0.00022,0.027484,0.000286,0.029323,0.000314,0.034639,0.000225,0.589869,0.000799,0.019567,0.000397,0.030118,0.000371,0.19533,8.5e-05,0.64671,8.3e-05,0.0,0.0,all components
minus_contact_mode_classifier,10,0.596875,0.013709,0.63278,0.013506,0.417932,0.000473,0.215039,0.000364,0.044337,0.000301,0.049942,0.000513,0.022275,0.000221,0.047962,0.000275,0.031557,0.000388,0.050903,0.000268,0.47737,0.000417,0.022946,0.000206,0.050958,0.000146,0.187798,0.00025,0.57118,3.7e-05,0.0,0.0,cannot localize contact-mode boundaries
minus_complementarity_residual,10,0.643333,0.014441,0.686284,0.01424,0.520231,0.000467,0.187369,0.0003,0.094382,0.000243,0.05427,0.000314,0.018758,0.000302,0.027709,0.000408,0.055066,0.000228,0.034331,0.000204,0.512583,0.00084,0.044605,0.000336,0.031363,0.000352,0.186909,0.000218,0.586965,6.4e-05,0.0,0.0,accepts physically impossible smooth predictions
minus_impulse_guard,10,0.640833,0.015414,0.695858,0.015014,0.571683,0.00034,0.172237,0.000392,0.041036,0.000207,0.07821,0.00026,0.022866,0.00021,0.027532,0.000302,0.029343,0.000236,0.03459,0.000212,0.575765,0.000324,0.041482,0.000361,0.030463,0.000288,0.183033,0.000135,0.576215,4.8e-05,0.0,0.0,over-commits near impact onset
minus_stick_slip_hysteresis,10,0.634167,0.01511,0.691806,0.014437,0.571541,0.000715,0.172143,0.000349,0.040691,0.00034,0.050593,0.00022,0.019463,0.000285,0.027406,0.000324,0.055703,0.000261,0.034558,0.000322,0.577103,0.000677,0.019899,0.000345,0.030446,0.000184,0.183758,0.000292,0.58271,7.4e-05,0.0,0.0,oscillates across stick-slip modes
minus_diagnostic_micro_probe,10,0.63,0.012581,0.681157,0.011863,0.539209,0.000415,0.199657,0.000368,0.04097,0.000239,0.050501,0.000291,0.019378,0.000242,0.044133,0.000375,0.029168,0.000308,0.027332,0.000304,0.519901,0.000691,0.019546,0.000297,0.032255,0.000397,0.168055,0.000111,0.579741,7e-05,0.0,0.0,does not actively disambiguate ambiguous contact states
minus_compliance_estimator,10,0.629167,0.009644,0.681363,0.009395,0.541948,0.000391,0.185008,0.000425,0.041048,0.000383,0.050712,0.000204,0.019276,0.000146,0.036622,0.000309,0.029174,0.000317,0.034216,0.000287,0.526949,0.000497,0.019558,0.000299,0.031093,0.000284,0.184916,0.000283,0.580929,5.7e-05,0.0,0.0,misses compliant fixture and deformable-object shifts
minus_mode_switch_latency_guard,10,0.653958,0.015925,0.707759,0.015384,0.571776,0.000509,0.189179,0.000381,0.040762,0.000238,0.051369,0.000195,0.03301,0.000274,0.02729,0.00033,0.029129,0.000228,0.063789,0.000335,0.575546,0.000592,0.019768,0.000375,0.032043,0.000284,0.182125,0.000224,0.574722,5.5e-05,0.0,0.0,delays or mistimes action near fast mode transitions
minus_energy_barrier_check,10,0.653333,0.009236,0.707268,0.009252,0.571468,0.000461,0.172285,0.000315,0.040943,0.000266,0.06281,0.000185,0.021481,0.000301,0.027561,0.000218,0.029193,0.000294,0.034448,0.000168,0.57537,0.000574,0.069541,0.000363,0.030479,0.000163,0.182032,0.000161,0.576409,7.5e-05,0.0,0.0,misses stored-energy release and barrier violations
minus_fixed_risk_acceptor,10,0.644167,0.015264,0.690737,0.014425,0.560513,0.000483,0.179864,0.000325,0.04744,0.000273,0.058126,0.000226,0.037616,0.000279,0.032879,0.000405,0.034092,0.000275,0.039516,0.000236,0.558379,0.000383,0.02638,0.00022,0.065253,0.000342,0.172489,0.000199,0.467045,6.6e-05,0.0,0.0,does not tune acceptance to deployment risk budgets
