ablation,task,regime,split,seed,episodes,interpretation,success,success_probability,utility,contact_mode_f1,boundary_error,complementarity_residual,impulse_violation,unsafe_impulse,jam_rate,slip_overshoot,mode_switch_latency,recovery_success,energy_spike,calibration_ece,intervention_cost,fixed_risk_coverage,regret_to_oracle
full_contact_mode_boundary_audit_v5,peg_insertion,nominal_contact,heldout_mixed_non_smooth_stress,0,6,all components,1.0,0.685858,1.0,0.565919,0.157491,0.039225,0.029308,0.001659,0.021041,0.020966,0.032395,0.607687,0.005718,0.02441,0.188947,0.650631,0.0
full_contact_mode_boundary_audit_v5,peg_insertion,nominal_contact,heldout_mixed_non_smooth_stress,1,6,all components,0.833333,0.688571,0.916915,0.569742,0.158638,0.033367,0.026635,0.0,0.014271,0.026805,0.030394,0.591178,0.002719,0.028274,0.1916,0.650099,0.0
full_contact_mode_boundary_audit_v5,peg_insertion,nominal_contact,heldout_mixed_non_smooth_stress,2,6,all components,0.666667,0.672993,0.748205,0.556164,0.162547,0.024129,0.036778,0.002256,0.033299,0.022126,0.0175,0.591184,0.007014,0.02782,0.185069,0.648233,0.0
full_contact_mode_boundary_audit_v5,peg_insertion,nominal_contact,heldout_mixed_non_smooth_stress,3,6,all components,0.833333,0.668743,0.916273,0.579609,0.161633,0.038967,0.028819,0.003566,0.016812,0.026281,0.030066,0.598974,0.008702,0.031754,0.191162,0.64982,0.0
full_contact_mode_boundary_audit_v5,peg_insertion,nominal_contact,heldout_mixed_non_smooth_stress,4,6,all components,0.5,0.686585,0.583482,0.571629,0.156977,0.035855,0.029623,0.003432,0.009725,0.026144,0.024195,0.590254,0.006347,0.029658,0.19041,0.650036,0.0
full_contact_mode_boundary_audit_v5,peg_insertion,nominal_contact,heldout_mixed_non_smooth_stress,5,6,all components,0.833333,0.672325,0.915194,0.577674,0.16563,0.028546,0.027669,0.002806,0.034111,0.018749,0.024363,0.573063,0.00475,0.02652,0.191364,0.647252,0.0
full_contact_mode_boundary_audit_v5,peg_insertion,nominal_contact,heldout_mixed_non_smooth_stress,6,6,all components,1.0,0.681926,1.0,0.564574,0.15374,0.032045,0.028125,0.0,0.021601,0.028338,0.024523,0.580772,0.008869,0.02675,0.1899,0.648619,0.0
full_contact_mode_boundary_audit_v5,peg_insertion,nominal_contact,heldout_mixed_non_smooth_stress,7,6,all components,0.833333,0.676163,0.917554,0.572336,0.16029,0.028884,0.028831,0.0,0.019548,0.027809,0.01958,0.601803,0.006589,0.03009,0.194202,0.650129,0.0
full_contact_mode_boundary_audit_v5,peg_insertion,nominal_contact,heldout_mixed_non_smooth_stress,8,6,all components,1.0,0.683146,1.0,0.563526,0.159145,0.031234,0.027821,0.0,0.015723,0.026045,0.02394,0.588092,0.011681,0.028598,0.182869,0.64983,0.0
full_contact_mode_boundary_audit_v5,peg_insertion,nominal_contact,heldout_mixed_non_smooth_stress,9,6,all components,0.333333,0.692666,0.416393,0.573485,0.158874,0.034896,0.030939,0.000645,0.018287,0.025268,0.029407,0.592515,0.007811,0.0277,0.189318,0.649804,0.0
full_contact_mode_boundary_audit_v5,peg_insertion,impact_onset,heldout_mixed_non_smooth_stress,0,6,all components,0.833333,0.678279,0.920074,0.572361,0.175137,0.048173,0.055169,0.01007,0.029776,0.025389,0.021993,0.596301,0.012418,0.023391,0.186507,0.647459,0.0
full_contact_mode_boundary_audit_v5,peg_insertion,impact_onset,heldout_mixed_non_smooth_stress,1,6,all components,1.0,0.68201,1.0,0.574635,0.170338,0.044056,0.052722,0.016364,0.022876,0.025726,0.024616,0.582967,0.013839,0.033881,0.181331,0.646378,0.0
full_contact_mode_boundary_audit_v5,peg_insertion,impact_onset,heldout_mixed_non_smooth_stress,2,6,all components,0.666667,0.697854,0.750955,0.574915,0.185776,0.045143,0.047145,0.015881,0.035363,0.025049,0.024376,0.575822,0.013111,0.031347,0.183552,0.644827,0.0
full_contact_mode_boundary_audit_v5,peg_insertion,impact_onset,heldout_mixed_non_smooth_stress,3,6,all components,0.333333,0.672557,0.419896,0.561359,0.17247,0.05387,0.044051,0.009199,0.025133,0.024632,0.024652,0.587248,0.009923,0.028659,0.181087,0.647571,0.0
full_contact_mode_boundary_audit_v5,peg_insertion,impact_onset,heldout_mixed_non_smooth_stress,4,6,all components,0.5,0.675336,0.585659,0.574565,0.185709,0.055116,0.050978,0.008032,0.032508,0.019672,0.021391,0.590483,0.004452,0.036213,0.187189,0.6476,0.0
full_contact_mode_boundary_audit_v5,peg_insertion,impact_onset,heldout_mixed_non_smooth_stress,5,6,all components,1.0,0.666097,1.0,0.574759,0.180337,0.056989,0.050018,0.016317,0.029739,0.026493,0.023002,0.603378,0.011828,0.036057,0.185017,0.646862,0.0
full_contact_mode_boundary_audit_v5,peg_insertion,impact_onset,heldout_mixed_non_smooth_stress,6,6,all components,0.833333,0.679234,0.922456,0.576782,0.173076,0.047062,0.048489,0.009871,0.024835,0.0217,0.029262,0.608881,0.004204,0.028794,0.187039,0.649033,0.0
full_contact_mode_boundary_audit_v5,peg_insertion,impact_onset,heldout_mixed_non_smooth_stress,7,6,all components,0.833333,0.669383,0.918605,0.573941,0.174195,0.050752,0.047099,0.014332,0.02871,0.031311,0.030834,0.585528,0.013995,0.033721,0.180083,0.645806,0.0
full_contact_mode_boundary_audit_v5,peg_insertion,impact_onset,heldout_mixed_non_smooth_stress,8,6,all components,0.666667,0.668056,0.751668,0.576847,0.177953,0.052002,0.055795,0.013364,0.028523,0.022653,0.029013,0.587351,0.010203,0.033894,0.188706,0.646772,0.0
full_contact_mode_boundary_audit_v5,peg_insertion,impact_onset,heldout_mixed_non_smooth_stress,9,6,all components,1.0,0.684824,1.0,0.584826,0.172286,0.050244,0.058604,0.012623,0.026178,0.021488,0.021318,0.578341,0.00731,0.034993,0.182693,0.64667,0.0
full_contact_mode_boundary_audit_v5,peg_insertion,stick_slip_transition,heldout_mixed_non_smooth_stress,0,6,all components,0.166667,0.659893,0.249493,0.563365,0.173302,0.044996,0.038422,0.01035,0.030358,0.031148,0.033058,0.580747,0.004252,0.032138,0.184496,0.645965,0.0
full_contact_mode_boundary_audit_v5,peg_insertion,stick_slip_transition,heldout_mixed_non_smooth_stress,1,6,all components,0.5,0.673472,0.584865,0.563268,0.161389,0.037536,0.03745,0.00811,0.028904,0.035216,0.032283,0.58532,0.005789,0.028536,0.189173,0.646395,0.0
full_contact_mode_boundary_audit_v5,peg_insertion,stick_slip_transition,heldout_mixed_non_smooth_stress,2,6,all components,0.833333,0.687975,0.918329,0.571549,0.164166,0.033322,0.045609,0.020299,0.023117,0.032127,0.021003,0.590818,0.009658,0.029281,0.187202,0.645722,0.0
full_contact_mode_boundary_audit_v5,peg_insertion,stick_slip_transition,heldout_mixed_non_smooth_stress,3,6,all components,0.333333,0.679584,0.41904,0.569779,0.174641,0.04252,0.033744,0.006927,0.0215,0.030804,0.028562,0.590833,0.012418,0.022046,0.183734,0.647997,0.0
full_contact_mode_boundary_audit_v5,peg_insertion,stick_slip_transition,heldout_mixed_non_smooth_stress,4,6,all components,0.666667,0.668256,0.753247,0.575907,0.165711,0.030684,0.038978,0.018043,0.028636,0.030799,0.027104,0.598607,0.005314,0.026703,0.183424,0.646082,0.0
full_contact_mode_boundary_audit_v5,peg_insertion,stick_slip_transition,heldout_mixed_non_smooth_stress,5,6,all components,0.666667,0.675592,0.751536,0.567391,0.176847,0.035228,0.041703,0.013573,0.021079,0.030105,0.026805,0.594077,0.007563,0.028786,0.183438,0.647292,0.0
full_contact_mode_boundary_audit_v5,peg_insertion,stick_slip_transition,heldout_mixed_non_smooth_stress,6,6,all components,0.666667,0.69097,0.752146,0.568469,0.161659,0.04692,0.050619,0.008257,0.02398,0.029089,0.014641,0.598185,0.00752,0.035397,0.18683,0.648128,0.0
full_contact_mode_boundary_audit_v5,peg_insertion,stick_slip_transition,heldout_mixed_non_smooth_stress,7,6,all components,0.833333,0.672251,0.916781,0.576211,0.168395,0.03791,0.049936,0.013523,0.03137,0.033934,0.019345,0.576613,0.009238,0.029481,0.186599,0.644917,0.0
