ablation,seed,groups,mean_success,ci95_success,mean_utility,ci95_utility,mean_contact_mode_f1,ci95_contact_mode_f1,mean_boundary_error,ci95_boundary_error,mean_complementarity_residual,ci95_complementarity_residual,mean_impulse_violation,ci95_impulse_violation,mean_unsafe_impulse,ci95_unsafe_impulse,mean_jam_rate,ci95_jam_rate,mean_slip_overshoot,ci95_slip_overshoot,mean_mode_switch_latency,ci95_mode_switch_latency,mean_recovery_success,ci95_recovery_success,mean_energy_spike,ci95_energy_spike,mean_calibration_ece,ci95_calibration_ece,mean_intervention_cost,ci95_intervention_cost,mean_fixed_risk_coverage,ci95_fixed_risk_coverage,mean_regret_to_oracle,ci95_regret_to_oracle
minus_contact_mode_classifier,2,80,0.602083,0.040882,0.638939,0.040711,0.418061,0.001451,0.214513,0.002875,0.044782,0.001557,0.049246,0.001905,0.022797,0.001618,0.047759,0.003338,0.031651,0.001154,0.051252,0.001088,0.477689,0.001808,0.023269,0.001175,0.050971,0.000879,0.187731,0.000669,0.571134,0.000534,0.0,0.0
minus_contact_mode_classifier,3,80,0.610417,0.042681,0.644911,0.041624,0.417111,0.001388,0.216092,0.002867,0.044045,0.001647,0.049793,0.001986,0.022033,0.001627,0.047374,0.003627,0.031461,0.001078,0.050637,0.000946,0.477922,0.001785,0.023365,0.001226,0.050529,0.000859,0.187813,0.000634,0.571316,0.000548,0.0,0.0
minus_contact_mode_classifier,4,80,0.602083,0.042898,0.636928,0.041902,0.418411,0.001569,0.215406,0.002849,0.043593,0.001425,0.049126,0.002048,0.022242,0.001642,0.048105,0.003538,0.031458,0.001291,0.051593,0.001059,0.477384,0.001605,0.02272,0.000991,0.051032,0.000976,0.188083,0.000634,0.57118,0.00062,0.0,0.0
minus_contact_mode_classifier,5,80,0.58125,0.03898,0.618087,0.038825,0.417528,0.001455,0.214561,0.003042,0.04462,0.001539,0.050237,0.002001,0.022183,0.001832,0.04869,0.003453,0.030472,0.001277,0.050684,0.000889,0.477192,0.001759,0.023043,0.001058,0.050754,0.000921,0.18803,0.000645,0.571197,0.000619,0.0,0.0
minus_contact_mode_classifier,6,80,0.604167,0.045895,0.639429,0.045159,0.417098,0.001611,0.214695,0.002722,0.044714,0.001608,0.05029,0.001847,0.022442,0.001545,0.048007,0.003662,0.031637,0.001224,0.051007,0.001043,0.477523,0.001846,0.023066,0.001199,0.051004,0.000929,0.187453,0.000625,0.571153,0.000559,0.0,0.0
minus_contact_mode_classifier,7,80,0.566667,0.038809,0.603938,0.038772,0.419176,0.001457,0.214693,0.002693,0.044875,0.001544,0.051345,0.001755,0.021751,0.001619,0.047759,0.003405,0.031153,0.001192,0.051021,0.001126,0.476018,0.001701,0.023022,0.001143,0.051264,0.000881,0.187029,0.000647,0.57123,0.000562,0.0,0.0
minus_contact_mode_classifier,8,80,0.616667,0.042465,0.651621,0.041524,0.418923,0.001394,0.214658,0.002853,0.04435,0.001525,0.049937,0.001824,0.022653,0.001665,0.047443,0.003528,0.031396,0.001147,0.049962,0.001079,0.476804,0.001901,0.022972,0.001086,0.051052,0.00084,0.188378,0.00068,0.571154,0.000586,0.0,0.0
minus_contact_mode_classifier,9,80,0.589583,0.042681,0.624981,0.041806,0.418314,0.001203,0.215992,0.002924,0.043627,0.001647,0.048942,0.00198,0.021753,0.001637,0.047676,0.003664,0.032937,0.001158,0.050833,0.00107,0.476913,0.001694,0.022972,0.0013,0.051286,0.000856,0.18763,0.000613,0.571149,0.000601,0.0,0.0
minus_complementarity_residual,0,80,0.683333,0.041743,0.725916,0.040265,0.519582,0.001444,0.186831,0.003292,0.094224,0.004093,0.053355,0.00232,0.018368,0.001633,0.027582,0.001568,0.055258,0.001375,0.034621,0.001021,0.51281,0.001807,0.04455,0.002578,0.031326,0.000852,0.187718,0.000666,0.587035,0.000404,0.0,0.0
minus_complementarity_residual,1,80,0.620833,0.04648,0.665303,0.045815,0.520295,0.001402,0.187919,0.003177,0.094101,0.003873,0.054542,0.002294,0.018638,0.001552,0.0272,0.001577,0.055471,0.00122,0.034052,0.001021,0.511725,0.00184,0.043943,0.002644,0.03143,0.001005,0.186833,0.000655,0.58695,0.00041,0.0,0.0
minus_complementarity_residual,2,80,0.625,0.038765,0.668551,0.037672,0.520146,0.001527,0.187712,0.003214,0.094155,0.003923,0.054222,0.002116,0.018963,0.001609,0.027203,0.001496,0.055324,0.001204,0.034545,0.000969,0.511628,0.001868,0.044601,0.002613,0.030326,0.00104,0.186736,0.000594,0.586907,0.000403,0.0,0.0
minus_complementarity_residual,3,80,0.641667,0.041541,0.68438,0.039872,0.521174,0.001625,0.187109,0.003078,0.094689,0.003951,0.053742,0.002185,0.018375,0.001574,0.028094,0.001447,0.054425,0.001336,0.034173,0.001105,0.5123,0.001614,0.044428,0.002665,0.030443,0.001002,0.186712,0.000654,0.587018,0.000388,0.0,0.0
minus_complementarity_residual,4,80,0.6625,0.043087,0.706233,0.042001,0.520065,0.001631,0.186669,0.003119,0.094525,0.004188,0.054286,0.002268,0.018741,0.00164,0.027625,0.001663,0.054906,0.001203,0.034547,0.001126,0.512182,0.00166,0.044039,0.002631,0.031416,0.001012,0.186944,0.000751,0.586965,0.00042,0.0,0.0
minus_complementarity_residual,5,80,0.639583,0.044804,0.682142,0.043244,0.52108,0.001741,0.188089,0.003201,0.095146,0.004064,0.054829,0.002363,0.018716,0.001609,0.027892,0.00143,0.055383,0.001254,0.033854,0.001097,0.512794,0.001875,0.0452,0.002759,0.031815,0.000957,0.186705,0.000666,0.58694,0.000399,0.0,0.0
minus_complementarity_residual,6,80,0.672917,0.042878,0.715056,0.041307,0.520761,0.001385,0.187786,0.00307,0.09395,0.003882,0.054946,0.002172,0.018101,0.001624,0.028323,0.001519,0.05473,0.001217,0.034345,0.001199,0.512311,0.001591,0.044372,0.002518,0.031825,0.000845,0.186854,0.000633,0.587013,0.000409,0.0,0.0
minus_complementarity_residual,7,80,0.647917,0.042303,0.689837,0.04057,0.520241,0.001727,0.18711,0.003074,0.094755,0.004082,0.054364,0.002205,0.01913,0.001484,0.027712,0.001543,0.055428,0.00121,0.033867,0.001125,0.516163,0.001705,0.044167,0.002446,0.03175,0.000961,0.186515,0.000585,0.587095,0.000398,0.0,0.0
minus_complementarity_residual,8,80,0.625,0.043292,0.667948,0.041952,0.518578,0.001507,0.187074,0.002963,0.094339,0.003955,0.053795,0.002391,0.019855,0.001625,0.028913,0.001409,0.054649,0.0012,0.0345,0.001107,0.512613,0.001671,0.045183,0.002562,0.031996,0.000792,0.187314,0.000665,0.586715,0.000387,0.0,0.0
minus_complementarity_residual,9,80,0.614583,0.050525,0.657476,0.049233,0.520391,0.001404,0.18739,0.003074,0.093938,0.003827,0.054614,0.00218,0.018697,0.001591,0.026547,0.001218,0.055087,0.001186,0.034804,0.001113,0.511299,0.001858,0.045567,0.002719,0.031303,0.000806,0.186763,0.000657,0.587012,0.00039,0.0,0.0
minus_impulse_guard,0,80,0.660417,0.044044,0.714129,0.042367,0.571797,0.001419,0.172592,0.001787,0.041059,0.001323,0.07839,0.004629,0.023077,0.001914,0.026851,0.001513,0.029041,0.001048,0.034521,0.001089,0.576148,0.001843,0.04181,0.002503,0.030934,0.000969,0.182912,0.000747,0.576299,0.000421,0.0,0.0
minus_impulse_guard,1,80,0.639583,0.047011,0.692809,0.045038,0.571755,0.001279,0.171473,0.001895,0.040818,0.001451,0.078083,0.004474,0.022872,0.001844,0.028217,0.00132,0.029622,0.001299,0.03455,0.001167,0.575453,0.00161,0.04165,0.002318,0.029961,0.000857,0.183028,0.000718,0.576105,0.00043,0.0,0.0
minus_impulse_guard,2,80,0.654167,0.041408,0.710169,0.040516,0.572501,0.001516,0.172773,0.001697,0.041185,0.001571,0.077845,0.004465,0.022127,0.001817,0.027694,0.001439,0.029379,0.001065,0.035395,0.000935,0.575825,0.001761,0.041737,0.00239,0.030457,0.000995,0.183311,0.000639,0.576311,0.000424,0.0,0.0
minus_impulse_guard,3,80,0.5875,0.049642,0.644533,0.048894,0.571583,0.001645,0.171852,0.001893,0.041094,0.001382,0.077415,0.004482,0.02309,0.001913,0.027469,0.001557,0.028724,0.001252,0.034525,0.001261,0.575593,0.001563,0.040467,0.002047,0.029925,0.000679,0.183494,0.000571,0.576227,0.000429,0.0,0.0
minus_impulse_guard,4,80,0.639583,0.047011,0.692476,0.045053,0.571234,0.001519,0.171695,0.001693,0.041094,0.001446,0.078252,0.004565,0.023255,0.001912,0.027927,0.001449,0.029067,0.001229,0.034578,0.000915,0.575639,0.001679,0.041092,0.002219,0.030544,0.000887,0.182999,0.00076,0.576132,0.000469,0.0,0.0
minus_impulse_guard,5,80,0.633333,0.035538,0.69013,0.034673,0.571202,0.001592,0.171395,0.001611,0.040765,0.001371,0.077979,0.004548,0.02293,0.001894,0.027427,0.001491,0.029305,0.001256,0.034753,0.001088,0.574503,0.001754,0.041708,0.002395,0.030249,0.000766,0.182971,0.000663,0.576144,0.000416,0.0,0.0
minus_impulse_guard,6,80,0.627083,0.041599,0.682107,0.040022,0.572122,0.001549,0.172412,0.001802,0.041028,0.001583,0.078986,0.004607,0.0229,0.001955,0.027883,0.001348,0.029435,0.001159,0.034685,0.00103,0.576256,0.001816,0.040528,0.002365,0.031268,0.000965,0.182792,0.000629,0.576197,0.000433,0.0,0.0
minus_impulse_guard,7,80,0.679167,0.038006,0.733633,0.036473,0.571374,0.001467,0.172374,0.001802,0.040955,0.001452,0.078272,0.00463,0.022419,0.001939,0.02794,0.001641,0.029693,0.001145,0.034552,0.001055,0.576146,0.001771,0.042021,0.002291,0.030609,0.000931,0.182798,0.000671,0.576237,0.000462,0.0,0.0
minus_impulse_guard,8,80,0.658333,0.04105,0.7137,0.039841,0.572437,0.001723,0.172393,0.001685,0.040551,0.001382,0.078383,0.004559,0.02294,0.001845,0.026782,0.001372,0.029118,0.001128,0.034216,0.001069,0.576156,0.00169,0.042071,0.002167,0.029882,0.000981,0.183025,0.000587,0.576321,0.00042,0.0,0.0
minus_impulse_guard,9,80,0.629167,0.044247,0.684896,0.043201,0.57083,0.00153,0.173415,0.001746,0.041816,0.001494,0.078496,0.004398,0.023049,0.00183,0.027134,0.001414,0.030045,0.001421,0.034125,0.000924,0.575936,0.001908,0.041732,0.00226,0.030802,0.000803,0.182999,0.000616,0.576182,0.000437,0.0,0.0
minus_stick_slip_hysteresis,0,80,0.616667,0.042465,0.675092,0.041233,0.570594,0.001495,0.171781,0.001872,0.040822,0.001627,0.050861,0.002032,0.019509,0.00168,0.028158,0.001538,0.056052,0.003845,0.034803,0.000923,0.577006,0.001605,0.020244,0.001128,0.030376,0.000884,0.183573,0.000604,0.582594,0.000573,0.0,0.0
minus_stick_slip_hysteresis,1,80,0.633333,0.038722,0.693352,0.038113,0.571729,0.001659,0.171123,0.001737,0.040599,0.001474,0.050724,0.001993,0.020081,0.001602,0.027397,0.001561,0.056286,0.003915,0.035308,0.001015,0.576364,0.001741,0.021145,0.001192,0.030308,0.000958,0.183919,0.000628,0.582527,0.000581,0.0,0.0
minus_stick_slip_hysteresis,2,80,0.579167,0.04149,0.638476,0.040442,0.571702,0.001557,0.172181,0.001895,0.039619,0.001561,0.050171,0.001957,0.019568,0.001592,0.027634,0.00143,0.056171,0.004048,0.034296,0.000925,0.576897,0.00189,0.0201,0.001191,0.030389,0.00098,0.184318,0.000693,0.582622,0.000541,0.0,0.0
minus_stick_slip_hysteresis,3,80,0.658333,0.043057,0.716047,0.041582,0.569911,0.001501,0.171629,0.001775,0.04115,0.001544,0.050019,0.00217,0.02003,0.001724,0.027342,0.001405,0.054887,0.003879,0.034129,0.001009,0.57776,0.001767,0.019643,0.001252,0.031024,0.000883,0.184584,0.000645,0.582736,0.000583,0.0,0.0
minus_stick_slip_hysteresis,4,80,0.639583,0.040027,0.699042,0.039024,0.57169,0.001759,0.172397,0.001907,0.041277,0.001531,0.050489,0.001974,0.019472,0.001648,0.026491,0.001494,0.055695,0.003844,0.034911,0.000968,0.577641,0.001654,0.019287,0.001208,0.030504,0.000819,0.183128,0.000703,0.582833,0.000579,0.0,0.0
minus_stick_slip_hysteresis,5,80,0.645833,0.043632,0.70207,0.041709,0.573514,0.001273,0.172999,0.001732,0.040129,0.001543,0.050324,0.002059,0.019034,0.001615,0.026711,0.001617,0.055769,0.004021,0.034147,0.000998,0.575541,0.001692,0.019794,0.001238,0.030506,0.000617,0.18359,0.000743,0.582745,0.000575,0.0,0.0
minus_stick_slip_hysteresis,6,80,0.645833,0.043243,0.703834,0.041858,0.573328,0.001668,0.171921,0.001549,0.040848,0.001368,0.050491,0.001972,0.018513,0.001589,0.027301,0.001452,0.055523,0.003984,0.033969,0.001042,0.577377,0.001716,0.020045,0.001103,0.030226,0.000859,0.18405,0.000681,0.582894,0.000574,0.0,0.0
minus_stick_slip_hysteresis,7,80,0.666667,0.045757,0.719738,0.043048,0.570587,0.001671,0.172749,0.001738,0.041444,0.001512,0.050784,0.001868,0.019328,0.001818,0.027705,0.001493,0.055821,0.003876,0.034987,0.000954,0.575599,0.001875,0.019218,0.001074,0.029943,0.000972,0.183727,0.000608,0.582601,0.000585,0.0,0.0
minus_stick_slip_hysteresis,8,80,0.629167,0.046115,0.68545,0.044259,0.571377,0.001426,0.172592,0.001804,0.040564,0.0016,0.050915,0.001979,0.019372,0.001626,0.028042,0.001355,0.055284,0.00413,0.033909,0.000972,0.579187,0.001811,0.019531,0.001112,0.030792,0.000938,0.183137,0.000649,0.582818,0.000592,0.0,0.0
minus_stick_slip_hysteresis,9,80,0.627083,0.045847,0.684958,0.044482,0.570981,0.001315,0.17206,0.002006,0.040454,0.001543,0.051147,0.001893,0.019723,0.001747,0.027281,0.001409,0.055546,0.003864,0.035119,0.001105,0.577654,0.001766,0.019988,0.001189,0.030387,0.000939,0.18355,0.000617,0.582729,0.000581,0.0,0.0
minus_diagnostic_micro_probe,0,80,0.620833,0.042693,0.672203,0.041278,0.539453,0.001637,0.198936,0.001768,0.040754,0.001673,0.050167,0.002038,0.019214,0.001685,0.042997,0.001885,0.029156,0.001225,0.026429,0.001101,0.517851,0.00156,0.019809,0.001266,0.032511,0.000836,0.168214,0.000675,0.579757,0.000441,0.0,0.0
minus_diagnostic_micro_probe,1,80,0.64375,0.043387,0.694413,0.04184,0.538143,0.001466,0.199671,0.001633,0.041563,0.001663,0.050543,0.002155,0.018974,0.00171,0.044624,0.001817,0.028661,0.0011,0.028151,0.001055,0.519977,0.001818,0.018612,0.001118,0.031525,0.000896,0.168143,0.000663,0.579797,0.000435,0.0,0.0
minus_diagnostic_micro_probe,2,80,0.608333,0.045794,0.661011,0.045029,0.539476,0.001494,0.199372,0.00191,0.041536,0.001455,0.050198,0.001577,0.018981,0.001554,0.044422,0.001853,0.029303,0.001194,0.027559,0.001164,0.519947,0.001858,0.019403,0.001077,0.033307,0.000807,0.168254,0.00061,0.579763,0.000438,0.0,0.0
minus_diagnostic_micro_probe,3,80,0.614583,0.048129,0.664454,0.046527,0.539304,0.001524,0.200451,0.001761,0.041308,0.001439,0.050253,0.00207,0.019153,0.001682,0.043661,0.001845,0.029472,0.001242,0.027497,0.001025,0.521986,0.001626,0.020026,0.001221,0.032992,0.000853,0.168125,0.00066,0.579922,0.000437,0.0,0.0
minus_diagnostic_micro_probe,4,80,0.620833,0.045377,0.671908,0.044106,0.53838,0.001381,0.200084,0.001786,0.040546,0.001571,0.051072,0.001975,0.019316,0.001709,0.044835,0.001901,0.029642,0.001154,0.027607,0.001105,0.520327,0.00161,0.019196,0.00121,0.032383,0.000745,0.167792,0.000649,0.579667,0.000458,0.0,0.0
minus_diagnostic_micro_probe,5,80,0.664583,0.050825,0.710344,0.047987,0.539306,0.001465,0.199839,0.001822,0.040635,0.00135,0.051324,0.00193,0.019007,0.001667,0.044232,0.001898,0.02834,0.001349,0.027741,0.000992,0.519225,0.00163,0.019739,0.00127,0.031623,0.000941,0.168095,0.000662,0.579812,0.000428,0.0,0.0
minus_diagnostic_micro_probe,6,80,0.620833,0.038971,0.674313,0.038299,0.539239,0.001448,0.199896,0.001561,0.040724,0.001471,0.049839,0.002068,0.019874,0.00173,0.043328,0.001974,0.028835,0.001162,0.026889,0.00103,0.521148,0.001729,0.019914,0.00118,0.032849,0.000903,0.168153,0.000695,0.579848,0.000438,0.0,0.0
minus_diagnostic_micro_probe,7,80,0.63125,0.040551,0.68331,0.039485,0.540156,0.001667,0.198527,0.00193,0.0406,0.001535,0.050926,0.001863,0.020082,0.001613,0.044338,0.001755,0.029639,0.001328,0.026939,0.001061,0.519461,0.001689,0.019251,0.001206,0.031893,0.000903,0.167733,0.000622,0.57955,0.000441,0.0,0.0
minus_diagnostic_micro_probe,8,80,0.6125,0.042614,0.66513,0.041727,0.540075,0.001613,0.200267,0.00153,0.0411,0.001515,0.05049,0.001858,0.019633,0.001676,0.044259,0.001925,0.029851,0.001505,0.027247,0.001114,0.51956,0.001733,0.019307,0.001027,0.031765,0.000914,0.16791,0.000658,0.579615,0.000472,0.0,0.0
minus_diagnostic_micro_probe,9,80,0.6625,0.038536,0.714479,0.037433,0.538559,0.001511,0.199523,0.001786,0.040931,0.001539,0.050195,0.001894,0.019543,0.001694,0.044632,0.001809,0.02878,0.001138,0.027264,0.001032,0.519523,0.001727,0.020203,0.001106,0.031705,0.001031,0.168134,0.000639,0.579674,0.00043,0.0,0.0
minus_compliance_estimator,0,80,0.60625,0.042003,0.659668,0.040797,0.542927,0.001664,0.183807,0.002928,0.041789,0.001577,0.050401,0.001974,0.019144,0.001696,0.036238,0.00236,0.029422,0.001249,0.03412,0.001014,0.527659,0.002038,0.019877,0.001161,0.031631,0.000972,0.184656,0.000666,0.58101,0.000482,0.0,0.0
minus_compliance_estimator,1,80,0.622917,0.043387,0.674134,0.041453,0.540713,0.001663,0.184847,0.002827,0.04045,0.001497,0.05021,0.001853,0.019427,0.001583,0.037042,0.002431,0.028298,0.001186,0.033879,0.001074,0.525767,0.001779,0.0192,0.001179,0.031718,0.000888,0.184444,0.000699,0.580864,0.000495,0.0,0.0
minus_compliance_estimator,2,80,0.65,0.037929,0.703797,0.037032,0.541718,0.001462,0.184262,0.002888,0.040802,0.001581,0.051072,0.001924,0.019256,0.001575,0.036882,0.002279,0.029697,0.001094,0.034001,0.001053,0.526266,0.001613,0.019792,0.001139,0.030836,0.000914,0.185425,0.000609,0.580824,0.000452,0.0,0.0
minus_compliance_estimator,3,80,0.641667,0.042742,0.692915,0.040885,0.542281,0.001471,0.185294,0.002692,0.040388,0.001629,0.050539,0.001956,0.019431,0.001644,0.036117,0.002278,0.029473,0.001348,0.034112,0.00104,0.526585,0.001758,0.019077,0.00112,0.0314,0.000931,0.185051,0.000709,0.580911,0.000476,0.0,0.0
minus_compliance_estimator,4,80,0.633333,0.045535,0.683812,0.043339,0.542047,0.00132,0.185646,0.002898,0.041293,0.001449,0.050724,0.001904,0.019566,0.001609,0.036749,0.002025,0.02928,0.001332,0.033859,0.000914,0.528106,0.002059,0.020462,0.001157,0.031128,0.000825,0.185017,0.000642,0.580934,0.000469,0.0,0.0
minus_compliance_estimator,5,80,0.641667,0.049684,0.692741,0.048031,0.54242,0.00133,0.186213,0.003078,0.041366,0.001511,0.051054,0.001849,0.018889,0.001637,0.037176,0.002119,0.029196,0.001192,0.034952,0.000997,0.526992,0.001657,0.01978,0.001166,0.030534,0.000864,0.184384,0.000691,0.580933,0.000447,0.0,0.0
minus_compliance_estimator,6,80,0.6125,0.044928,0.665177,0.043566,0.542116,0.001711,0.184671,0.00296,0.041767,0.001475,0.050953,0.001957,0.019475,0.001538,0.035761,0.002332,0.028589,0.001155,0.034721,0.001006,0.527308,0.0019,0.019103,0.001177,0.031163,0.000985,0.185242,0.000637,0.581054,0.000478,0.0,0.0
minus_compliance_estimator,7,80,0.645833,0.044017,0.697025,0.042245,0.542071,0.001284,0.185184,0.002821,0.041676,0.001438,0.050352,0.002024,0.019431,0.001573,0.037312,0.002278,0.02969,0.001357,0.033521,0.001133,0.526437,0.001597,0.019977,0.001099,0.030298,0.000889,0.184463,0.000683,0.580765,0.000478,0.0,0.0
minus_compliance_estimator,8,80,0.6125,0.045303,0.665217,0.04394,0.54205,0.001464,0.185311,0.002938,0.040081,0.001505,0.051112,0.001971,0.01923,0.001716,0.036471,0.002414,0.029553,0.00131,0.034805,0.001132,0.528032,0.001783,0.019174,0.00122,0.031331,0.00086,0.184747,0.00062,0.580986,0.000491,0.0,0.0
minus_compliance_estimator,9,80,0.625,0.037884,0.679149,0.036941,0.54114,0.001538,0.184844,0.002931,0.040873,0.001632,0.050699,0.002144,0.018909,0.001635,0.036472,0.002304,0.028544,0.001254,0.034188,0.001069,0.526336,0.001789,0.019137,0.001427,0.030887,0.000915,0.185735,0.000621,0.581013,0.000482,0.0,0.0
minus_mode_switch_latency_guard,0,80,0.652083,0.04117,0.706016,0.039592,0.571212,0.001655,0.188854,0.003483,0.040753,0.001572,0.05133,0.00212,0.032854,0.002835,0.026954,0.001323,0.029015,0.001185,0.062899,0.004038,0.575318,0.001739,0.019528,0.00142,0.031519,0.000991,0.182132,0.000656,0.574774,0.000546,0.0,0.0
minus_mode_switch_latency_guard,1,80,0.652083,0.036842,0.706223,0.034898,0.572199,0.001527,0.190594,0.003278,0.040841,0.001625,0.051074,0.002019,0.032526,0.002828,0.027008,0.001447,0.029427,0.001039,0.063454,0.004006,0.576239,0.001481,0.018876,0.001165,0.031436,0.000979,0.182074,0.000647,0.574841,0.000558,0.0,0.0
minus_mode_switch_latency_guard,2,80,0.65,0.039669,0.704004,0.037772,0.573588,0.001778,0.188656,0.003544,0.041186,0.001458,0.051411,0.001895,0.032485,0.002858,0.026486,0.001472,0.029144,0.001233,0.063792,0.004179,0.574565,0.001812,0.020234,0.001221,0.032323,0.001045,0.182317,0.000624,0.574821,0.000537,0.0,0.0
minus_mode_switch_latency_guard,3,80,0.679167,0.043008,0.730135,0.04066,0.57131,0.001564,0.189231,0.003479,0.04131,0.001396,0.051599,0.001903,0.032697,0.002852,0.027177,0.001486,0.029073,0.001163,0.06417,0.004128,0.576063,0.001648,0.020531,0.001178,0.031545,0.000977,0.18209,0.000705,0.574816,0.000564,0.0,0.0
minus_mode_switch_latency_guard,4,80,0.5875,0.045004,0.643623,0.044165,0.571215,0.001608,0.18841,0.003258,0.040124,0.001456,0.050921,0.001788,0.0331,0.002862,0.027209,0.001404,0.028775,0.00117,0.064552,0.004044,0.574828,0.001792,0.018999,0.001088,0.032071,0.000936,0.182565,0.000716,0.574702,0.000563,0.0,0.0
