ablation,seed,groups,mean_success,ci95_success,mean_utility,ci95_utility,mean_contact_mode_f1,ci95_contact_mode_f1,mean_boundary_error,ci95_boundary_error,mean_complementarity_residual,ci95_complementarity_residual,mean_impulse_violation,ci95_impulse_violation,mean_unsafe_impulse,ci95_unsafe_impulse,mean_jam_rate,ci95_jam_rate,mean_slip_overshoot,ci95_slip_overshoot,mean_mode_switch_latency,ci95_mode_switch_latency,mean_recovery_success,ci95_recovery_success,mean_energy_spike,ci95_energy_spike,mean_calibration_ece,ci95_calibration_ece,mean_intervention_cost,ci95_intervention_cost,mean_fixed_risk_coverage,ci95_fixed_risk_coverage,mean_regret_to_oracle,ci95_regret_to_oracle
full_contact_mode_boundary_audit_v5,0,80,0.654167,0.043786,0.71755,0.0423,0.572388,0.001244,0.172002,0.001699,0.040968,0.001368,0.046403,0.001721,0.011429,0.001163,0.027813,0.001643,0.029446,0.001434,0.034379,0.001001,0.590118,0.002031,0.019575,0.00122,0.030482,0.000935,0.195373,0.000664,0.646756,0.000357,0.0,0.0
full_contact_mode_boundary_audit_v5,1,80,0.645833,0.041245,0.710351,0.039919,0.572601,0.001514,0.17227,0.001787,0.040059,0.001579,0.044971,0.001776,0.011687,0.001348,0.02714,0.001604,0.02965,0.001228,0.034789,0.001072,0.588998,0.001869,0.019094,0.001139,0.030041,0.000748,0.195063,0.000732,0.646701,0.000372,0.0,0.0
full_contact_mode_boundary_audit_v5,2,80,0.629167,0.04149,0.694483,0.040461,0.571548,0.001667,0.171368,0.001842,0.04068,0.001544,0.045189,0.001506,0.012121,0.001162,0.027309,0.001504,0.030011,0.00119,0.034045,0.00109,0.589524,0.001687,0.018657,0.001077,0.02909,0.000883,0.195465,0.000708,0.646621,0.000345,0.0,0.0
full_contact_mode_boundary_audit_v5,3,80,0.633333,0.046995,0.699367,0.046496,0.571306,0.001453,0.172722,0.001711,0.041364,0.001517,0.045553,0.001944,0.011731,0.001209,0.026707,0.001515,0.029371,0.001114,0.034882,0.001048,0.591641,0.001711,0.018994,0.001037,0.030333,0.000919,0.195314,0.000652,0.646918,0.000365,0.0,0.0
full_contact_mode_boundary_audit_v5,4,80,0.591667,0.044975,0.658273,0.044744,0.572188,0.001291,0.173859,0.001764,0.041002,0.001472,0.046619,0.001602,0.012282,0.001194,0.027133,0.001501,0.028715,0.001286,0.034559,0.000962,0.589614,0.001837,0.019347,0.001081,0.030797,0.000982,0.195291,0.000749,0.646724,0.000336,0.0,0.0
full_contact_mode_boundary_audit_v5,5,80,0.66875,0.042103,0.730386,0.04008,0.571981,0.001592,0.17295,0.00172,0.041023,0.001665,0.045006,0.001783,0.011708,0.001259,0.027616,0.001362,0.029677,0.001137,0.034475,0.000966,0.587712,0.001936,0.019274,0.001072,0.03065,0.000924,0.195444,0.000522,0.646571,0.00034,0.0,0.0
full_contact_mode_boundary_audit_v5,6,80,0.654167,0.042216,0.716775,0.04038,0.572601,0.001644,0.171633,0.001855,0.041008,0.001569,0.04574,0.00168,0.012104,0.001273,0.028106,0.00133,0.028442,0.001119,0.035045,0.001018,0.591886,0.001752,0.019926,0.001127,0.030352,0.001002,0.195236,0.000696,0.646812,0.000333,0.0,0.0
full_contact_mode_boundary_audit_v5,7,80,0.66875,0.04557,0.727645,0.042818,0.571317,0.001348,0.171847,0.001603,0.040478,0.001551,0.046177,0.00171,0.012532,0.001336,0.028162,0.00155,0.029451,0.001268,0.034917,0.001078,0.588837,0.001777,0.019688,0.001084,0.030079,0.000819,0.195361,0.000598,0.646478,0.000385,0.0,0.0
full_contact_mode_boundary_audit_v5,8,80,0.685417,0.037658,0.745483,0.034818,0.571495,0.001146,0.171831,0.001687,0.040677,0.001448,0.044839,0.001758,0.011524,0.001185,0.027592,0.001519,0.02878,0.001107,0.034201,0.001021,0.590825,0.001608,0.020392,0.001236,0.029045,0.000981,0.195219,0.000724,0.646859,0.000348,0.0,0.0
full_contact_mode_boundary_audit_v5,9,80,0.645833,0.037379,0.7091,0.035632,0.572536,0.001394,0.172895,0.001619,0.040655,0.001439,0.045738,0.001658,0.01206,0.00122,0.02726,0.001477,0.029686,0.001104,0.035099,0.001046,0.589536,0.001602,0.020727,0.0011,0.03031,0.000869,0.195536,0.000708,0.646662,0.00033,0.0,0.0
minus_contact_mode_classifier,0,80,0.633333,0.038283,0.670246,0.038137,0.417123,0.00161,0.214777,0.002778,0.044742,0.001604,0.049352,0.001946,0.022349,0.001593,0.048551,0.003305,0.031396,0.001189,0.051136,0.001138,0.478364,0.001705,0.022151,0.001104,0.050969,0.000813,0.187583,0.000641,0.571183,0.000537,0.0,0.0
minus_contact_mode_classifier,1,80,0.5625,0.042455,0.598722,0.042152,0.417577,0.001433,0.215006,0.002688,0.044023,0.00159,0.051156,0.001748,0.022552,0.001818,0.04826,0.003335,0.032005,0.001127,0.050901,0.001103,0.477894,0.001706,0.022878,0.000977,0.050718,0.000851,0.188249,0.000597,0.571104,0.00057,0.0,0.0
