method,task,regime,split,groups,mean_success,ci95_success,mean_utility,ci95_utility,mean_contact_mode_f1,ci95_contact_mode_f1,mean_boundary_error,ci95_boundary_error,mean_complementarity_residual,ci95_complementarity_residual,mean_impulse_violation,ci95_impulse_violation,mean_unsafe_impulse,ci95_unsafe_impulse,mean_jam_rate,ci95_jam_rate,mean_slip_overshoot,ci95_slip_overshoot,mean_mode_switch_latency,ci95_mode_switch_latency,mean_recovery_success,ci95_recovery_success,mean_energy_spike,ci95_energy_spike,mean_calibration_ece,ci95_calibration_ece,mean_intervention_cost,ci95_intervention_cost,mean_fixed_risk_coverage,ci95_fixed_risk_coverage,mean_regret_to_oracle,ci95_regret_to_oracle
no_contact_behavior_clone,peg_insertion,impact_onset,unseen_friction,10,0.366667,0.081485,0.309906,0.081958,0.178179,0.005154,0.341449,0.003413,0.176193,0.002546,0.12832,0.001967,0.074164,0.002482,0.079035,0.001735,0.101156,0.001427,0.075191,0.00253,0.176164,0.004872,0.101837,0.003145,0.109933,0.003279,0.13722,0.001805,0.313449,0.000627,0.0,0.0
no_contact_behavior_clone,peg_insertion,impact_onset,unseen_compliance,10,0.416667,0.111578,0.356595,0.111575,0.174899,0.004583,0.357008,0.001576,0.186358,0.001634,0.137886,0.002536,0.078658,0.002325,0.086016,0.002082,0.073814,0.002295,0.079218,0.003118,0.178803,0.003533,0.104964,0.002718,0.115652,0.001943,0.139371,0.001916,0.309623,0.000454,0.0,0.0
no_contact_behavior_clone,peg_insertion,impact_onset,actuator_latency,10,0.516667,0.076222,0.456929,0.076217,0.181363,0.005124,0.356263,0.003783,0.183062,0.002419,0.134228,0.002547,0.081306,0.00277,0.081916,0.002089,0.072815,0.001904,0.090792,0.003083,0.17286,0.00338,0.104557,0.001931,0.115532,0.002496,0.137072,0.001975,0.309359,0.000533,0.0,0.0
no_contact_behavior_clone,peg_insertion,impact_onset,sensor_dropout,10,0.4,0.16297,0.342704,0.156604,0.160108,0.004253,0.355586,0.003266,0.184711,0.001676,0.137291,0.002759,0.076147,0.001687,0.084855,0.00223,0.076305,0.002387,0.094003,0.001738,0.148317,0.003662,0.107126,0.002816,0.116033,0.001837,0.139408,0.001337,0.306487,0.000326,0.0,0.0
no_contact_behavior_clone,peg_insertion,impact_onset,heldout_mixed_non_smooth_stress,10,0.4,0.17009,0.331641,0.163175,0.165274,0.005633,0.378939,0.002725,0.210732,0.001988,0.163894,0.002767,0.088719,0.00304,0.091952,0.001487,0.106931,0.001521,0.096095,0.003985,0.153722,0.006169,0.117916,0.002575,0.134299,0.002204,0.145582,0.001335,0.287366,0.000728,0.0,0.0
no_contact_behavior_clone,peg_insertion,stick_slip_transition,nominal,10,0.55,0.138165,0.531311,0.138429,0.208675,0.00406,0.275749,0.003218,0.09456,0.002052,0.060355,0.002348,0.050633,0.001777,0.06687,0.001913,0.055146,0.00297,0.049882,0.001714,0.229816,0.006264,0.070484,0.00222,0.061326,0.001802,0.122454,0.001926,0.365095,0.000371,0.0,0.0
no_contact_behavior_clone,peg_insertion,stick_slip_transition,seen_contact_shift,10,0.4,0.099798,0.366893,0.099234,0.198452,0.003616,0.293193,0.002527,0.115296,0.00223,0.076393,0.002717,0.058263,0.002956,0.073891,0.001046,0.080167,0.001811,0.061624,0.002908,0.194671,0.005327,0.084309,0.00218,0.087397,0.002776,0.130767,0.001598,0.336738,0.000783,0.0,0.0
no_contact_behavior_clone,peg_insertion,stick_slip_transition,unseen_geometry,10,0.466667,0.117277,0.42504,0.11705,0.185967,0.003734,0.305396,0.002859,0.129307,0.002144,0.089419,0.002702,0.061418,0.002306,0.08684,0.002708,0.089781,0.002603,0.067881,0.002588,0.18575,0.005445,0.090141,0.002748,0.099326,0.003231,0.133139,0.001808,0.322466,0.000494,0.0,0.0
no_contact_behavior_clone,peg_insertion,stick_slip_transition,unseen_friction,10,0.483333,0.102726,0.437214,0.102792,0.181795,0.00344,0.302373,0.004081,0.129524,0.001894,0.086629,0.002168,0.064259,0.002685,0.07917,0.002409,0.137374,0.002178,0.070477,0.002325,0.173862,0.003016,0.095378,0.003435,0.105984,0.00313,0.136606,0.001919,0.311886,0.000405,0.0,0.0
no_contact_behavior_clone,peg_insertion,stick_slip_transition,unseen_compliance,10,0.266667,0.099798,0.223131,0.094566,0.176788,0.002279,0.312501,0.002797,0.13415,0.001722,0.092578,0.001793,0.067774,0.002241,0.088784,0.002215,0.106956,0.002404,0.072946,0.002322,0.175538,0.003816,0.100533,0.002148,0.113393,0.003023,0.138453,0.001206,0.308131,0.000368,0.0,0.0
no_contact_behavior_clone,peg_insertion,stick_slip_transition,actuator_latency,10,0.45,0.154377,0.406392,0.148925,0.17777,0.004561,0.310657,0.002029,0.135419,0.001974,0.090064,0.002606,0.07284,0.002181,0.081183,0.002129,0.104857,0.002989,0.082462,0.00272,0.172052,0.004176,0.10011,0.003247,0.111219,0.002248,0.139058,0.002225,0.30809,0.00051,0.0,0.0
no_contact_behavior_clone,peg_insertion,stick_slip_transition,sensor_dropout,10,0.316667,0.076222,0.264554,0.076184,0.159387,0.005141,0.308465,0.002503,0.134959,0.002578,0.092823,0.003233,0.070093,0.002827,0.084618,0.002246,0.10734,0.002099,0.08982,0.002039,0.146201,0.006873,0.098089,0.002909,0.113891,0.003143,0.139569,0.001489,0.304809,0.000691,0.0,0.0
no_contact_behavior_clone,peg_insertion,stick_slip_transition,heldout_mixed_non_smooth_stress,10,0.416667,0.170438,0.355834,0.170817,0.166042,0.00482,0.326492,0.002835,0.147442,0.002438,0.103781,0.002837,0.075734,0.003497,0.094286,0.002439,0.145263,0.001858,0.088329,0.002396,0.148402,0.00489,0.108372,0.002459,0.13095,0.002945,0.144407,0.001424,0.285694,0.000785,0.0,0.0
no_contact_behavior_clone,peg_insertion,unilateral_lift_off,nominal,10,0.533333,0.160033,0.514999,0.160111,0.216053,0.004211,0.279718,0.003517,0.095242,0.002571,0.073387,0.002488,0.048671,0.002803,0.055223,0.002066,0.036713,0.002387,0.058921,0.002372,0.221971,0.004286,0.068393,0.00133,0.062287,0.002592,0.119403,0.001824,0.367558,0.000415,0.0,0.0
no_contact_behavior_clone,peg_insertion,unilateral_lift_off,seen_contact_shift,10,0.433333,0.183503,0.401473,0.183243,0.199234,0.004313,0.295466,0.003021,0.113342,0.002052,0.088394,0.002695,0.05662,0.001736,0.064611,0.002192,0.060831,0.001918,0.067608,0.002753,0.200419,0.003507,0.081713,0.002307,0.085948,0.001291,0.129898,0.002264,0.339805,0.000381,0.0,0.0
no_contact_behavior_clone,peg_insertion,unilateral_lift_off,unseen_geometry,10,0.4,0.099798,0.358694,0.099823,0.187735,0.00494,0.312128,0.002349,0.130415,0.002572,0.105151,0.00281,0.062073,0.000893,0.07251,0.002199,0.066011,0.001984,0.07395,0.002592,0.186755,0.005496,0.08845,0.002151,0.098822,0.002489,0.132809,0.001271,0.325762,0.000508,0.0,0.0
no_contact_behavior_clone,peg_insertion,unilateral_lift_off,unseen_friction,10,0.383333,0.109432,0.338507,0.108934,0.180161,0.003677,0.307186,0.003039,0.128594,0.003602,0.09831,0.002881,0.064977,0.00185,0.069704,0.001352,0.103319,0.003296,0.074324,0.001697,0.177073,0.004942,0.091332,0.002697,0.108199,0.003494,0.137552,0.001602,0.315642,0.000563,0.0,0.0
no_contact_behavior_clone,peg_insertion,unilateral_lift_off,unseen_compliance,10,0.433333,0.121254,0.387957,0.121142,0.181781,0.003235,0.312337,0.003602,0.13041,0.002662,0.10348,0.0018,0.064006,0.002633,0.074177,0.001863,0.080967,0.002489,0.077638,0.002013,0.175039,0.004904,0.091857,0.002403,0.112895,0.002338,0.138576,0.001593,0.312206,0.000705,0.0,0.0
no_contact_behavior_clone,peg_insertion,unilateral_lift_off,actuator_latency,10,0.433333,0.087111,0.386428,0.087463,0.179869,0.004374,0.317864,0.004873,0.12906,0.003456,0.103269,0.001354,0.069072,0.001866,0.070644,0.001509,0.078335,0.001975,0.088652,0.004011,0.17294,0.005133,0.095138,0.00245,0.11377,0.001813,0.137454,0.001352,0.311884,0.000493,0.0,0.0
no_contact_behavior_clone,peg_insertion,unilateral_lift_off,sensor_dropout,10,0.35,0.149697,0.309513,0.139668,0.15862,0.0058,0.314078,0.004644,0.134054,0.001904,0.103697,0.00237,0.067813,0.002626,0.073606,0.002093,0.080326,0.003357,0.094694,0.003195,0.150884,0.005532,0.094448,0.002589,0.115188,0.001804,0.139536,0.002469,0.308694,0.000545,0.0,0.0
no_contact_behavior_clone,peg_insertion,unilateral_lift_off,heldout_mixed_non_smooth_stress,10,0.45,0.146495,0.396348,0.138618,0.163075,0.005418,0.332161,0.004431,0.146518,0.002164,0.118963,0.002258,0.073418,0.003687,0.077652,0.00251,0.113178,0.001963,0.093656,0.001859,0.147357,0.004336,0.102467,0.002189,0.131535,0.002758,0.144804,0.001863,0.290209,0.000836,0.0,0.0
no_contact_behavior_clone,peg_insertion,contact_jamming,nominal,10,0.433333,0.121254,0.410032,0.121366,0.21554,0.003737,0.283637,0.002316,0.102544,0.001659,0.073825,0.00197,0.053283,0.002279,0.097383,0.003028,0.041194,0.001916,0.052319,0.001874,0.225684,0.002852,0.082139,0.002291,0.063265,0.002217,0.121016,0.002095,0.362515,0.000629,0.0,0.0
no_contact_behavior_clone,peg_insertion,contact_jamming,seen_contact_shift,10,0.433333,0.139446,0.393889,0.140094,0.196255,0.004312,0.30215,0.002959,0.12489,0.001867,0.092719,0.002624,0.066459,0.003691,0.114626,0.002869,0.06475,0.00169,0.064638,0.002245,0.200171,0.003131,0.095509,0.003443,0.088027,0.002532,0.130261,0.00235,0.332999,0.000694,0.0,0.0
no_contact_behavior_clone,peg_insertion,contact_jamming,unseen_geometry,10,0.416667,0.13987,0.367692,0.139954,0.189713,0.00499,0.31711,0.003947,0.140974,0.002433,0.10485,0.002207,0.070794,0.00271,0.137283,0.004218,0.069068,0.002707,0.065883,0.002264,0.181106,0.004613,0.102893,0.001637,0.103754,0.002658,0.133845,0.002365,0.317393,0.000795,0.0,0.0
no_contact_behavior_clone,peg_insertion,contact_jamming,unseen_friction,10,0.316667,0.157419,0.28055,0.144439,0.183624,0.003622,0.31442,0.002304,0.138768,0.002269,0.100094,0.002533,0.072966,0.001396,0.118605,0.002299,0.111876,0.002187,0.070213,0.002337,0.173848,0.007549,0.106536,0.001501,0.106377,0.002629,0.13731,0.001812,0.308675,0.000591,0.0,0.0
no_contact_behavior_clone,peg_insertion,contact_jamming,unseen_compliance,10,0.366667,0.126985,0.312396,0.126558,0.179874,0.005548,0.324371,0.003529,0.148436,0.00288,0.107249,0.002074,0.073907,0.00292,0.129927,0.002046,0.084536,0.002136,0.07518,0.002062,0.17422,0.00546,0.108932,0.002357,0.112022,0.002986,0.137603,0.002804,0.304812,0.000648,0.0,0.0
no_contact_behavior_clone,peg_insertion,contact_jamming,actuator_latency,10,0.383333,0.154377,0.329229,0.154709,0.181786,0.005198,0.324272,0.003312,0.146361,0.002875,0.107648,0.00306,0.07778,0.002857,0.121675,0.002017,0.080925,0.002866,0.080648,0.001849,0.174599,0.004572,0.109651,0.002244,0.116444,0.001921,0.137866,0.001276,0.305367,0.000663,0.0,0.0
no_contact_behavior_clone,peg_insertion,contact_jamming,sensor_dropout,10,0.45,0.098,0.391322,0.098092,0.162986,0.004094,0.324177,0.00249,0.144609,0.002543,0.109643,0.001938,0.07607,0.002549,0.126733,0.003178,0.087342,0.001132,0.088213,0.002319,0.145149,0.005975,0.111798,0.002873,0.11635,0.002069,0.140331,0.001412,0.301238,0.000605,0.0,0.0
no_contact_behavior_clone,peg_insertion,contact_jamming,heldout_mixed_non_smooth_stress,10,0.35,0.032667,0.280768,0.032308,0.159884,0.003834,0.342473,0.002413,0.161768,0.002824,0.12248,0.002216,0.085667,0.003635,0.147315,0.002178,0.117605,0.00231,0.088332,0.002172,0.151264,0.004358,0.121005,0.002794,0.134527,0.003296,0.145819,0.001913,0.281286,0.000837,0.0,0.0
no_contact_behavior_clone,peg_insertion,release_snap,nominal,10,0.583333,0.13112,0.555991,0.130981,0.215248,0.004585,0.30423,0.002631,0.119045,0.002,0.098834,0.003298,0.058133,0.002472,0.06282,0.002595,0.04057,0.002939,0.061422,0.002223,0.227276,0.004733,0.084378,0.002096,0.064566,0.002029,0.120024,0.001959,0.365389,0.000596,0.0,0.0
no_contact_behavior_clone,peg_insertion,release_snap,seen_contact_shift,10,0.366667,0.094927,0.322925,0.095394,0.196571,0.005589,0.323647,0.003622,0.144446,0.001993,0.122176,0.002691,0.068786,0.002241,0.072247,0.003108,0.063661,0.002912,0.069662,0.001349,0.196083,0.004061,0.102619,0.002511,0.088926,0.002921,0.129883,0.001602,0.336729,0.000408,0.0,0.0
no_contact_behavior_clone,peg_insertion,release_snap,unseen_geometry,10,0.416667,0.087789,0.361785,0.087875,0.191937,0.003936,0.346191,0.002607,0.167353,0.001727,0.150212,0.001937,0.079485,0.002947,0.077857,0.002976,0.070683,0.002986,0.075338,0.002346,0.186436,0.006582,0.108039,0.001907,0.102571,0.001768,0.133619,0.002412,0.322223,0.000561,0.0,0.0
no_contact_behavior_clone,peg_insertion,release_snap,unseen_friction,10,0.383333,0.146495,0.326489,0.146844,0.182265,0.003419,0.33665,0.003801,0.162769,0.001915,0.134593,0.002251,0.078102,0.002479,0.072539,0.002709,0.113255,0.003362,0.0787,0.002461,0.180107,0.007065,0.114531,0.001798,0.108871,0.003224,0.137634,0.001349,0.312777,0.000646,0.0,0.0
no_contact_behavior_clone,peg_insertion,release_snap,unseen_compliance,10,0.333333,0.161508,0.279492,0.156198,0.17465,0.002512,0.348851,0.003494,0.168961,0.002133,0.143017,0.001775,0.081511,0.00315,0.080002,0.00256,0.083992,0.003246,0.081485,0.001931,0.174237,0.005476,0.118095,0.002118,0.115223,0.00177,0.139267,0.002054,0.308708,0.00086,0.0,0.0
no_contact_behavior_clone,peg_insertion,release_snap,actuator_latency,10,0.333333,0.119282,0.278597,0.112634,0.181386,0.004339,0.35158,0.00295,0.167341,0.002231,0.14139,0.003084,0.087856,0.002344,0.07839,0.002945,0.082143,0.00242,0.093325,0.002728,0.171696,0.003651,0.117552,0.002646,0.117704,0.002708,0.140078,0.002342,0.307913,0.000582,0.0,0.0
no_contact_behavior_clone,peg_insertion,release_snap,sensor_dropout,10,0.383333,0.129298,0.325475,0.121527,0.164337,0.002739,0.350493,0.003337,0.167405,0.002053,0.144555,0.001994,0.08295,0.002327,0.081944,0.002097,0.085455,0.001998,0.099463,0.002312,0.145317,0.00523,0.117375,0.002358,0.116908,0.002306,0.13812,0.002578,0.304846,0.000575,0.0,0.0
no_contact_behavior_clone,peg_insertion,release_snap,heldout_mixed_non_smooth_stress,10,0.266667,0.111045,0.198281,0.103933,0.161362,0.001742,0.371789,0.002554,0.192947,0.002164,0.166138,0.001325,0.093291,0.003619,0.088778,0.002294,0.117779,0.003221,0.098799,0.00305,0.152192,0.005003,0.128873,0.002102,0.133986,0.002961,0.14447,0.002108,0.286038,0.000762,0.0,0.0
no_contact_behavior_clone,peg_insertion,compliant_fixture_shift,nominal,10,0.383333,0.098,0.359774,0.098315,0.218231,0.003553,0.294557,0.003924,0.102183,0.002909,0.075588,0.002557,0.052715,0.001772,0.087997,0.001376,0.043712,0.001904,0.05378,0.003386,0.224163,0.004823,0.079557,0.004153,0.059523,0.002314,0.121813,0.001753,0.363246,0.000278,0.0,0.0
no_contact_behavior_clone,peg_insertion,compliant_fixture_shift,seen_contact_shift,10,0.35,0.141556,0.314353,0.137676,0.196494,0.006848,0.314422,0.002846,0.123945,0.002071,0.093055,0.002755,0.059994,0.00149,0.103131,0.002436,0.067675,0.001907,0.06414,0.001915,0.191502,0.005082,0.091665,0.0026,0.088875,0.002306,0.130673,0.002219,0.334364,0.000346,0.0,0.0
no_contact_behavior_clone,peg_insertion,compliant_fixture_shift,unseen_geometry,10,0.266667,0.053344,0.217056,0.05344,0.186694,0.003849,0.330573,0.002982,0.137368,0.002424,0.113182,0.002603,0.069175,0.002924,0.120706,0.001211,0.07552,0.00242,0.069983,0.003159,0.185731,0.003969,0.099217,0.002325,0.102099,0.002479,0.133446,0.00131,0.319055,0.000541,0.0,0.0
no_contact_behavior_clone,peg_insertion,compliant_fixture_shift,unseen_friction,10,0.383333,0.109432,0.336218,0.10187,0.178403,0.00481,0.325133,0.0027,0.139545,0.00312,0.102349,0.00195,0.070595,0.002252,0.107636,0.001709,0.116964,0.002331,0.072782,0.00313,0.175774,0.006979,0.103498,0.001624,0.106199,0.002104,0.135489,0.001695,0.309836,0.000586,0.0,0.0
no_contact_behavior_clone,peg_insertion,compliant_fixture_shift,unseen_compliance,10,0.416667,0.13112,0.361921,0.130709,0.178016,0.005329,0.33882,0.00328,0.142518,0.002313,0.109383,0.002354,0.071521,0.001653,0.118089,0.00304,0.086538,0.002765,0.075776,0.001527,0.170662,0.004399,0.106429,0.001472,0.114733,0.003134,0.137981,0.00181,0.30598,0.000314,0.0,0.0
no_contact_behavior_clone,peg_insertion,compliant_fixture_shift,actuator_latency,10,0.416667,0.155905,0.367046,0.150031,0.180832,0.004024,0.336794,0.003623,0.145572,0.00228,0.108839,0.002894,0.077767,0.002998,0.110774,0.001722,0.088784,0.0014,0.084568,0.00227,0.170069,0.004036,0.106966,0.002146,0.11313,0.001989,0.137046,0.001583,0.305559,0.000533,0.0,0.0
no_contact_behavior_clone,peg_insertion,compliant_fixture_shift,sensor_dropout,10,0.366667,0.136002,0.313316,0.129425,0.157522,0.005066,0.333435,0.00323,0.143392,0.001607,0.11309,0.002015,0.071931,0.00256,0.113882,0.001581,0.091846,0.002032,0.092709,0.002027,0.1449,0.005505,0.107787,0.002614,0.115439,0.002244,0.140128,0.001334,0.302768,0.000555,0.0,0.0
no_contact_behavior_clone,peg_insertion,compliant_fixture_shift,heldout_mixed_non_smooth_stress,10,0.366667,0.081485,0.297222,0.080975,0.161274,0.004331,0.355186,0.003769,0.162813,0.002238,0.127264,0.002676,0.081727,0.002661,0.13173,0.001672,0.123187,0.002405,0.090714,0.001821,0.15256,0.006259,0.117974,0.002903,0.131505,0.001731,0.14682,0.001378,0.283067,0.000606,0.0,0.0
no_contact_behavior_clone,peg_insertion,friction_cone_inversion,nominal,10,0.45,0.098,0.427499,0.09818,0.212162,0.004,0.283958,0.002605,0.099268,0.001995,0.070958,0.002399,0.05415,0.001913,0.078508,0.00284,0.05505,0.002316,0.051291,0.002877,0.222702,0.006433,0.076041,0.002633,0.063039,0.002987,0.120885,0.002273,0.362985,0.000562,0.0,0.0
no_contact_behavior_clone,peg_insertion,friction_cone_inversion,seen_contact_shift,10,0.316667,0.102726,0.278916,0.102574,0.196782,0.004181,0.299875,0.002754,0.122789,0.003298,0.089609,0.002477,0.062501,0.002181,0.0906,0.001461,0.082761,0.00235,0.064446,0.002303,0.19804,0.003982,0.091703,0.002202,0.089235,0.001934,0.129208,0.001804,0.334426,0.000365,0.0,0.0
no_contact_behavior_clone,peg_insertion,friction_cone_inversion,unseen_geometry,10,0.4,0.121254,0.357049,0.114649,0.187743,0.003521,0.316024,0.002669,0.13869,0.002664,0.104748,0.001947,0.070315,0.002735,0.10764,0.002622,0.089131,0.002369,0.068273,0.002085,0.186618,0.006095,0.101516,0.00257,0.101475,0.002495,0.134267,0.00235,0.319155,0.000506,0.0,0.0
no_contact_behavior_clone,peg_insertion,friction_cone_inversion,unseen_friction,10,0.466667,0.106689,0.416025,0.106786,0.17962,0.003249,0.313778,0.002974,0.137343,0.002658,0.098198,0.003264,0.07019,0.002674,0.092722,0.0031,0.139126,0.001808,0.068919,0.002225,0.176568,0.005318,0.1012,0.002304,0.104414,0.000859,0.136984,0.001866,0.309663,0.000613,0.0,0.0
no_contact_behavior_clone,peg_insertion,friction_cone_inversion,unseen_compliance,10,0.35,0.157419,0.303318,0.15282,0.178257,0.003405,0.320125,0.002452,0.141252,0.002715,0.104898,0.002497,0.072103,0.00237,0.101263,0.002449,0.103331,0.001988,0.07185,0.002843,0.172548,0.006056,0.104468,0.002219,0.111889,0.002501,0.139007,0.002062,0.306345,0.000308,0.0,0.0
no_contact_behavior_clone,peg_insertion,friction_cone_inversion,actuator_latency,10,0.366667,0.081485,0.313356,0.081602,0.177929,0.003786,0.32337,0.002711,0.142503,0.00272,0.102969,0.00233,0.076847,0.002401,0.096986,0.003295,0.102748,0.003042,0.083036,0.002529,0.170824,0.004548,0.105927,0.001957,0.115623,0.002101,0.138466,0.002341,0.306004,0.000734,0.0,0.0
no_contact_behavior_clone,peg_insertion,friction_cone_inversion,sensor_dropout,10,0.316667,0.076222,0.259582,0.076123,0.158388,0.003439,0.318702,0.002965,0.146076,0.001631,0.104182,0.002387,0.075679,0.003352,0.098917,0.001583,0.106739,0.002057,0.089028,0.002776,0.147738,0.007244,0.107093,0.003568,0.115721,0.001919,0.142143,0.002132,0.302682,0.000797,0.0,0.0
no_contact_behavior_clone,peg_insertion,friction_cone_inversion,heldout_mixed_non_smooth_stress,10,0.333333,0.128839,0.273538,0.122184,0.162962,0.003426,0.336582,0.003069,0.161709,0.001763,0.120083,0.002635,0.081719,0.001866,0.11277,0.003164,0.146645,0.002556,0.087314,0.00438,0.151186,0.005763,0.115562,0.00234,0.132876,0.0028,0.143909,0.001615,0.283005,0.000646,0.0,0.0
no_contact_behavior_clone,peg_insertion,actuator_backlash,nominal,10,0.383333,0.098,0.354656,0.098291,0.217445,0.003256,0.313747,0.004745,0.110026,0.002949,0.083408,0.001991,0.064379,0.002391,0.07768,0.002075,0.044829,0.002573,0.08436,0.003404,0.227419,0.004337,0.076275,0.001522,0.063877,0.002392,0.120969,0.001671,0.362634,0.000668,0.0,0.0
no_contact_behavior_clone,peg_insertion,actuator_backlash,seen_contact_shift,10,0.35,0.102726,0.303876,0.102703,0.196787,0.004177,0.336453,0.003058,0.135531,0.002436,0.106976,0.003218,0.077365,0.001486,0.090032,0.001625,0.068173,0.00302,0.100438,0.0027,0.197781,0.004582,0.090279,0.002007,0.090181,0.00293,0.129062,0.002133,0.333405,0.000468,0.0,0.0
no_contact_behavior_clone,peg_insertion,actuator_backlash,unseen_geometry,10,0.383333,0.069723,0.325839,0.06941,0.189008,0.004064,0.357373,0.002499,0.155211,0.002164,0.128586,0.001954,0.086404,0.002267,0.103774,0.002339,0.070801,0.002951,0.108975,0.002821,0.182277,0.003493,0.100276,0.002733,0.10451,0.002052,0.13412,0.002023,0.318334,0.000329,0.0,0.0
no_contact_behavior_clone,peg_insertion,actuator_backlash,unseen_friction,10,0.3,0.106689,0.241308,0.107016,0.182119,0.004021,0.349097,0.004506,0.148574,0.002963,0.113254,0.002953,0.08397,0.002002,0.094953,0.001939,0.116194,0.001656,0.113322,0.003403,0.178932,0.005776,0.102841,0.00233,0.111273,0.002215,0.137326,0.001859,0.30935,0.000502,0.0,0.0
