method,task,regime,split,groups,mean_success,ci95_success,mean_utility,ci95_utility,mean_contact_mode_f1,ci95_contact_mode_f1,mean_boundary_error,ci95_boundary_error,mean_complementarity_residual,ci95_complementarity_residual,mean_impulse_violation,ci95_impulse_violation,mean_unsafe_impulse,ci95_unsafe_impulse,mean_jam_rate,ci95_jam_rate,mean_slip_overshoot,ci95_slip_overshoot,mean_mode_switch_latency,ci95_mode_switch_latency,mean_recovery_success,ci95_recovery_success,mean_energy_spike,ci95_energy_spike,mean_calibration_ece,ci95_calibration_ece,mean_intervention_cost,ci95_intervention_cost,mean_fixed_risk_coverage,ci95_fixed_risk_coverage,mean_regret_to_oracle,ci95_regret_to_oracle
no_contact_behavior_clone,peg_insertion,nominal_contact,nominal,10,0.5,0.119282,0.497097,0.11949,0.217438,0.004104,0.242868,0.004011,0.07473,0.001864,0.036638,0.003546,0.022674,0.002426,0.043041,0.00245,0.031471,0.003075,0.039404,0.002137,0.224841,0.002638,0.034398,0.001317,0.058932,0.002374,0.120339,0.00213,0.373268,0.000481,0.0,0.0
no_contact_behavior_clone,peg_insertion,nominal_contact,seen_contact_shift,10,0.416667,0.13112,0.404789,0.129633,0.19177,0.00516,0.2535,0.002456,0.086419,0.003081,0.039818,0.002353,0.023034,0.00253,0.048018,0.001983,0.053186,0.002449,0.045877,0.001842,0.20057,0.002924,0.036045,0.002736,0.081667,0.001567,0.130758,0.002094,0.347122,0.000517,0.0,0.0
no_contact_behavior_clone,peg_insertion,nominal_contact,unseen_geometry,10,0.5,0.137735,0.482498,0.134711,0.186575,0.005526,0.259334,0.004314,0.091341,0.002185,0.04626,0.00327,0.02563,0.002594,0.053922,0.003234,0.060257,0.002947,0.052438,0.002961,0.182487,0.004289,0.041176,0.001953,0.094197,0.002777,0.133693,0.001927,0.333292,0.000695,0.0,0.0
no_contact_behavior_clone,peg_insertion,nominal_contact,unseen_friction,10,0.566667,0.147704,0.543925,0.147724,0.18506,0.005482,0.257764,0.002091,0.094089,0.003325,0.044328,0.002107,0.026928,0.002431,0.054231,0.00182,0.095611,0.001925,0.051657,0.002245,0.174219,0.004228,0.040182,0.002177,0.102498,0.001519,0.135641,0.001657,0.323342,0.00054,0.0,0.0
no_contact_behavior_clone,peg_insertion,nominal_contact,unseen_compliance,10,0.416667,0.121741,0.393708,0.121913,0.177054,0.002099,0.259694,0.002403,0.094981,0.001978,0.045282,0.002759,0.025554,0.003305,0.054336,0.002972,0.072537,0.002993,0.056037,0.001307,0.172274,0.004928,0.039631,0.002624,0.107252,0.002475,0.138714,0.001848,0.320467,0.000827,0.0,0.0
no_contact_behavior_clone,peg_insertion,nominal_contact,actuator_latency,10,0.416667,0.100391,0.39352,0.100552,0.181639,0.004887,0.263131,0.003609,0.095821,0.001419,0.043307,0.001928,0.027881,0.002882,0.055806,0.001299,0.070852,0.003058,0.05531,0.002147,0.169021,0.003535,0.041303,0.00258,0.10459,0.003058,0.137848,0.001974,0.31991,0.000374,0.0,0.0
no_contact_behavior_clone,peg_insertion,nominal_contact,sensor_dropout,10,0.466667,0.106689,0.43927,0.106591,0.159353,0.005053,0.263797,0.002894,0.095152,0.002503,0.046735,0.002805,0.027795,0.002278,0.053202,0.002067,0.073297,0.001475,0.07031,0.002874,0.150591,0.004017,0.040423,0.0025,0.109962,0.001987,0.139147,0.001926,0.317282,0.000561,0.0,0.0
no_contact_behavior_clone,peg_insertion,nominal_contact,heldout_mixed_non_smooth_stress,10,0.366667,0.136002,0.337591,0.132118,0.167173,0.004373,0.271797,0.003834,0.105258,0.003182,0.049212,0.002218,0.030134,0.002562,0.059573,0.001584,0.101205,0.003164,0.065062,0.002416,0.150475,0.004479,0.041121,0.001368,0.123676,0.003268,0.14509,0.001147,0.299655,0.000614,0.0,0.0
no_contact_behavior_clone,peg_insertion,impact_onset,nominal,10,0.466667,0.160033,0.439997,0.160265,0.216207,0.003207,0.307539,0.002735,0.124707,0.003075,0.092227,0.002217,0.057597,0.002243,0.06367,0.002613,0.03448,0.00219,0.056674,0.002804,0.2236,0.004516,0.076089,0.002367,0.065106,0.002292,0.12224,0.002494,0.365651,0.000581,0.0,0.0
no_contact_behavior_clone,peg_insertion,impact_onset,seen_contact_shift,10,0.4,0.139446,0.360833,0.134361,0.196143,0.007501,0.329778,0.003763,0.156208,0.002091,0.116758,0.00281,0.065967,0.002631,0.075556,0.002377,0.055861,0.002498,0.067064,0.002232,0.198751,0.005654,0.091096,0.002699,0.090661,0.001454,0.128103,0.002004,0.337606,0.000663,0.0,0.0
no_contact_behavior_clone,peg_insertion,impact_onset,unseen_geometry,10,0.483333,0.113683,0.427421,0.114219,0.186861,0.00325,0.356574,0.00433,0.18071,0.002628,0.146416,0.002832,0.073562,0.002938,0.082967,0.002642,0.062724,0.002203,0.072741,0.001924,0.183442,0.004657,0.10002,0.002119,0.105081,0.002355,0.134241,0.002412,0.323058,0.000577,0.0,0.0
